NazwaKraju,RodzajOkresu,NumerOkresu,Zgony2018,Zgony2019,Zgony2020
Albania,M,1,2158,2397,2187
Albania,M,2,2013,1974,2018
Albania,M,3,2136,1990,1993
Albania,M,4,1828,1687,1804
Albania,M,5,1664,1744,1803
Albania,M,6,1576,1718,1779
Albania,M,7,1641,1744,2166
Albania,M,8,1709,1734,2476
Albania,M,9,1621,1528,1982
Albania,M,10,1668,1673,2403
Albania,M,11,1730,1792,3854
Albania,M,12,2060,1956,3140
Algieria,M,1,16409,17784,17195
Algieria,M,2,15409,15331,15810
Algieria,M,3,15227,15367,15882
Algieria,M,4,14182,14465,15020
Algieria,M,5,14159,14465,14833
Algieria,M,6,13614,14285,18100
Algieria,M,7,14705,14754,32170
Algieria,M,8,14477,14970,23413
Algieria,M,9,13500,14032,17043
Algieria,M,10,14727,14790,18665
Algieria,M,11,14909,15042,26100
Algieria,M,12,15818,16160,21397
Andora,M,1,38,29,34
Andora,M,2,28,29,37
Andora,M,3,36,19,40
Andora,M,4,21,26,60
Andora,M,5,16,19,36
Andora,M,6,31,23,26
Andora,M,7,23,30,29
Andora,M,8,30,18,19
Andora,M,9,30,24,27
Andora,M,10,33,23,51
Andora,M,11,24,30,19
Andora,M,12,25,31,41
Antigua i Barbuda,M,1,37,63,50
Antigua i Barbuda,M,2,40,61,47
Antigua i Barbuda,M,3,60,45,60
Antigua i Barbuda,M,4,60,40,49
Antigua i Barbuda,M,5,58,38,52
Antigua i Barbuda,M,6,42,63,42
Antigua i Barbuda,M,7,53,54,46
Antigua i Barbuda,M,8,48,57,44
Antigua i Barbuda,M,9,54,51,45
Antigua i Barbuda,M,10,44,44,50
Antigua i Barbuda,M,11,42,48,49
Antigua i Barbuda,M,12,43,54,40
Argentyna,M,1,26030,26271,25571
Argentyna,M,2,23518,23688,24212
Argentyna,M,3,25683,26020,25639
Argentyna,M,4,25290,25582,24959
Argentyna,M,5,27672,28383,27541
Argentyna,M,6,31395,31418,28899
Argentyna,M,7,33618,36035,36033
Argentyna,M,8,33721,32472,37052
Argentyna,M,9,29980,29481,39973
Argentyna,M,10,27702,28362,42554
Argentyna,M,11,25250,25543,35421
Argentyna,M,12,23650,23836,31141
Armenia,M,1,2534,2773,2567
Armenia,M,2,2273,2247,2434
Armenia,M,3,2215,2353,2288
Armenia,M,4,1968,2203,2156
Armenia,M,5,2220,2285,2103
Armenia,M,6,1902,1929,2869
Armenia,M,7,2347,2069,2719
Armenia,M,8,1972,1994,2106
Armenia,M,9,1704,1802,2042
Armenia,M,10,2086,2014,3632
Armenia,M,11,2317,2179,6060
Armenia,M,12,2107,2404,4395
Aruba,M,1,70,49,69
Aruba,M,2,63,55,56
Aruba,M,3,60,64,74
Aruba,M,4,66,50,60
Aruba,M,5,62,55,47
Aruba,M,6,49,52,60
Aruba,M,7,65,56,47
Aruba,M,8,55,53,63
Aruba,M,9,46,56,82
Aruba,M,10,57,63,71
Aruba,M,11,68,52,57
Aruba,M,12,56,60,57
Australia,T,1,2818,2966,2926
Australia,T,2,2828,2997,2902
Australia,T,3,2763,3041,2914
Australia,T,4,2882,2957,3007
Australia,T,5,2885,2890,2910
Australia,T,6,2724,2957,2917
Australia,T,7,2825,2958,3030
Australia,T,8,2857,3094,3059
Australia,T,9,2858,3008,3090
Australia,T,10,2882,2926,2996
Australia,T,11,2879,3009,2976
Australia,T,12,2870,2920,3095
Australia,T,13,2939,3005,3143
Australia,T,14,2784,2962,3217
Australia,T,15,2828,3065,3140
Australia,T,16,2965,3051,3084
Australia,T,17,2840,3016,3044
Australia,T,18,3021,3019,3032
Australia,T,19,3148,3202,3161
Australia,T,20,3133,3219,3150
Australia,T,21,3252,3285,3214
Australia,T,22,3199,3357,3178
Australia,T,23,3301,3357,3113
Australia,T,24,3129,3460,3128
Australia,T,25,3254,3415,3064
Australia,T,26,3309,3427,3058
Australia,T,27,3375,3451,3218
Australia,T,28,3214,3350,3197
Australia,T,29,3376,3457,3204
Australia,T,30,3467,3491,3332
Australia,T,31,3286,3340,3353
Australia,T,32,3209,3476,3398
Australia,T,33,3375,3441,3478
Australia,T,34,3354,3524,3310
Australia,T,35,3449,3443,3283
Australia,T,36,3313,3499,3290
Australia,T,37,3111,3367,3239
Australia,T,38,3151,3333,3100
Australia,T,39,3143,3100,3145
Australia,T,40,3137,3246,3183
Australia,T,41,3155,3162,3042
Australia,T,42,3090,3147,3003
