NazwaKraju,RodzajOkresu,NumerOkresu,Zgony2018,Zgony2019,Zgony2020,Zgony2021
Albania,M,1,2158,2397,2187,3002
Albania,M,2,2013,1974,2018,3773
Albania,M,3,2136,1990,1993,3447
Albania,M,4,1828,1687,1804,2419
Albania,M,5,1664,1744,1803,1874
Albania,M,6,1576,1718,1779,1822
Albania,M,7,1641,1744,2166,1820
Albania,M,8,1709,1734,2476,2080
Albania,M,9,1621,1528,1982,2506
Albania,M,10,1668,1673,2403,2559
Albania,M,11,1730,1792,3854,2506
Albania,M,12,2060,1956,3140,2772
Antigua i Barbuda,M,1,37,63,50,56
Antigua i Barbuda,M,2,40,61,47,68
Antigua i Barbuda,M,3,60,45,60,55
Antigua i Barbuda,M,4,60,40,49,50
Antigua i Barbuda,M,5,58,38,52,46
Antigua i Barbuda,M,6,42,63,42,39
Antigua i Barbuda,M,7,53,54,46,55
Antigua i Barbuda,M,8,48,57,44,47
Antigua i Barbuda,M,9,54,51,45,104
Antigua i Barbuda,M,10,44,44,50,26
Antigua i Barbuda,M,11,42,48,49,64
Antigua i Barbuda,M,12,43,54,40,39
Armenia,M,1,2534,2773,2567,3013
Armenia,M,2,2273,2247,2434,2418
Armenia,M,3,2215,2353,2288,2836
Armenia,M,4,1968,2203,2156,3361
Armenia,M,5,2220,2285,2103,2633
Armenia,M,6,1902,1929,2869,2290
Armenia,M,7,2347,2069,2719,2247
Armenia,M,8,1972,1994,2106,2241
Armenia,M,9,1704,1802,2042,2559
Armenia,M,10,2086,2014,3632,3462
Armenia,M,11,2317,2179,6060,4577
Armenia,M,12,2107,2404,4395,3001
Aruba,M,1,70,49,69,68
Aruba,M,2,63,55,56,87
Aruba,M,3,60,64,74,80
Aruba,M,4,66,50,60,95
Aruba,M,5,62,55,47,69
Aruba,M,6,49,52,60,45
Aruba,M,7,65,56,47,70
Aruba,M,8,55,53,63,120
Aruba,M,9,46,56,82,92
Aruba,M,10,57,63,71,93
Aruba,M,11,68,52,57,78
Aruba,M,12,56,60,57,67
Australia,T,1,2818,2966,2926,3029
Australia,T,2,2828,2997,2902,2950
Australia,T,3,2763,3041,2914,3148
Australia,T,4,2882,2957,3007,2944
Australia,T,5,2885,2890,2910,3068
Australia,T,6,2724,2957,2917,2962
Australia,T,7,2825,2958,3030,2934
Australia,T,8,2857,3094,3059,3048
Australia,T,9,2858,3008,3090,3069
Australia,T,10,2882,2926,2996,3117
Australia,T,11,2879,3009,2976,3084
Australia,T,12,2870,2920,3095,3038
Australia,T,13,2939,3005,3143,3094
Australia,T,14,2784,2962,3217,2954
Australia,T,15,2828,3065,3140,3251
Australia,T,16,2965,3051,3084,3242
Australia,T,17,2840,3016,3044,3272
Australia,T,18,3021,3019,3032,3362
Australia,T,19,3148,3202,3161,3362
Australia,T,20,3133,3219,3150,3358
Australia,T,21,3252,3285,3214,3507
Australia,T,22,3199,3357,3178,3371
Australia,T,23,3301,3357,3113,3556
Australia,T,24,3129,3460,3128,3487
Australia,T,25,3254,3415,3064,3451
Australia,T,26,3309,3427,3058,3463
Australia,T,27,3375,3451,3218,3539
Australia,T,28,3214,3350,3197,3585
Australia,T,29,3376,3457,3204,3612
Australia,T,30,3467,3491,3332,3664
Australia,T,31,3286,3340,3353,3464
Australia,T,32,3209,3476,3398,3426
Australia,T,33,3375,3441,3478,3494
Australia,T,34,3354,3524,3310,3409
Australia,T,35,3449,3443,3283,3481
Australia,T,36,3313,3499,3290,3402
Australia,T,37,3111,3367,3239,3478
Australia,T,38,3151,3333,3100,3353
Australia,T,39,3143,3100,3145,3513
Australia,T,40,3137,3246,3183,3381
Australia,T,41,3155,3162,3042,3338
Australia,T,42,3090,3147,3003,3339
Australia,T,43,2980,3149,2964,3303
Australia,T,44,3032,3082,3036,3285
Australia,T,45,2999,2969,3034,3152
Australia,T,46,2903,3033,3132,3303
Australia,T,47,2990,2980,3043,3232
Australia,T,48,2957,2986,2957,3233
Australia,T,49,2964,2958,3106,3143
Australia,T,50,2989,2994,3007,3221
Australia,T,51,2934,2950,3047,3324
Australia,T,52,2945,2881,3067,3165
Austria,T,1,1767,1647,1614,1962
Austria,T,2,1842,1709,1702,1959
Austria,T,3,1786,1641,1797,2009
Austria,T,4,1714,1713,1779,1950
