Alabama,53102,66960,13858,26.12,47.63,40429.17,52,Alabama
Alaska,4396,6060,1664,36.95,56.33,111450.00,52,Alaska
Arizona,59973,82104,22131,36.61,57.01,45183.33,52,Arizona
Arkansas,31964,39853,7889,24.51,51.21,57520.83,52,Arkansas
Connecticut,31561,34621,3060,9.63,74.6,92075.00,52,Connecticut
Delaware,9336,11275,1939,21.03,64.16,91033.33,52,Delaware
Dystrykt Kolumbii,6045,7130,1085,18.20,67.56,105083.33,52,District of Columbia
Floryda,206587,264007,57420,27.68,63.36,43366.67,52,Florida
Georgia,85607,112249,26642,31.03,51.08,63920.83,52,Georgia
Hawaje,11543,12859,1316,11.29,62.48,179133.33,52,Hawaii
Idaho,14199,18300,4101,28.71,46.23,51425.00,52,Idaho
Illinois,105934,120576,14642,13.89,64.04,82079.17,52,Illinois
Indiana,66148,79009,12861,19.42,52.0,66312.50,52,Indiana
Iowa,30331,33886,3555,11.64,58.96,33966.67,52,Iowa
Kalifornia,268460,332310,63850,23.76,64.22,128658.33,52,California
Kansas,26500,30932,4432,16.65,57.02,86250.00,52,Kansas
Kentucky,48346,60158,11812,24.32,54.21,83225.00,52,Kentucky
Kolorado,39465,49007,9542,23.90,66.22,81291.67,52,Colorado
Luizjana,45999,57290,11291,24.57,50.26,134066.67,52,Louisiana
Maine,14663,17095,2432,16.41,75.82,78808.33,52,Maine
Maryland,50125,57252,7127,14.19,70.4,73550.00,52,Maryland
Massachusetts,59532,63746,4214,7.11,74.58,110766.67,52,Massachusetts
Michigan,97316,115708,18392,18.88,56.81,77495.83,52,Michigan
Minnesota,44901,51280,6379,14.11,65.42,71637.50,52,Minnesota
Mississippi,31764,40120,8356,26.17,48.07,48275.00,52,Mississippi
Missouri,64941,76224,11283,17.48,53.03,62266.67,52,Missouri
Montana,10167,12748,2581,24.86,54.02,50841.67,52,Montana
Nebraska,17121,19036,1915,11.17,59.85,37175.00,52,Nebraska
Nevada,25774,33830,8056,30.72,56.44,69425.00,52,Nevada
New Hampshire,12411,13802,1391,11.25,63.96,71520.83,52,New Hampshire
New Jersey,74189,83291,9102,12.32,70.49,77450.00,52,New Jersey
Nowy Jork,100181,115572,15391,15.38,,120537.50,52,New York
Nowy Meksyk,18569,24513,5944,31.64,66.25,96958.33,52,New Mexico
Ohio,123753,146963,23210,18.82,55.25,64095.83,52,Ohio
Oklahoma,39684,48925,9241,23.34,53.48,85383.33,52,Oklahoma
Oregon,36657,44877,8220,22.06,66.45,89391.67,52,Oregon
Pennsylwania,135141,155542,20401,15.14,63.85,62925.00,52,Pennsylvania
Południowa Dakota,8227,9370,1143,13.65,57.09,22333.33,52,South Dakota
Południowa Karolina,49602,64033,14431,28.98,53.12,54975.00,52,South Carolina
Północna Dakota,7182,8069,887,12.04,52.55,50550.00,52,North Dakota
Północna Karolina,95381,118452,23071,23.96,56.74,93625.00,52,North Carolina
Rhode Island,10490,11594,1104,10.46,76.45,108070.83,52,Rhode Island
Teksas,204444,270280,65836,32.10,56.96,84920.83,52,Texas
Tennessee,75041,94721,19680,26.06,51.36,51687.50,52,Tennessee
Utah,19130,23456,4326,22.38,58.8,42125.00,52,Utah
Vermont,5704,6628,924,16.38,77.39,88900.00,52,Vermont
Waszyngton,57307,68550,11243,19.41,67.92,127000.00,52,Washington
Wirginia,68700,84696,15996,23.13,67.95,74983.33,52,Virginia
Wirginia Zachodnia,22830,28665,5835,25.57,55.06,61158.33,52,West Virginia
Wisconsin,53588,60621,7033,13.07,61.96,87537.50,52,Wisconsin
Wyoming,4656,5931,1275,27.38,47.52,61158.33,52,Wyoming
