Aruba,10833.33,10000.00,27300.00,28275.00,0.00,10666.67,500.00,16450.00,7575.00,100.00,36500.00,11033.33,29750.00,21050.00,27280.00,8266.67,365
Afghanistan,12366.67,16516.67,23875.00,3500.00,7300.00,1150.00,3925.00,17375.00,0.00,0.00,11550.00,9666.67,3300.00,23400.00,8880.00,650.00,365
Angola,4333.33,21966.67,24200.00,28450.00,16400.00,12833.33,22300.00,22425.00,0.00,0.00,36500.00,29433.33,2650.00,26425.00,23940.00,12000.00,365
Albania,22300.00,14633.33,26100.00,30325.00,0.00,24333.33,1800.00,13250.00,18250.00,21100.00,27000.00,29833.33,22950.00,27750.00,21700.00,20300.00,365
Andorra,12166.67,17700.00,31250.00,34975.00,18250.00,833.33,1250.00,15225.00,33000.00,21700.00,36500.00,35833.33,36500.00,24400.00,28160.00,20766.67,365
United Arab Emirates,14816.67,15300.00,26100.00,31212.50,9250.00,1033.33,21200.00,20325.00,0.00,27950.00,36500.00,36500.00,36500.00,24825.00,32380.00,9966.67,365
Argentina,20416.67,18250.00,33050.00,27975.00,25525.00,15600.00,22150.00,28825.00,14200.00,18250.00,36500.00,24333.33,36500.00,27375.00,23000.00,12166.67,365
Australia,13666.67,19916.67,21325.00,29487.50,9125.00,9400.00,27925.00,34975.00,4450.00,4300.00,36500.00,24333.33,36500.00,22725.00,26160.00,24200.00,365
Austria,21983.33,26133.33,33700.00,30437.50,18250.00,11866.67,15425.00,26725.00,36500.00,36500.00,36500.00,36300.00,36500.00,27375.00,28960.00,36500.00,365
Azerbaijan,24516.67,25900.00,36500.00,29525.00,24575.00,9566.67,13150.00,34575.00,5850.00,2800.00,36500.00,27200.00,34950.00,26025.00,29420.00,13866.67,365
Burundi,866.67,13333.33,350.00,500.00,0.00,0.00,1250.00,12625.00,6400.00,13200.00,21400.00,16466.67,4850.00,11200.00,2160.00,0.00,365
Belgium,13566.67,23550.00,26925.00,33237.50,800.00,11233.33,0.00,29225.00,36500.00,18800.00,36500.00,32700.00,36500.00,25887.50,27960.00,24333.33,365
Benin,1333.33,9466.67,21775.00,27100.00,5100.00,5033.33,3300.00,23600.00,19625.00,18150.00,36500.00,17500.00,29400.00,33500.00,23280.00,266.67,365
Burkina Faso,0.00,0.00,0.00,0.00,0.00,1700.00,8400.00,15025.00,2100.00,14750.00,36500.00,32266.67,26400.00,33475.00,12800.00,0.00,365
Bangladesh,29100.00,19500.00,30150.00,30550.00,23200.00,22200.00,17150.00,20375.00,0.00,27800.00,36500.00,35666.67,24500.00,34875.00,20540.00,13683.33,365
Bulgaria,18600.00,22500.00,28025.00,24625.00,1100.00,733.33,1100.00,23100.00,27375.00,25750.00,36500.00,22700.00,31900.00,25600.00,33380.00,1233.33,365
Bahrain,18033.33,18233.33,31700.00,19450.00,1400.00,12683.33,6450.00,16225.00,18225.00,28000.00,36500.00,36500.00,36500.00,28912.50,31140.00,20933.33,365
Bahamas,19616.67,18733.33,20325.00,30925.00,6450.00,17033.33,25175.00,11625.00,8900.00,8900.00,36500.00,27900.00,36500.00,31350.00,26950.00,22816.67,365
Bosnia and Herzegovina,12166.67,15066.67,18250.00,28250.00,0.00,7600.00,450.00,9125.00,10775.00,22050.00,36500.00,29500.00,0.00,22600.00,18480.00,22216.67,365
Belarus,0.00,3266.67,12100.00,23525.00,0.00,7600.00,0.00,29525.00,1050.00,1050.00,36500.00,36500.00,30500.00,17975.00,17480.00,366.67,365
Belize,30733.33,24333.33,28400.00,30000.00,9150.00,21333.33,28675.00,9775.00,9325.00,26300.00,36500.00,28600.00,28700.00,30575.00,21220.00,20833.33,365
Bermuda,16100.00,15233.33,24650.00,29300.00,8350.00,17166.67,0.00,18250.00,22300.00,6600.00,36500.00,36500.00,35750.00,19375.00,27260.00,18133.33,365
Bolivia,19466.67,4166.67,7050.00,4037.50,3350.00,6066.67,3175.00,24800.00,15650.00,24200.00,36500.00,26300.00,22650.00,36150.00,22400.00,3933.33,365
Brazil,21850.00,24083.33,25925.00,22612.50,11550.00,17316.67,27375.00,13125.00,7225.00,0.00,36500.00,20300.00,3100.00,32500.00,26280.00,7483.33,365
