Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
09/28/2022,United States,2020,1,2020-01-04,60176,55009,843,11569,1829,2537,1559,3501,1068,1094,630,14202,3110,0,0,,,,,,,,,,,,,,,
09/28/2022,United States,2020,2,2020-01-11,60734,55754,861,11962,1942,2566,1528,3708,1035,1092,649,13911,3189,1,1,,,,,,,,,,,,,,,
09/28/2022,United States,2020,3,2020-01-18,59371,54521,829,11701,1819,2491,1484,3527,992,1121,612,13595,3256,2,1,,,,,,,,,,,,,,,
09/28/2022,United States,2020,4,2020-01-25,59163,54402,828,11880,1864,2517,1488,3403,979,1107,638,13612,3185,3,2,,,,,,,,,,,,,,,
09/28/2022,United States,2020,5,2020-02-01,58835,54001,811,11963,1828,2480,1411,3313,981,1074,616,13465,3084,0,0,,,,,,,,,,,,,,,
09/28/2022,United States,2020,6,2020-02-08,59482,54411,806,11704,1957,2515,1463,3413,975,1135,600,14001,3056,4,3,,,,,,,,,,,,,,,
09/28/2022,United States,2020,7,2020-02-15,58815,53969,792,11807,1848,2537,1515,3477,979,1070,613,13641,3089,6,2,,,,,,,,,,,,,,,
09/28/2022,United States,2020,8,2020-02-22,58921,53992,779,11780,1880,2515,1462,3454,968,1059,608,13636,3083,6,6,,,,,,,,,,,,,,,
09/28/2022,United States,2020,9,2020-02-29,59334,54316,814,11790,1831,2519,1508,3460,1011,1092,676,13714,3126,9,9,,,,,,,,,,,,,,,
09/28/2022,United States,2020,10,2020-03-07,59716,54401,811,11712,1868,2511,1608,3471,1002,1071,655,13693,3097,38,34,,,,,,,,,,,,,,,
09/28/2022,United States,2020,11,2020-03-14,58672,53529,756,11568,1743,2445,1641,3390,993,1078,642,13437,3165,60,55,,,,,,,,,,,,,,,
09/28/2022,United States,2020,12,2020-03-21,59220,54302,840,11732,1830,2514,1740,3384,1021,1105,618,13203,3066,588,550,,,,,,,,,,,,,,,
09/28/2022,United States,2020,13,2020-03-28,63026,58238,846,11782,2044,2749,1783,3519,1064,1024,629,13710,3067,3226,3043,,,,,,,,,,,,,,,
09/28/2022,United States,2020,14,2020-04-04,72294,67445,948,11592,2298,2871,1849,3538,1027,1038,689,14945,3165,10141,9638,,,,,,,,,,,,,,,
09/28/2022,United States,2020,15,2020-04-11,79095,74003,833,11549,2354,2963,1613,3441,1017,1120,664,15761,3191,16347,15528,,,,,,,,,,,,,,,
09/28/2022,United States,2020,16,2020-04-18,76827,71904,745,11210,2270,2899,1232,3196,916,1098,668,14575,3204,17221,16305,,,,,,,,,,,,,,,
09/28/2022,United States,2020,17,2020-04-25,73910,68741,735,11367,2085,2804,1138,2993,887,987,675,13859,3058,15557,14659,,,,,,,,,,,,,,,
09/28/2022,United States,2020,18,2020-05-02,69303,63930,739,11097,1935,2727,1009,2928,851,961,548,13003,3042,13223,12437,,,,,,,,,,,,,,,
09/28/2022,United States,2020,19,2020-05-09,66814,61173,720,11014,1972,2498,864,2808,855,938,587,13170,2849,11243,10463,,,,,,,,,,,,,,,
09/28/2022,United States,2020,20,2020-05-16,64479,58978,679,11269,1969,2432,857,2770,787,976,563,12735,2958,9239,8497,,,,,,,,,,,,,,,
09/28/2022,United States,2020,21,2020-05-23,61630,56005,713,11116,1834,2417,804,2675,743,917,569,12788,2827,7249,6593,,,,,,,,,,,,,,,
09/28/2022,United States,2020,22,2020-05-30,59694,53996,654,10903,1813,2261,751,2634,759,893,576,12456,2851,6176,5596,,,,,,,,,,,,,,,
09/28/2022,United States,2020,23,2020-06-06,58920,52936,729,11083,1727,2302,701,2564,779,904,556,12471,2791,5060,4519,,,,,,,,,,,,,,,
09/28/2022,United States,2020,24,2020-06-13,58034,52274,693,11130,1741,2326,700,2502,737,923,587,12413,2838,4233,3730,,,,,,,,,,,,,,,
09/28/2022,United States,2020,25,2020-06-20,57999,52211,685,11157,1792,2362,756,2563,761,933,611,12412,2923,3852,3347,,,,,,,,,,,,,,,
09/28/2022,United States,2020,26,2020-06-27,58510,52643,719,11356,1766,2288,722,2539,775,952,575,12515,2959,3846,3333,,,,,,,,,,,,,,,
09/28/2022,United States,2020,27,2020-07-04,59825,53803,682,11298,1933,2362,658,2623,780,985,591,12869,2832,4557,4050,,,,,,,,,,,,,,,
09/28/2022,United States,2020,28,2020-07-11,61962,55858,764,11333,1954,2472,739,2615,751,915,668,13042,2921,5786,5236,,,,,,,,,,,,,,,
09/28/2022,United States,2020,29,2020-07-18,63177,57140,708,11373,1887,2501,767,2647,712,984,666,12868,2982,7198,6530,,,,,,,,,,,,,,,
09/28/2022,United States,2020,30,2020-07-25,64249,58386,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250,7521,,,,,,,,,,,,,,,
09/28/2022,United States,2020,31,2020-08-01,64256,58288,689,11516,1989,2502,760,2738,779,961,625,12840,2989,8308,7613,,,,,,,,,,,,,,,
09/28/2022,United States,2020,32,2020-08-08,63719,57822,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870,7182,,,,,,,,,,,,,,,
09/28/2022,United States,2020,33,2020-08-15,63644,57747,736,11703,1895,2527,754,2656,798,969,637,12843,2946,7270,6563,,,,,,,,,,,,,,,
09/28/2022,United States,2020,34,2020-08-22,62562,56595,735,11517,1935,2566,697,2642,783,967,624,12769,2930,6389,5748,,,,,,,,,,,,,,,
09/28/2022,United States,2020,35,2020-08-29,61104,55332,726,11576,1883,2430,678,2559,745,983,609,12476,2994,5755,5153,,,,,,,,,,,,,,,
09/28/2022,United States,2020,36,2020-09-05,60247,54238,701,11376,1837,2506,733,2552,801,929,568,12513,2862,5021,4434,,,,,,,,,,,,,,,
09/28/2022,United States,2020,37,2020-09-12,59665,53942,697,11468,1899,2330,681,2560,748,928,604,12355,3046,4628,4078,,,,,,,,,,,,,,,
09/28/2022,United States,2020,38,2020-09-19,59753,54137,744,11630,1861,2373,716,2518,778,921,628,12697,2948,4280,3764,,,,,,,,,,,,,,,
09/28/2022,United States,2020,39,2020-09-26,60613,55059,764,11863,1843,2499,724,2672,786,923,588,12710,3077,4305,3797,,,,,,,,,,,,,,,
09/28/2022,United States,2020,40,2020-10-03,59802,54099,718,11424,1895,2413,763,2578,719,944,646,12651,2886,4246,3699,,,,,,,,,,,,,,,
09/28/2022,United States,2020,41,2020-10-10,61779,55933,757,11829,1895,2515,726,2614,798,958,621,12810,3123,4823,4279,,,,,,,,,,,,,,,
09/28/2022,United States,2020,42,2020-10-17,60643,55200,776,11320,1844,2538,724,2598,815,1023,600,12580,3039,5204,4592,,,,,,,,,,,,,,,
09/28/2022,United States,2020,43,2020-10-24,62209,56862,728,11678,1836,2572,766,2699,796,944,604,12879,3078,6000,5330,,,,,,,,,,,,,,,
09/28/2022,United States,2020,44,2020-10-31,63425,58053,699,11528,1937,2460,793,2569,833,921,579,13154,3104,7031,6260,,,,,,,,,,,,,,,
09/28/2022,United States,2020,45,2020-11-07,67590,61742,765,11808,1961,2664,801,2896,814,1028,674,13675,3159,8766,7847,,,,,,,,,,,,,,,
09/28/2022,United States,2020,46,2020-11-14,68845,63230,795,11745,2025,2737,847,2754,858,1022,593,13478,3175,10654,9581,,,,,,,,,,,,,,,
09/28/2022,United States,2020,47,2020-11-21,71676,66245,819,11633,2117,2656,831,2815,857,1032,686,13644,3215,13365,12074,,,,,,,,,,,,,,,
09/28/2022,United States,2020,48,2020-11-28,73305,67907,773,11395,2156,2774,810,2755,861,1043,687,13560,3127,15628,14135,,,,,,,,,,,,,,,
09/28/2022,United States,2020,49,2020-12-05,77448,71990,844,11358,2214,2843,916,2836,903,1035,704,14310,3313,18579,16861,,,,,,,,,,,,,,,
09/28/2022,United States,2020,50,2020-12-12,82006,76426,836,11904,2303,2934,953,3032,969,1086,722,14576,3479,20940,19080,,,,,,,,,,,,,,,
09/28/2022,United States,2020,51,2020-12-19,82938,77523,840,11781,2356,3060,948,2948,920,1020,713,14757,3468,22342,20437,,,,,,,,,,,,,,,
09/28/2022,United States,2020,52,2020-12-26,84371,78718,858,11694,2330,2982,978,2861,922,1124,771,14842,3385,23399,21376,,,,,,,,,,,,,,,
09/28/2022,United States,2020,53,2021-01-02,87035,81121,894,11694,2448,3075,1011,3060,904,1111,712,15230,3509,24893,22761,,,,,,,,,,,,,,,
09/28/2022,United States,2021,1,2021-01-09,87075,81202,854,11340,2377,2946,1025,2956,936,1160,658,15104,3372,26027,23954,,,,,,,,,,,,,,,
09/28/2022,United States,2021,2,2021-01-16,87437,81642,828,11852,2473,2996,999,2939,963,1224,679,15024,3535,25739,23527,,,,,,,,,,,,,,,
09/28/2022,United States,2021,3,2021-01-23,83684,78099,839,11583,2217,2931,923,2816,899,1188,658,14614,3451,23731,21686,,,,,,,,,,,,,,,
09/28/2022,United States,2021,4,2021-01-30,79202,73653,783,11694,2183,2650,903,2783,954,1165,618,14306,3295,20362,18441,,,,,,,,,,,,,,,
09/28/2022,United States,2021,5,2021-02-06,76515,70619,833,11607,2106,2598,843,2861,927,1133,672,14426,3325,17068,15268,,,,,,,,,,,,,,,
09/28/2022,United States,2021,6,2021-02-13,71514,65875,833,11489,2091,2397,856,2656,895,1113,606,13963,3402,13550,12036,,,,,,,,,,,,,,,
09/28/2022,United States,2021,7,2021-02-20,69531,63976,821,11416,2305,2495,880,2702,863,1070,625,14278,3194,10835,9512,,,,,,,,,,,,,,,
09/28/2022,United States,2021,8,2021-02-27,66740,60968,868,11615,2003,2484,794,2622,891,1084,584,13614,3220,8674,7526,,,,,,,,,,,,,,,
09/28/2022,United States,2021,9,2021-03-06,63727,57943,791,11439,1982,2306,842,2580,815,1068,575,13327,3183,6742,5792,,,,,,,,,,,,,,,
09/28/2022,United States,2021,10,2021-03-13,61867,56205,839,11417,1915,2300,782,2638,857,1021,581,13214,3097,5733,4794,,,,,,,,,,,,,,,
09/28/2022,United States,2021,11,2021-03-20,60374,54422,767,11297,1986,2184,751,2555,850,991,613,12787,3090,4911,4097,,,,,,,,,,,,,,,
09/28/2022,United States,2021,12,2021-03-27,60818,54984,741,11425,1922,2252,695,2678,842,1034,609,13113,3127,4464,3780,,,,,,,,,,,,,,,
09/28/2022,United States,2021,13,2021-04-03,58699,52889,702,11099,1945,2049,704,2516,847,1013,598,12568,2954,4213,3539,,,,,,,,,,,,,,,
09/28/2022,United States,2021,14,2021-04-10,60998,54675,713,11570,1905,2186,752,2617,782,1040,624,12971,3063,4325,3658,,,,,,,,,,,,,,,
09/28/2022,United States,2021,15,2021-04-17,59175,53235,685,11389,1809,1966,684,2473,773,980,594,12814,3114,4461,3775,,,,,,,,,,,,,,,
09/28/2022,United States,2021,16,2021-04-24,60260,54276,729,11580,1907,2039,703,2566,864,981,573,12999,3102,4614,3945,,,,,,,,,,,,,,,
09/28/2022,United States,2021,17,2021-05-01,59833,54013,707,11621,1911,2125,692,2618,839,997,560,12832,2945,4180,3607,,,,,,,,,,,,,,,
09/28/2022,United States,2021,18,2021-05-08,59015,52988,700,11363,1895,2098,699,2585,843,917,585,12690,2982,4015,3445,,,,,,,,,,,,,,,
09/28/2022,United States,2021,19,2021-05-15,58484,52595,690,11542,1872,2015,670,2523,836,967,582,12436,2978,3694,3170,,,,,,,,,,,,,,,
09/28/2022,United States,2021,20,2021-05-22,58761,52631,711,11602,1717,2165,641,2622,865,971,603,12408,3012,3245,2755,,,,,,,,,,,,,,,
09/28/2022,United States,2021,21,2021-05-29,57344,51384,726,11276,1784,2009,659,2571,835,1023,586,12486,2926,2783,2314,,,,,,,,,,,,,,,
09/28/2022,United States,2021,22,2021-06-05,57459,51170,701,11497,1739,2040,634,2581,799,957,588,12463,2869,2353,2002,,,,,,,,,,,,,,,
09/28/2022,United States,2021,23,2021-06-12,57160,50783,738,11356,1815,2092,672,2617,820,956,591,12448,2866,2048,1682,,,,,,,,,,,,,,,
09/28/2022,United States,2021,24,2021-06-19,57244,50976,726,11532,1806,2095,641,2581,875,995,597,12606,2919,1783,1434,,,,,,,,,,,,,,,
09/28/2022,United States,2021,25,2021-06-26,56953,50742,747,11502,1856,1981,692,2646,898,947,655,12416,2961,1639,1320,,,,,,,,,,,,,,,
09/28/2022,United States,2021,26,2021-07-03,57530,51136,752,11581,1824,2053,625,2642,820,975,665,12606,3017,1548,1235,,,,,,,,,,,,,,,
09/28/2022,United States,2021,27,2021-07-10,57219,50732,772,11511,1726,1972,714,2602,881,998,650,12504,2882,1650,1352,,,,,,,,,,,,,,,
09/28/2022,United States,2021,28,2021-07-17,57217,51087,775,11581,1777,2025,719,2720,840,955,627,12231,2963,1995,1697,,,,,,,,,,,,,,,
09/28/2022,United States,2021,29,2021-07-24,58475,52287,780,11542,1798,2038,686,2681,783,942,694,12478,2996,2770,2422,,,,,,,,,,,,,,,
09/28/2022,United States,2021,30,2021-07-31,60318,54155,771,11652,1772,2137,746,2591,842,982,657,12786,2918,4126,3730,,,,,,,,,,,,,,,
09/28/2022,United States,2021,31,2021-08-07,63820,57400,771,11793,1914,2158,736,2825,822,998,622,12927,2989,6500,5950,,,,,,,,,,,,,,,
09/28/2022,United States,2021,32,2021-08-14,67050,60840,803,11996,2015,2156,774,2711,867,946,761,13193,2965,9424,8771,,,,,,,,,,,,,,,
09/28/2022,United States,2021,33,2021-08-21,69963,63770,764,11882,1952,2193,776,2794,861,1032,708,13147,3068,12205,11377,,,,,,,,,,,,,,,
09/28/2022,United States,2021,34,2021-08-28,72188,65911,743,11780,2011,2274,812,2732,931,1039,728,13421,2990,14208,13303,,,,,,,,,,,,,,,
09/28/2022,United States,2021,35,2021-09-04,73542,67250,774,11733,2009,2316,751,2707,841,1041,753,13419,3079,15537,14567,,,,,,,,,,,,,,,
09/28/2022,United States,2021,36,2021-09-11,73746,67308,832,11534,2042,2262,868,2691,901,1045,759,13435,3129,15449,14475,,,,,,,,,,,,,,,
09/28/2022,United States,2021,37,2021-09-18,73317,67119,827,11845,2034,2379,839,2805,925,1059,717,13157,3056,15243,14193,,,,,,,,,,,,,,,
09/28/2022,United States,2021,38,2021-09-25,72188,66027,813,11743,2017,2320,818,2747,868,1043,707,13068,3086,14375,13403,,,,,,,,,,,,,,,
09/28/2022,United States,2021,39,2021-10-02,71350,65107,888,11901,1979,2304,843,2757,894,1064,744,13248,3065,12856,11869,,,,,,,,,,,,,,,
09/28/2022,United States,2021,40,2021-10-09,69136,63023,843,11746,1958,2272,794,2765,866,982,696,13255,3119,11196,10305,,,,,,,,,,,,,,,
09/28/2022,United States,2021,41,2021-10-16,67551,61594,848,11699,1873,2168,860,2787,885,1037,669,13179,3104,9902,9039,,,,,,,,,,,,,,,
09/28/2022,United States,2021,42,2021-10-23,67088,61168,877,11752,1895,2296,803,2736,943,1018,679,13223,3176,8957,8101,,,,,,,,,,,,,,,
09/28/2022,United States,2021,43,2021-10-30,66482,60493,817,11749,2023,2285,843,2690,873,1070,702,13360,3196,7974,7203,,,,,,,,,,,,,,,
