"Afryka Południowa",526223,575345,49122,9.33,17933.33,16500,23950,20275,8550,17366.67,19300,24675,12750,21700,30200,27166.67,30000,19125,0,28366.67,52,"T"
"Albania",21871,27605,5734,26.22,20166.67,19466.67,29800,27800,11250,14133.33,11450,16800,14750,18000,30950,15000,25950,18225,0,29700,12,"M"
"Algieria",179291,235628,56337,31.42,23500,18550,22750,24737.5,19725,15266.67,16075,29275,1550,24150,28200,9500,18700,16725,0,15266.67,12,"M"
"Andora",318,419,101,31.76,15000,20766.67,20500,15900,14100,3866.67,0,14250,29400,24200,21500,21266.67,21800,19050,0,19733.33,12,"M"
"Argentyna",339328,376221,36893,10.87,27666.67,19900,29375,27762.5,24725,17000,26300,27950,14200,28200,34400,13166.67,30300,19650,60,23166.67,12,"M"
"Aruba",691,743,52,7.53,16900,14533.33,25900,19050,0,13466.67,11250,18775,12375,26500,28900,9900,14400,9650,0,26233.33,12,"M"
"Australia",161722,161716,-6,-0,15283.33,15750,22975,25037.5,5700,11266.67,21925,32300,14500,28200,33750,26100,34200,11887.5,0,12116.67,52,"T"
"Austria",81774,89196,7422,9.08,13716.67,17300,24050,22925,5950,8466.67,9075,22350,23250,29100,31200,23000,29400,16350,200,21716.67,52,"T"
"Azerbejdżan",56849,75647,18798,33.07,28933.33,18833.33,27175,28275,12725,15816.67,22750,30275,24775,0,30900,20866.67,30500,16275,0,14800,12,"M"
"Barbados",2714,2713,-1,-0.04,18500,14433.33,19000,13425,12400,8933.33,11450,16500,6875,19850,34500,19933.33,29000,13150,0,19700,12,"M"
"Belgia",109389,125991,16602,15.18,13266.67,22333.33,27850,27625,0,11683.33,9125,23075,23725,24000,33750,18266.67,27700,16050,80,19216.67,52,"T"
"Belize",1955,2158,203,10.38,28700,20400,29100,25200,1700,10166.67,20475,23000,11525,17100,31300,13433.33,28200,18375,0,9633.33,12,"M"
"Bermudy",534,566,32,5.99,19400,14566.67,16000,22375,6700,8466.67,9100,18800,16950,6650,34500,25966.67,33800,15150,0,11533.33,12,"M"
"Białoruś",120480,144536,24056,19.97,1066.67,0,13500,26800,0,9166.67,0,18350,0,0,13200,25600,26700,9187.5,60,9766.67,12,"M"
"Boliwia",51784,74863,23079,44.57,29500,21916.67,27950,26025,21475,18366.67,26425,20150,13800,4600,29550,8966.67,10650,17425,0,23366.67,12,"M"
"Bośnia i Hercegowina",36718,42803,6085,16.57,22166.67,15400,28650,22750,5000,7766.67,9650,14450,3150,6300,28400,15833.33,0,20850,0,24450,12,"M"
"Brazylia",1333261,1581645,248384,18.63,24083.33,21033.33,22125,22687.5,17450,13166.67,21750,17200,13550,14250,29475,18533.33,27500,25875,0,9533.33,12,"M"
"Brunei",1685,1752,67,3.98,17233.33,4566.67,17850,18525,0,0,5350,26600,4625,27500,36100,24533.33,22000,13275,0,9333.33,12,"M"
"Bułgaria",108010,122946,14936,13.83,21066.67,12166.67,19025,20825,0,3083.33,4825,22500,20575,16700,31850,9966.67,24700,14500,100,2166.67,52,"T"
