"Afryka Południowa",9.33,167675.00
"Albania",26.22,169091.67
"Algieria",31.42,186604.17
"Andora",31.76,123433.34
"Argentyna",10.87,220329.17
"Aruba",7.53,129525.00
"Australia",-0,162125.00
"Austria",9.08,140183.34
"Azerbejdżan",33.07,201058.33
"Barbados",-0.04,127791.66
"Belgia",15.18,151008.33
"Belize",10.38,177116.67
"Bermudy",5.99,130558.34
"Białoruś",19.97,78070.84
"Boliwia",44.57,209233.34
"Bośnia i Hercegowina",16.57,146683.34
"Brazylia",18.63,185370.83
"Brunei",3.98,103400.00
"Bułgaria",13.83,117991.67
"Chile",16.05,190887.50
"Chorwacja",8.31,121766.66
"Cypr",7.87,158758.34
"Czechy",13.94,133445.84
"Dania",-0.41,127933.34
"Dominika",5.53,196200.00
"Egipt",17.88,163075.01
"Ekwador",59.01,183250.01
"Estonia",1.17,98441.67
"Filipiny",1.38,194591.66
"Finlandia",1.78,99104.17
"Francja",8.95,167454.17
"Grecja",6.58,164933.33
"Grenlandia",0.19,89391.67
"Gruzja",8.47,176608.33
"Gwatemala",14.55,199058.34
"Hiszpania",16.66,171483.33
"Holandia",9.79,144450.00
"Hongkong",5.16,159183.34
"Iran",32.63,151787.49
"Irlandia",2.49,162758.33
"Islandia",1.95,102779.16
"Izrael",7.32,180233.33
"Jamajka",1.58,197416.66
"Japonia",0.69,81725.00
"Jordania",17.93,170508.33
"Kanada",7.36,166470.83
"Katar",14.57,182741.67
"Kazachstan",23.19,201679.17
"Kirgistan",20.62,182204.17
"Kolumbia",25.46,192658.34
"Korea Południowa",2.47,144283.33
"Kosowo",40.95,177733.33
"Kostaryka",9.08,157025.00
"Kuba",4.46,186366.67
"Kuwejt",49.77,200354.17
"Liban",13.46,185408.34
"Liechtenstein",18.59,120808.33
"Litwa",10.72,128691.66
"Luksemburg",6.4,127525.00
"Łotwa",1.37,117425.00
"Makao",2.48,77250.00
"Malezja",-3.6,166800.00
"Malta",10.25,136108.33
"Mauritius",0.72,85033.34
"Meksyk",45.35,183412.50
"Mołdowa",10.09,160333.33
"Monako",-0.76,170783.33
"Mongolia",-7.79,180345.83
"Niemcy",3.32,150683.34
"Nikaragua",35.54,18266.67
"Norwegia",-0.55,108083.34
"Nowa Zelandia",-3.13,90958.33
"Oman",20.6,199324.99
"Palestyna",13.31,187937.50
"Panama",19.23,200250.00
"Paragwaj",11.1,185166.67
"Peru",55.3,214133.33
"Polska",15.72,141920.83
"Portoryko",8.98,195291.67
"Portugalia",9.38,160966.66
"Rosja",17.92,145979.17
"Rumunia",12.8,142766.66
"Salwador",16.03,195183.34
"San Marino",38.31,113275.00
"Serbia",15.06,143783.33
"Seszele",-17.22,78683.34
"Singapur",3.23,149850.00
"Słowacja",8.56,139220.83
"Słowenia",15.9,152262.50
"Stany Zjednoczone",17.85,176850.01
"Surinam",2.9,181749.99
"Szwajcaria",11.95,121508.33
"Szwecja",7.74,129525.00
"Tadżykistan",28.71,110833.34
"Tajlandia",2.36,138254.16
"Tajwan",-0.79,57433.33
"Tunezja",8.45,128275.01
"Ukraina",5.55,164795.83
"Urugwaj",-5.31,114008.33
"Uzbekistan",13.5,149391.67
"Węgry",7.55,139729.16
"Wielka Brytania",12.89,165695.84
"Włochy",15.54,203216.67
"Wyspy Owcze",-9.18,83516.67
