"Afryka Południowa",526223,706615,180392,34.28,26.66,15133.33,17133.33,20650,27225,17850,24066.67,3950,11150,16850,25800,36500,33333.33,36500,27550,21320,27200,52,"T"
"Albania",21871,30580,8709,39.82,36.12,22300,14633.33,26100,30325,0,24333.33,1800,13250,18250,21100,27000,29833.33,22950,27750,21700,20300,12,"M"
"Aruba",691,964,273,39.51,74.16,10833.33,10000,27300,28275,0,10666.67,500,16450,7575,100,36500,11033.33,29750,21050,27280,8266.67,12,"M"
"Australia",161722,170960,9238,5.71,76.22,13666.67,19916.67,21325,29487.5,9125,9400,27925,34975,4450,4300,36500,24333.33,36500,22725,26160,24200,52,"T"
"Austria",81774,89538,7764,9.49,73.55,21983.33,26133.33,33700,30437.5,18250,11866.67,15425,26725,36500,36500,36500,36300,36500,27375,28960,36500,52,"T"
"Azerbejdżan",56849,76878,20029,35.23,45.35,24516.67,25900,36500,29525,24575,9566.67,13150,34575,5850,2800,36500,27200,34950,26025,29420,13866.67,12,"M"
"Barbados",2045,2000,-45,-2.2,51.09,30966.67,24266.67,33600,31925,13900,22600,1350,17200,16075,18250,36200,32933.33,27300,27000,26600,13033.33,9,"M"
"Belgia",109389,111956,2567,2.35,76.04,13566.67,23550,26925,33237.5,800,11233.33,0,29225,36500,18800,36500,32700,36500,25887.5,27960,24333.33,52,"T"
"Belize",1955,2489,534,27.31,49.78,30733.33,24333.33,28400,30000,9150,21333.33,28675,9775,9325,26300,36500,28600,28700,30575,21220,20833.33,12,"M"
"Bermudy",534,727,193,36.14,70.44,16100,15233.33,24650,29300,8350,17166.67,0,18250,22300,6600,36500,36500,35750,19375,27260,18133.33,12,"M"
"Boliwia",51784,84301,32517,62.79,38.02,19466.67,4166.67,7050,4037.5,3350,6066.67,3175,24800,15650,24200,36500,26300,22650,36150,22400,3933.33,12,"M"
"Bośnia i Hercegowina",36718,48503,11785,32.1,22.03,12166.67,15066.67,18250,28250,0,7600,450,9125,10775,22050,36500,29500,0,22600,18480,22216.67,12,"M"
