CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
United States,USA,Alabama,US_AL,STATE_WIDE,20200101,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200102,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200103,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200104,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200105,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200106,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200107,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200108,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200109,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,USA,Alabama,US_AL,STATE_WIDE,20200110,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.00,,,0.00,,,0.00,,,,,0,,0,,,,,,,,0,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
