"Annual average of total population by Gender, Year, Age_group and Type"

"Gender","Year","Total Annual average of total population"
"Total","2001",3060178
"Total","2002",3051013
"Total","2003",3039622
"Total","2004",3026941
"Total","2005",3011490
"Total","2006",2992550
"Total","2007",2970020
"Total","2008",2947319
"Total","2009",2927522
"Total","2010",2913028
"Total","2011",2905195
"Total","2012",2900401
"Total","2013",2895092
"Total","2014",2889104
"Total","2015",2880703
"Total","2016",2876101
"Total","2017",2873457
"Total","2018",2866376
"Total","2019",2854191
"Total","2020",2837849
"Total","2021",2811666
"Total","2022",2777689
