"Deaths  by Municipality, Type and Year"

"Municipality","Deaths  2011","Deaths  2012","Deaths  2013","Deaths  2014","Deaths  2015","Deaths  2016","Deaths  2017","Deaths  2018","Deaths  2019","Deaths  2020","Deaths  2021"
"Belsh",125,130,132,140,131,138,153,123,128,176,170
"Berat",475,512,463,472,527,500,545,500,530,646,735
"Bulqizë",202,210,224,216,240,236,201,229,207,239,240
"Cërrik",181,180,188,179,208,212,210,208,209,244,310
"Delvinë",89,72,88,88,89,84,92,74,77,109,124
"Devoll",271,291,292,287,307,272,291,271,297,322,339
"Dibër",414,396,362,414,426,378,406,380,406,446,471
"Divjakë",215,248,244,220,251,251,254,240,252,262,395
"Dropull",125,118,115,111,97,101,104,89,73,75,91
"Durrës",1211,1224,1253,1245,1285,1340,1325,1430,1358,1733,1961
"Elbasan",916,963,926,1026,1060,1019,1107,1137,1034,1396,1407
"Fier ",946,969,964,921,1044,963,1015,1042,995,1344,1516
"Finiq",168,159,176,190,153,137,107,124,100,117,133
"Fushë - Arrëz",58,51,48,57,60,69,62,64,63,74,67
"Gjirokastër",251,301,279,263,247,280,278,254,264,330,357
"Gramsh",183,137,164,159,186,162,195,161,177,213,245
"Has",65,50,50,77,153,120,138,116,108,110,102
"Himarë",116,119,119,139,109,107,137,122,123,126,183
"Kamëz",435,413,437,393,490,467,450,452,487,600,682
"Kavajë",324,360,342,342,392,334,363,348,369,412,536
"Kelcyrë",61,51,76,71,81,73,63,65,58,81,93
"Klos",92,110,122,109,118,124,125,111,142,133,126
"Kolonjë",120,119,113,118,113,134,123,109,124,168,147
"Konispol",67,58,63,50,72,60,63,67,85,63,91
"Korçë",786,841,782,858,899,857,831,855,817,1030,1087
"Krujë",380,337,350,351,390,387,414,421,445,508,528
"Kuçovë",262,258,238,255,267,272,292,266,269,359,400
"Kukës",246,258,286,279,263,255,295,244,260,329,336
"Kurbin",308,294,364,339,295,355,345,331,331,435,463
"Lezhë",428,490,441,432,516,448,486,443,462,643,645
"Libohovë",42,44,46,41,41,39,47,39,34,43,62
"Librazhd",230,218,225,228,254,202,219,222,207,272,314
"Lushnje",543,610,599,569,680,605,687,643,627,836,922
"Malësi e Madhe",246,293,259,289,314,294,291,241,251,339,380
"Maliq",360,391,371,355,401,363,400,372,369,404,478
"Mallakastër",184,209,182,174,198,166,199,193,197,234,291
"Mat",201,185,200,188,210,199,188,194,195,220,247
"Memaliaj",114,111,133,101,94,103,113,97,102,131,150
"Mirditë",176,191,209,177,217,195,187,201,180,228,243
"Patos",166,181,187,190,214,200,193,201,184,235,266
"Peqin",164,153,158,153,156,175,153,168,154,219,230
"Përmet",122,119,103,111,140,109,116,113,115,158,180
"Pogradec",475,498,494,474,535,492,523,444,480,626,631
"Poliçan",73,106,90,92,117,114,94,95,104,99,134
"Prrenjas",136,153,143,167,156,169,169,169,156,192,189
"Pukë",95,98,102,79,105,86,95,90,98,85,126
"Pustec",39,29,25,34,31,22,29,38,36,29,44
"Rrogozhinë",167,167,141,143,169,165,171,185,175,173,216
"Rroskovec",136,134,152,151,134,128,152,165,150,201,203
"Sarandë",140,164,168,179,174,187,159,188,170,199,317
"Selenicë",177,192,145,167,179,156,172,188,189,178,223
"Shijak",188,195,203,183,236,209,216,223,234,313,298
"Shkodër",1095,1157,1094,1165,1188,1159,1209,1191,1149,1521,1576
"Skrapar",119,97,102,102,101,89,101,129,113,111,152
"Tepelenë",88,95,78,77,86,104,100,87,106,96,110
"Tiranë",3443,3740,3599,3627,4083,3985,4115,4023,4216,5738,6142
"Tropojë",157,152,152,138,165,137,177,142,171,188,172
"Ura Vajgurore",151,202,177,145,189,193,191,160,209,219,259
"Vau i Dejës",230,271,238,262,254,215,217,225,228,323,335
"Vlorë",820,822,794,911,885,829,903,910,923,1051,1380
"Vorë",151,125,143,150,213,144,150,166,142,206,219
"Unknown",64,49,29,33,30,20,26,26,23,15,38
"Total",20012,20870,20442,20656,22418,21388,22232,21804,21937,27605,30507
