1950,17215
1951,18862
1952,19826
1953,17822
1954,17560
1955,20750
1956,16370
1957,17241
1958,14059
1959,15305
1960,16775
1961,15445
1962,18363
1963,17646
1964,15811
1965,16731
1966,16469
1967,16565
1968,16214
1969,15624
1970,19774
1971,17768
1972,17616
1973,18032
1974,17726
1975,17399
1976,17029
1977,16638
1978,16219
1979,17421
1980,16981
1981,18001
1982,16521
1983,17416
1984,16618
1985,17179
1986,17369
1987,17119
1988,17027
1989,18168
1990,18193
1991,17743
1992,18026
1993,17920
1994,18342
1995,18060
1996,17600
1997,18237
1998,18250
1999,16720
2000,16421
2001,19013
2002,19187
2003,21294
2004,20269
2005,20430
2006,20852
2007,20886
2008,20749
2009,20428
2010,20107
2011,20012
2012,20870
2013,20442
2014,20656
2015,22418
2016,21388
2017,22232
2018,21804
2019,21937
2020,27605
2021,30507
2022,23998
