"Deaths by age groups by Time, Age Groups and Type"

"Time","Up to 1 Deaths by age groups"," 1- 4 Deaths by age groups"," 5- 9 Deaths by age groups","10-14 Deaths by age groups","15-19 Deaths by age groups","20-24 Deaths by age groups","25-29 Deaths by age groups","30-34 Deaths by age groups","35-39 Deaths by age groups","40-44 Deaths by age groups","45-49 Deaths by age groups","50-54 Deaths by age groups","55-59 Deaths by age groups","60-64 Deaths by age groups","65-69 Deaths by age groups","70-74 Deaths by age groups","75-79 Deaths by age groups","80-84 Deaths by age groups","Above 84 Deaths by age groups","Unknown Deaths by age groups","Total Deaths by age groups"
"1990",2321,1089,288,172,185,260,281,284,245,244,340,567,733,1177,1490,1862,2209,2031,2296,119,18193
"1991",2547,893,243,184,256,310,259,294,300,333,360,555,818,1161,1362,1813,2069,1846,2021,119,17743
"1992",2550,903,239,179,222,307,316,306,273,329,383,587,794,1285,1400,1883,1939,1634,2449,48,18026
"1993",2401,977,233,174,208,341,309,315,303,318,311,613,826,1194,1261,1946,1847,1787,2428,128,17920
"1994",2547,980,218,167,218,320,316,311,287,307,336,578,811,1163,1427,2024,1904,1460,2620,348,18342
"1995",2162,727,201,142,234,326,283,296,299,334,328,514,827,1169,1548,1944,1988,1668,2781,289,18060
"1996",1762,651,186,156,217,261,270,262,301,300,367,489,760,1199,1632,1906,2030,1648,2825,378,17600
"1997",1368,454,197,177,325,539,529,524,453,406,399,525,799,1199,1461,1822,2141,1559,2715,645,18237
"1998",903,419,193,183,345,530,645,479,454,383,423,563,801,1208,1485,1823,2245,1626,2969,573,18250
"1999",692,351,182,178,350,466,668,231,300,350,354,564,797,1198,1459,1815,2006,1558,2834,367,16720
"2000",608,357,152,115,185,249,253,239,301,330,374,456,699,1070,1466,1993,2104,2039,2721,710,16421
"2001",603,249,137,110,181,211,241,257,294,341,398,495,618,1108,1426,2044,2023,2089,2318,670,15813
"2002",466,291,134,110,156,210,241,243,279,361,402,525,635,1133,1627,2083,2293,2387,2672,0,16248
"2003",395,302,139,130,171,211,195,218,236,402,433,586,706,1210,1760,2400,2497,2802,3174,0,17967
"2004",336,237,164,140,157,219,181,225,244,365,469,586,676,1248,1720,2428,2608,2768,2978,0,17749
"2005",303,204,127,113,153,191,180,215,241,318,476,595,686,1129,1640,2336,2678,2639,3203,0,17427
"2006",253,124,105,106,146,163,176,182,229,296,459,581,676,965,1527,2284,2721,2572,3353,17,16935
"2007",205,84,87,99,137,159,161,165,198,238,398,539,626,741,1348,1884,2371,2121,2954,13,14528
"2008",217,82,66,70,135,148,160,152,177,265,470,593,755,835,1478,2123,2583,2458,3376,0,16143
"2009",352,210,120,111,221,301,280,288,328,442,629,795,973,1489,2315,2866,3460,2763,2485,0,20428
"2010",328,208,119,109,217,296,275,283,322,436,619,782,954,1461,2275,2820,3411,2735,2457,0,20107
"2011",299,207,118,109,216,295,274,282,321,434,617,779,951,1457,2268,2811,3400,2726,2448,0,20012
"2012",312,71,57,53,126,157,154,151,232,304,456,679,965,1103,1551,2604,3574,3657,4664,0,20870
"2013",282,70,42,57,156,164,143,165,185,290,450,705,954,1163,1448,2622,3426,3582,4538,0,20442
"2014",281,48,53,49,103,138,147,147,213,265,479,722,954,1149,1471,2439,3492,3696,4810,0,20656
"2015",233,62,40,49,113,120,131,124,159,270,417,710,966,1264,1620,2682,3790,4190,5478,0,22418
"2016",277,48,28,46,88,88,118,116,176,230,398,609,970,1256,1610,2261,3674,4050,5345,0,21388
"2017",248,36,30,45,76,109,105,112,165,218,392,646,1015,1302,1679,2255,3719,4427,5653,0,22232
"2018",257,34,32,43,71,105,106,116,155,201,338,572,995,1386,1683,2098,3717,4400,5495,0,21804
"2019",293,22,25,41,71,86,99,139,127,215,355,546,989,1364,1681,2165,3712,4391,5616,0,21937
"2020",281,25,16,25,40,68,86,133,185,245,392,654,1236,1831,2319,2989,4499,5647,6934,0,27605
"2021",228,23,23,35,54,98,102,100,192,263,475,781,1299,2095,2681,3629,4819,5923,7687,0,30507
