"Year";"Total";"0 to 14 years";"15 to 59 years";"60 years and over"
"2011";"76479";"408";"8677";"67394"
"2012";"79436";"383";"8469";"70584"
"2013";"79526";"382";"8415";"70729"
"2014";"78252";"376";"8364";"69512"
"2015";"83073";"373";"8373";"74327"
"2016";"80669";"386";"8136";"72147"
"2017";"83270";"380";"8015";"74875"
"2018";"83975";"338";"8245";"75392"
"2019";"83386";"387";"7810";"75189"
"2020";"91599";"377";"7928";"83294"
"2021";"91962";"334";"8268";"83360"
"2022";"93332";"331";"7912";"85089"
