Série évolutive des décès par mois, selon différentes sources, population totale*,,,,,,,,,,,,,,,
ANNEES,,Janvier*,Février*,Mars*,Avril*,Mai*,Juin*,Juillet*,Août*,Septembre*,Octobre*,Novembre*,Décembre*,,TOTAL*
1840,,10072,9408,12593,10890,8973,7659,6935,6624,6843,6875,6772,10258,,-
1841,,-,-,-,-,-,-,-,-,-,-,-,-,,97108
1842,,-,-,-,-,-,-,-,-,-,-,-,-,,103068
1843,,-,-,-,-,-,-,-,-,-,-,-,-,,97055
1844,,-,-,-,-,-,-,-,-,-,-,-,-,,94911
1845,,-,-,-,-,-,-,-,-,-,-,-,-,,97783
1846,,-,-,-,-,-,-,-,-,-,-,-,-,,107835
1847,,-,-,-,-,-,-,-,-,-,-,-,-,,120168
1848,,-,-,-,-,-,-,-,-,-,-,-,-,,108287
1849,,-,-,-,-,-,-,-,-,-,-,-,-,,121462
1850,,-,-,-,-,-,-,-,-,-,-,-,-,,92820
,Moy. 1841-1850,11048,9715,10643,9719,9075,8233,7594,7485,7456,7317,7202,8563,,- 
1851,,-,-,-,-,-,-,-,-,-,-,-,-,,94699
1852,,-,-,-,-,-,-,-,-,-,-,-,-,,95971
1853,,-,-,-,-,-,-,-,-,-,-,-,-,,100333
1854,,-,-,-,-,-,-,-,-,-,-,-,-,,103266
1855,,-,-,-,-,-,-,-,-,-,-,-,-,,112716
1856,,-,-,-,-,-,-,-,-,-,-,-,-,,97395
1857,,-,-,-,-,-,-,-,-,-,-,-,-,,102309
1858,,-,-,-,-,-,-,-,-,-,-,-,-,,107128
1859,,-,-,-,-,-,-,-,-,-,-,-,-,,109855
1860,,-,-,-,-,-,-,-,-,-,-,-,-,,91735
,Moy. 1851-1860,9792,9566,10477,9343,8680,7431,7145,7346,7716,7808,7873,8850,,-
1861,,-,-,-,-,-,-,-,-,-,-,-,-,,105018
1862,,-,-,-,-,-,-,-,-,-,-,-,-,,99103
1863,,-,-,-,-,-,-,-,-,-,-,-,-,,106751
1864,,-,-,-,-,-,-,-,-,-,-,-,-,,114517
1865,,-,-,-,-,-,-,-,-,-,-,-,-,,121081
1866,,-,-,-,-,-,-,-,-,-,-,-,-,,143953
1867,,-,-,-,-,-,-,-,-,-,-,-,-,,103860
1868,,-,-,-,-,-,-,-,-,-,-,-,-,,106289
1869,,-,-,-,-,-,-,-,-,-,-,-,-,,108259
1870,,-,-,-,-,-,-,-,-,-,-,-,-,,116339
,Moy. 1861-1870,11076,9825,10977,9969,9364,8231,9397,9741,9097,8623,8499,9698,,-
1871,,-,-,-,-,-,-,-,-,-,-,-,-,,142966
1872,,-,-,-,-,-,-,-,-,-,-,-,-,,118306
1873,,-,-,-,-,-,-,-,-,-,-,-,-,,110974
1874,,-,-,-,-,-,-,-,-,-,-,-,-,,107555
1875,,-,-,-,-,-,-,-,-,-,-,-,-,,120497
,Moy. 1871-1875,11888,11223,12316,10907,10474,9091,8911,9319,9377,8897,9100,10661,,-
1876,,12253,12119,11336,10354,10292,8972,8378,9450,7845,7658,8978,9152,,114823
1877,,10480,9563,11417,10381,10570,9348,8969,8509,7979,8409,8122,10522,,112504
1878,,12277,10738,11624,11080,9625,9019,8908,8861,8251,8161,8993,10184,,115735
1879,,11051,10386,11740,11012,10623,8913,8519,8319,8431,8901,9364,13801,,119129
1880,,12175,11532,11544,10975,10915,9222,8855,9853,10494,9452,9144,9162,,121458
1881,,12141,10380,11477,10950,10170,8784,9009,8836,7737,8644,9031,9848,,115204
1882,,11063,11307,10990,10517,9859,8687,8391,8405,7789,8162,8719,10409,,112772
1883,,11175,10373,13181,12204,10630,9090,8820,8574,8083,8463,8689,9914,,117826
1884,,10592,10074,11329,10715,10265,9127,9648,10813,9816,9253,9381,10057,,119761
1885,,12290,10977,11852,11109,10366,9019,8599,8621,7922,8094,8957,9969,,116158
1886,,11289,11144,13372,10889,10703,8901,9141,9509,10427,9931,9230,10368,,123044
1887,,11662,10608,11782,10061,9716,8800,8628,8894,7943,8415,8797,9990,,113893
1888,,11778,11712,12169,10618,10293,9391,8975,8785,8916,9641,8918,9901,,119567
1889,,11976,10782,12250,11023,9741,9045,9288,8993,8438,8463,8351,11376,,117551
1890,,14906,11596,11924,9958,9907,8765,8538,8910,9035,9234,9800,13972,,124917
1891,,13970,10951,12633,12010,10862,9651,8876,8339,8455,8897,9952,14190,,127090
1892,,20322,12420,13487,10878,10670,9079,8751,9529,9606,9415,8729,10807,,131781
1893,,13397,10121,11133,11286,11515,10336,10090,10149,8846,8341,9402,10914,,123956
1894,,15485,10583,11095,9602,9597,8546,8551,8671,8681,8833,8534,10035,,116223
1895,,11110,13798,14710,10405,9576,8678,8650,9021,9879,10646,9151,9524,,123289
1896,,10637,10609,10899,9746,9575,8734,8821,8814,8219,8370,9056,10268,,112042
1897,,11006,10227,10164,9629,9324,8138,8463,9603,8595,8370,9408,10659,,112312
1898,,11260,9965,10874,9953,9391,8536,8200,9732,10917,10208,8996,9425,,114736
1899,,10262,10576,13363,11295,10435,9436,9254,10807,10828,9551,8709,12447,,124163
1900,,12143,15786,14549,11415,10164,8702,9167,9456,9706,9966,8680,9312,,126633
1901,,11551,10632,11155,10213,9830,8505,8398,9223,8541,8805,9296,9928,,113136
1902,,9636,11018,11590,10504,11125,9426,8602,8271,8831,9176,9558,11593,,116075
1903,,11224,10708,11296,10816,10230,9017,8697,8943,8949,9434,9068,10293,,115884
1904,,12284,10524,11861,10281,9730,8496,8935,10692,9554,8749,8600,9800,,117097
1905,,12585,11112,11377,10239,9862,8671,8656,9654,8573,8759,8890,9965,,115486
1906,,11026,10586,11188,10699,9498,8483,8612,9713,10382,9353,8816,10528,,115514
1907,,12157,12338,11169,9837,9569,8145,7872,7929,8351,9214,9086,9680,,112656
1908,,13334,11490,12575,10876,9470,8611,8089,8775,8346,9826,10378,10194,,118997
1909,,12257,10821,12860,9969,9794,8485,7959,8361,8423,8839,9677,10126,,115027
1910,,9628,9525,10333,10555,10248,8735,8342,8638,8365,8955,9586,9916,,110403
1911,,11546,11484,11536,10152,8970,7982,8984,12311,12781,9793,8409,8895,,119896
1912,,10252,11245,10032,9709,9433,8246,8538,8308,7806,9153,9125,10531,,109405
1913,,10461,10137,11291,9617,9335,8041,8400,8375,8674,9111,8369,9416,,108296
1914,,-,-,-,-,-,-,-,-,-,-,-,-,,108720
1915,,-,-,-,-,-,-,-,-,-,-,-,-,,100674
1916,,-,-,-,-,-,-,-,-,-,-,-,-,,101044
1917,,-,-,-,-,-,-,-,-,-,-,-,-,,124824
1918,,-,-,-,-,-,-,-,-,-,-,-,-,,157340
1919,,12484,15369,13333,10358,8759,7376,7105,6857,6918,8068,8409,8696,,112986
1920,,9468,10030,10392,8437,8246,7559,7315,7490,6802,7527,9521,9718,,102706
1921,,8865,8662,9244,8371,8123,6818,7349,8149,8230,9378,8947,10617,,100468
1922,,15142,11736,9428,9531,9299,7209,7007,6615,6404,7520,8272,8452,,104155
1923,,9470,9881,10285,8446,8111,7481,7879,7110,7194,7282,7715,9230,,99113
1924,,9712,9992,11127,9081,8280,7121,6942,6725,6741,7313,7887,8732,,98332
1925,,9073,8556,10393,9641,8700,7700,7523,7230,7230,7924,8185,10034,,99569
1926,,9518,8688,10657,10085,8773,7645,7414,7098,7355,8068,8239,11202,,101018
1927,,13801,9786,9737,8681,8831,7762,7193,7021,6883,8063,8002,10991,,103007
1928,,10443,9300,11873,9798,9074,7875,7710,7439,7373,8390,7696,8944,,102270
1929,,11146,16766,15556,10564,10084,7922,8182,7428,7623,8382,8425,8704,,115901
1930,,9701,9848,11012,9890,8880,8184,7737,7912,7160,8379,8347,10418,,103397
1931,,11928,11014,10833,9624,9010,7877,7679,7346,7444,8083,8188,8991,,103773
1932,,9490,10995,13625,9914,9225,7954,7181,7925,7282,7957,7910,8768,,104221
1933,,10423,12633,10311,8944,8525,7526,7541,7258,7187,7835,8815,11379,,104640
1934,,10629,8950,9859,9322,8625,7868,7196,7085,7055,7515,8060,8567,,96851
1935,,9665,10489,11839,9295,9110,8061,7723,7342,7019,7982,8092,9609,,102132
1936,,9504,9496,10756,9750,9391,8506,7458,7337,7390,8981,8122,9499,,101595
1937,,10392,9933,10748,9508,9182,8071,8049,7771,7520,8616,8921,10429,,104163
1938,,11407,9105,10283,9466,9977,8841,8124,8093,7904,7946,8476,10009,,104684
1939,,10720,13199,14065,10291,9368,8493,7839,7598,7210,8620,8467,9716,,110393
1940,,14563,12712,10779,9633,23036,11507,8602,8019,7914,8228,8582,10143,,125083
