1841,97108
1842,103068
1843,97055
1844,94911
1845,97783
1846,107835
1847,120168
1848,108287
1849,121462
1850,92820
1851,94699
1852,95971
1853,100333
1854,103266
1855,112716
1856,97395
1857,102309
1858,107128
1859,109855
1860,91735
1861,105018
1862,99103
1863,106751
1864,114517
1865,121081
1866,143953
1867,103860
1868,106289
1869,108259
1870,116339
1871,142966
1872,118306
1873,110974
1874,107555
1875,120497
1876,114823
1877,112504
1878,115735
1879,119129
1880,121458
1881,115204
1882,112772
1883,117826
1884,119761
1885,116158
1886,123044
1887,113893
1888,119567
1889,117551
1890,124917
1891,127090
1892,131781
1893,123956
1894,116223
1895,123289
1896,112042
1897,112312
1898,114736
1899,124163
1900,126633
1901,113136
1902,116075
1903,115884
1904,117097
1905,115486
1906,115514
1907,112656
1908,118997
1909,115027
1910,110403
1911,119896
1912,109405
1913,108296
1914,108720
1915,100674
1916,101044
1917,124824
1918,157340
1919,112986
1920,102706
1921,100468
1922,104155
1923,99113
1924,98332
1925,99569
1926,101018
1927,103007
1928,102270
1929,115901
1930,103397
1931,103773
1932,104221
1933,104640
1934,96851
1935,102132
1936,101595
1937,104163
1938,104684
1939,110393
1940,125083
1941,118670
1942,117291
1943,107767
1944,124861
1945,121155
1946,110413
1947,108136
1948,103576
1949,106704
1950,104039
1951,107688
1952,103624
1953,106024
1954,104795
1955,108316
1956,108016
1957,107236
1958,105746
1959,103513
1960,113106
1961,106259
1962,111545
1963,115618
1964,109342
1965,114507
1966,114557
1967,114509
1968,121275
1969,119375
1970,119623
1971,118853
1972,116743
1973,118313
1974,116039
1975,119273
1976,118765
1977,112208
1978,115060
1979,112156
1980,114364
1981,113308
1982,112506
1983,114814
1984,110577
1985,112691
1986,111671
1987,105840
1988,104551
1989,107332
1990,104545
1991,104223
1992,103858
1993,106715
1994,103688
1995,104710
1996,104228
1997,103822
1998,104607
1999,104933
2000,104921
2001,103474
2002,105667
2003,107068
2004,101964
2005,103305
2006,101614
2007,102060
2008,104587
2009,104509
2010,105094
2011,104247
2012,109034
2013,109295
2014,104723
2015,110508
2016,108056
2017,109629
2018,110645
2019,108745
2020,126850
2021,112291
2022,116404
