 	Average population (Januari 1) 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1,000) 	Crude death rate (per 1,000) 	Natural change (per 1,000) 	Crude migration change (per 1,000) 	Total fertility rates[fn 1][11][12]
1900 	6,719,000 	193,230 	126,633 	66,597 	28.8 	18.8 	9.9 	-5.7 	3.84
1901 	6,747,000 	199,068 	113,136 	85,932 	29.5 	16.8 	12.7 	2.3 	3.79
1902 	6,848,000 	195,076 	116,075 	79,001 	28.5 	17.0 	11.5 	2.1 	3.73
1903 	6,941,000 	191,563 	115,884 	75,679 	27.6 	16.7 	10.9 	1.9 	3.68
1904 	7,030,000 	191,067 	117,097 	73,970 	27.2 	16.7 	10.5 	2.0 	3.63
1905 	7,118,000 	186,665 	115,486 	71,179 	26.2 	16.2 	10.0 	1.5 	3.57
1906 	7,200,000 	185,508 	115,514 	69,994 	25.8 	16.0 	9.7 	1.1 	3.52
1907 	7,278,000 	184,371 	112,656 	71,715 	25.3 	15.5 	9.9 	0.3 	3.47
1908 	7,352,000 	183,046 	118,997 	64,049 	24.9 	16.2 	8.7 	0.4 	3.42
1909 	7,419,000 	175,714 	115,027 	60,687 	23.7 	15.5 	8.2 	-5.6 	3.95
1910 	7,438,000 	175,768 	110,403 	65,365 	23.6 	14.8 	8.8 	-6.2 	3.31
1911 	7,457,000 	171,029 	119,896 	51,133 	22.9 	16.1 	6.9 	3.0 	3.26
1912 	7,531,000 	170,465 	109,405 	61,060 	22.6 	14.5 	8.1 	1.7 	3.2
1913 	7,605,000 	170,102 	108,296 	61,806 	22.4 	14.2 	8.1 	-0.6 	3.15
1914 	7,662,000 	156,389 	108,720 	47,669 	20.4 	14.2 	6.2 	-1.6 	3.22
1915 	7,697,000 	124,291 	100,674 	23,617 	16.1 	13.1 	3.1 	-2.6 	3.04
1916 	7,701,000 	99,360 	101,044 	-1,684 	12.9 	13.1 	-0.2 	-4.2 	2.99
1917 	7,667,000 	86,675 	124,824 	-38,149 	11.3 	16.3 	-5.0 	-3.9 	2.94
1918 	7,599,000 	85,056 	157,340 	-72,284 	11.2 	20.7 	-9.5 	5.2 	2.89
1919 	7,566,000 	128,236 	112,986 	15,250 	16.9 	14.9 	2.0 	-11.9 	2.87
1920 	7,491,000 	164,257 	102,706 	61,551 	21.9 	13.7 	8.2 	-14.5 	2.78
1921 	7,444,000 	162,401 	100,468 	61,933 	21.8 	13.5 	8.3 	0.7 	2.73
1922 	7,511,000 	152,779 	104,155 	48,624 	20.3 	13.9 	6.5 	1.8 	2.67
1923 	7,573,000 	156,005 	99,113 	56,892 	20.6 	13.1 	7.5 	2.1 	2.62
1924 	7,646,000 	153,387 	98,332 	55,055 	20.1 	12.9 	7.2 	6.1 	2.57
1925 	7,748,000 	153,190 	99,569 	53,621 	19.8 	12.9 	6.9 	5.4 	2.51
1926 	7,843,000 	148,840 	101,018 	47,822 	19.0 	12.9 	6.1 	1.6 	2.46
1927 	7,903,000 	144,211 	103,007 	41,204 	18.2 	13.0 	5.2 	3.0 	2.41
1928 	7,968,000 	145,953 	102,270 	43,683 	18.3 	12.8 	5.5 	2.5 	2.36
1929 	8,032,000 	145,542 	115,901 	29,641 	18.1 	14.4 	3.7 	1.8 	2.3
1930 	8,076,000 	150,271 	103,397 	46,874 	18.6 	12.8 	5.8 	0.4 	2.25
1931 	8,126,000 	147,489 	103,773 	43,716 	18.2 	12.8 	5.4 	2.0 	2.22
1932 	8,186,000 	143,824 	104,221 	39,603 	17.6 	12.7 	4.8 	0.7 	2.19
1933 	8,231,000 	134,754 	104,640 	30,114 	16.4 	12.7 	3.7 	0.1 	2.08
1934 	8,262,000 	131,736 	96,851 	34,885 	15.9 	11.7 	4.2 	-1.1 	2.04
1935 	8,288,000 	126,304 	102,132 	24,172 	15.2 	12.3 	2.9 	0.4 	1.94
1936 	8,315,000 	125,511 	101,595 	23,916 	15.1 	12.2 	2.9 	0.8 	1.95
1937 	8,346,000 	125,495 	104,163 	21,332 	15.0 	12.5 	2.6 	0.8 	1.99
1938 	8,374,000 	130,133 	104,684 	25,449 	15.5 	12.5 	3.0 	-1.0 	2.11
1939 	8,391,000 	126,257 	110,393 	15,864 	15.0 	13.2 	1.9 	-12.6 	2.1
1940 	8,301,000 	110,323 	125,083 	-14,760 	13.3 	15.1 	-1.8 	-1.2 	1.84
1941 	8,276,000 	98,417 	118,670 	-20,253 	11.9 	14.3 	-2.4 	-1.2 	1.66
1942 	8,246,000 	105,749 	117,291 	-11,542 	12.8 	14.2 	-1.4 	0.8 	1.81
1943 	8,241,000 	120,665 	107,767 	12,898 	14.6 	13.1 	1.6 	4.5 	2.06
1944 	8,291,000 	124,075 	124,861 	-786 	15.0 	15.1 	-0.1 	5.9 	2.12
1945 	8,339,000 	127,245 	121,155 	6,090 	15.3 	14.5 	0.7 	2.7 	2.17
1946 	8,367,000 	146,731 	110,413 	36,318 	17.5 	13.2 	4.3 	5.6 	2.53
1947 	8,450,000 	144,979 	108,136 	36,843 	17.2 	12.8 	4.4 	8.3 	2.47
1948 	8,557,000 	148,210 	103,576 	44,634 	17.3 	12.1 	5.2 	1.5 	2.45
1949 	8,614,000 	144,670 	106,704 	37,966 	16.8 	12.4 	4.4 	-1.5 	2.39
1950 	8,639,000 	142,970 	104,039 	38,931 	16.5 	12.0 	4.5 	0 	2.33
1951 	8,678,000 	142,524 	107,688 	34,836 	16.4 	12.4 	4.0 	2.0 	2.34
1952 	8,730,000 	146,142 	103,624 	42,518 	16.7 	11.9 	4.9 	0.6 	2.35
1953 	8,778,000 	146,522 	106,024 	40,498 	16.7 	12.1 	4.6 	0.1 	2.37
1954 	8,819,000 	148,128 	104,795 	43,333 	16.8 	11.9 	4.9 	0.7 	2.4
1955 	8,868,000 	148,798 	108,316 	40,482 	16.8 	12.2 	4.6 	1.7 	2.42
1956 	8,924,000 	150,181 	108,016 	42,165 	16.8 	12.1 	4.7 	2.6 	2.6
1957 	8,989,000 	152,388 	107,236 	45,152 	17.0 	11.9 	5.0 	2.1 	2.49
1958 	9,053,000 	155,694 	105,746 	49,948 	17.2 	11.7 	5.5 	0.1 	2.53
1959 	9,104,000 	160,662 	103,513 	57,149 	17.6 	11.4 	6.3 	-0.9 	2.57
1960 	9,153,000 	155,520 	113,106 	42,414 	17.0 	12.4 	4.6 	-1.2 	2.6
1961 	9,184,000 	158,262 	106,259 	52,003 	17.2 	11.6 	5.7 	1.6 	2.64
1962 	9,251,000 	154,338 	111,545 	42,793 	16.7 	12.1 	4.6 	3.7 	2.59
1963 	9,328,000 	158,196 	115,618 	42,578 	17.0 	12.4 	4.6 	6.1 	2.68
1964 	9,428,000 	160,371 	109,342 	51,029 	17.0 	11.6 	5.4 	2.1 	2.71
1965 	9,499,000 	154,856 	114,507 	40,349 	16.3 	12.1 	4.2 	-1.1 	2.62
1966 	9,528,000 	150,636 	114,557 	36,079 	15.8 	12.0 	3.8 	1.8 	2.52
1967 	9,581,000 	145,899 	114,509 	31,390 	15.2 	12.0 	3.3 	0.7 	2.41
1968 	9,619,000 	141,242 	121,275 	19,967 	14.7 	12.6 	2.1 	2.2 	2.31
1969 	9,660,000 	140,834 	119,375 	21,459 	14.6 	12.4 	2.2 	-2.6 	2.27
1970 	9,656,000 	141,119 	119,623 	21,496 	14.6 	12.4 	2.2 	1.8 	2.25
1971 	9,695,000 	139,104 	118,853 	20,251 	14.3 	12.3 	2.1 	-0.4 	2.21
1972 	9,711,000 	134,437 	116,743 	17,694 	13.8 	12.0 	1.8 	1.4 	2.09
1973 	9,742,000 	129,425 	118,313 	11,112 	13.3 	12.1 	1.1 	2.0 	1.95
1974 	9,772,000 	123,155 	116,039 	7,116 	12.6 	11.9 	0.7 	2.3 	1.83
1975 	9,801,000 	119,273 	119,273 	0 	12.2 	12.2 	0.0 	1.7 	1.74
1976 	9,818,000 	120,472 	118,765 	1,707 	12.3 	12.1 	0.2 	1.0 	1.72
