1946,95799
1947,94395
1948,89927
1949,84675
1950,74134
1951,77364
1952,84254
1953,68055
1954,68384
1955,67960
1956,71153
1957,65807
1958,60734
1959,73850
1960,63665
1961,62562
1962,69640
1963,66057
1964,64479
1965,66970
1966,68366
1967,74696
1968,72176
1969,80183
1970,77095
1971,82805
1972,84174
1973,81470
1974,85239
1975,89974
1976,88348
1977,94362
1978,92445
1979,94403
1980,97950
1981,95441
1982,100293
1983,102182
1984,101419
1985,107485
1986,104039
1987,107213
1988,107385
1989,106902
1990,108608
1991,110423
1992,107998
1993,109540
1994,111827
1995,114670
1996,117056
1997,121861
1998,118190
1999,111786
2000,115087
2001,112368
2002,112617
2003,111927
2004,110110
2005,113374
2006,113438
2007,113004
2008,110523
2009,108068
2010,110165
2011,108258
2012,109281
2013,104345
2014,108952
2015,110117
2016,107580
2017,109791
2018,108526
2019,108083
2020,124735
2021,148995
2022,118814
