1950,47292
1951,49804
1952,43512
1953,46662
1954,41071
1955,42035
1956,43772
1957,40261
1958,37980
1959,40688
1960,41361
1961,37796
1962,42134
1963,38597
1964,43013
1965,39936
1966,37941
1967,41381
1968,43720
1969,46844
1970,44148
1971,44878
1972,47881
1973,45680
1974,44950
1975,45640
1976,45074
1977,45156
1978,48715
1979,48426
1980,50100
1981,51420
1982,50770
1983,55147
1984,54169
1985,52067
1986,51740
1987,53080
1988,52686
1989,52569
1990,52192
1991,54832
1992,51800
1993,50846
1994,49482
1995,50536
1996,50636
1997,51964
1998,52311
1999,51953
2000,50246
2001,49552
2002,50569
2003,52575
2004,49756
2005,51790
2006,50378
2007,52367
2008,52151
2009,52414
2010,52096
2011,51019
2012,51710
2013,50386
2014,50839
2015,54205
2016,51542
2017,53477
2018,52706
2019,51794
2020,57023
2021,62712
2022,56979
