Source: Croatian Bureau of Statistics[31][32][33]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Female fertile population (15–49 years)
1950 	3,850,991 	95,174 	47,292 	47,882 	24.7 	12.3 	12.4 	2.94 	1,091,313
1951 	3,881,986 	87,181 	49,804 	37,377 	22.5 	12.8 	9.6 	2.66 	1,091,156
1952 	3,912,983 	91,225 	43,512 	47,713 	23.3 	11.1 	12.2 	2.77 	1,090,994
1953 	3,945,997 	90,200 	46,662 	43,538 	22.9 	11.8 	11.0 	2.68 	1,090,834
1954 	3,978,125 	89,309 	41,071 	48,238 	22.5 	10.3 	12.1 	2.61 	1,097,788
1955 	4,013,015 	88,657 	42,035 	46,622 	22.1 	10.5 	11.6 	2.56 	1,104,740
1956 	4,039,992 	86,171 	43,772 	42,399 	21.3 	10.8 	10.5 	2.47 	1,111,693
1957 	4,067,005 	81,414 	40,261 	41,153 	20.0 	9.9 	10.1 	2.30 	1,113,448
1958 	4,088,987 	77,771 	37,980 	39,791 	19.0 	9.3 	9.7 	2.19 	1,115,826
1959 	4,114,979 	78,233 	40,688 	37,545 	19.0 	9.9 	9.1 	2.24 	1,093,146
1960 	4,140,181 	76,156 	41,361 	34,795 	18.4 	10.0 	8.4 	2.23 	1,079,109
1961 	4,167,292 	74,190 	37,796 	36,394 	17.8 	9.1 	8.7 	2.23 	1,065,072
1962 	4,196,712 	72,267 	42,134 	30,133 	17.2 	10.0 	7.2 	2.11 	1,083,743
1963 	4,225,675 	69,878 	38,597 	31,281 	16.5 	9.1 	7.4 	2.05 	1,088,767
1964 	4,252,876 	68,873 	43,013 	25,860 	16.2 	10.1 	6.1 	2.04 	1,095,023
1965 	4,280,923 	71,186 	39,936 	31,250 	16.6 	9.3 	7.3 	2.19 	1,096,232
1966 	4,310,701 	71,325 	37,941 	33,384 	16.5 	8.8 	7.7 	2.20 	1,113,169
1967 	4,338,683 	67,103 	41,381 	25,722 	15.5 	9.5 	5.9 	2.06 	1,138,279
1968 	4,365,628 	65,431 	43,720 	21,711 	15.0 	10.0 	5.0 	1.99 	1,141,548
1969 	4,391,490 	63,635 	46,844 	16,791 	14.5 	10.7 	3.8 	1.91 	1,170,146
1970 	4,412,252 	61,103 	44,148 	16,955 	13.8 	10.0 	3.8 	1.81 	1,173,533
1971 	4,431,275 	64,890 	44,878 	20,012 	14.6 	10.1 	4.5 	1.97 	1,174,488
1972 	4,450,564 	66,035 	47,881 	18,154 	14.8 	10.8 	4.1 	1.96 	1,176,673
1973 	4,470,161 	67,389 	45,680 	21,709 	15.1 	10.2 	4.9 	1.97 	1,170,468
1974 	4,490,660 	67,251 	44,950 	22,301 	15.0 	10.0 	5.0 	1.93 	1,164,291
1975 	4,512,082 	67,016 	45,640 	21,376 	14.9 	10.1 	4.7 	1.90 	1,177,334
1976 	4,535,934 	67,054 	45,074 	21,980 	14.8 	9.9 	4.8 	1.88 	1,177,247
1977 	4,559,571 	68,035 	45,156 	22,879 	14.9 	9.9 	5.0 	1.90 	1,165,123
1978 	4,581,085 	68,704 	48,715 	19,989 	15.0 	10.6 	4.4 	1.92 	1,170,862
1979 	4,594,778 	69,229 	48,426 	20,803 	15.1 	10.5 	4.5 	1.95 	1,166,817
