"Deaths by Sex and Death Rates, Annual"

"YEAR";"Total"
"1974";5605
"1975";3964
"1976";4262
"1977";4526
"1978";4177
"1979";4228
"1980";4719
"1981";4332
"1982";4419
"1983";4523
"1984";4286
"1985";4599
"1986";4579
"1987";4912
"1988";4903
"1989";4834
"1990";4844
"1991";5075
"1992";5220
"1993";4789
"1994";4924
"1995";4935
"1996";4958
"1997";5173
"1998";5432
"1999";5070
"2000";5355
"2001";4827
"2002";5168
"2003";5200
"2004";5225
"2005";5425
"2006";5127
"2007";5380
"2008";5194
"2009";5182
"2010";5103
"2011";5504
"2012";5665
"2013";5141
"2014";5424
"2015";5859
"2016";5471
"2017";5996
"2018";5768
"2019";6239
