Historical data about main demographic indicators from 1990 to 2018, for the southern part of the island:[13]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Infant mortality rate
1990 	579,400 	10,622 	4,844 	5,778 	18.3 	8.4 	10.0 	2.42 	11.0
1991 	594,900 	10,442 	5,075 	5,367 	17.6 	8.5 	9.0 	2.33 	11.0
1992 	610,600 	11,372 	5,220 	6,152 	18.6 	8.5 	10.1 	2.49 	10.0
1993 	625,800 	10,514 	4,789 	5,725 	16.8 	7.7 	9.1 	2.24 	8.6
1994 	639,000 	10,379 	4,924 	5,455 	16.2 	7.7 	8.5 	2.17 	8.6
1995 	650,700 	9,869 	4,935 	4,934 	15.2 	7.6 	7.6 	2.03 	8.5
1996 	660,900 	9,638 	4,958 	4,680 	14.6 	7.5 	7.1 	1.96 	8.3
1997 	670,400 	9,275 	5,173 	4,102 	13.8 	7.7 	6.1 	1.87 	8.0
1998 	678,900 	8,879 	5,432 	3,447 	13.1 	8.0 	5.1 	1.76 	7.0
1999 	686,400 	8,505 	5,070 	3,435 	12.4 	7.4 	5.0 	1.67 	6.0
2000 	693,600 	8,447 	5,355 	3,092 	12.2 	7.7 	4.5 	1.64 	5.6
2001 	701,300 	8,167 	4,827 	3,340 	11.6 	6.9 	4.8 	1.57 	4.9
2002 	709,100 	7,883 	5,168 	2,715 	11.1 	7.3 	3.8 	1.49 	4.7
2003 	717,800 	8,088 	5,200 	2,888 	11.3 	7.2 	4.0 	1.51 	4.1
2004 	727,500 	8,309 	5,225 	3,084 	11.4 	7.2 	4.2 	1.52 	3.5
2005 	738,100 	8,243 	5,425 	2,818 	11.2 	7.3 	3.8 	1.48 	4.6
2006 	750,300 	8,731 	5,127 	3,604 	11.6 	6.8 	4.8 	1.52 	3.1
2007 	766,400 	8,575 	5,380 	3,195 	11.2 	7.0 	4.2 	1.44 	3.1
2008 	785,700 	9,205 	5,194 	4,011 	11.7 	6.6 	5.1 	1.48 	3.5
2009 	807,100 	9,608 	5,182 	4,426 	11.9 	6.4 	5.5 	1.48 	3.3
2010 	827,700 	9,801 	5,103 	4,698 	11.8 	6.2 	5.7 	1.44 	3.2
2011 	849,000 	9,622 	5,504 	4,118 	11.3 	6.5 	4.9 	1.35 	3.1
2012 	863,900 	10,161 	5,665 	4,496 	11.8 	6.6 	5.2 	1.39 	3.5
2013 	861,900 	9,341 	5,141 	4,200 	10.8 	6.0 	4.9 	1.30 	1.6
2014 	853,200 	9,258 	5,424 	3,834 	10.9 	6.4 	4.5 	1.31 	2.1
2015 	843,100 	9,170 	5,859 	3,311 	10.9 	6.9 	3.9 	1.32 	2.7
2016 	849,800 	9,455 	5,471 	3,984 	11.1 	6.4 	4.7 	1.37 	2.6
2017 	860,200 	9,229 	5,996 	3,233 	10.7 	7.0 	3.8 	1.32 	1.3
2018 	870,800 	9,329 	5,768 	3,561 	10.7 	6.6 	4.1 	1.32 	2.4
2019 	880,600 	9,548 	6,239 	3,309 	10.8 	7.1 	3.8 	1.33 	2.6
2020 	896,000 	9,860 	6,381 	3,479 	11.0 	7.1 	3.9 	1.36 	
2021 	904,700 	10,309 	7,202 	3,107 	11.2 	7.9 	3.3 		
2022 	920,700 	10,151 	7,255 	2,896 	11.0 	7.9 	3.1 	
