"Table1.Deaths by age and sex by Sex, Year and Age"

"Sex";"Year";"Total"
"Total";"1961";3335
"Total";"1971";3264
"Total";"1981";3680
"Total";"1991";3970
"Total";"2000";5412
"Total";"2001";5431
"Total";"2002";5513
"Total";"2003";5704
"Total";"2004";5707
"Total";"2005";5839
"Total";"2006";5968
"Total";"2007";5979
"Total";"2008";5708
"Total";"2009";5862
"Total";"2010";5633
"Total";"2011";5847
"Total";"2012";5922
"Total";"2013";5917
"Total";"2014";6014
"Total";"2015";6329
"Total";"2016";6464
"Total";"2017";6523
"Total";"2018";6504
"Total";"2019";6595
"Total";"2020";7293
"Total";"2021";9152
