1785,153103
1786,131812
1787,128078
1788,117556
1789,131377
1790,152550
1791,160651
1792,141238
1793,141309
1794,151513
1795,164732
1796,146225
1797,145659
1798,139238
1799,160609
1800,177730
1801,170187
1802,157243
1803,162632
1804,150742
1805,163136
1806,282321
1807,172000
1808,165140
1809,185671
1810,218034
1811,174015
1812,173716
1813,151341
1814,200379
1815,146800
1816,143940
1817,160703
1818,152665
1819,163932
1820,137938
1821,139127
1822,149842
1823,161716
1824,153232
1825,152791
1826,154862
1827,164697
1828,188501
1829,181782
1830,167326
1831,174149
1832,231240
1833,187363
1834,184887
1835,187879
1836,211406
1837,208411
1838,163343
1839,180699
1840,175901
1841,173872
1842,183288
1843,211438
1844,172808
1845,191347
1846,181408
1847,215836
1848,238747
1849,209097
1850,238192
1851,197429
1852,198999
1853,195270
1854,189970
1855,249679
1856,211615
1857,197287
1858,198957
1859,190741
1860,183829
1861,206381
1862,205608
1863,204273
1864,230321
1865,219001
1866,336685
1867,211279
1868,208858
1869,212678
1870,209604
1871,213133
1872,240620
1873,262416
1874,222392
1875,207303
1876,217404
1877,253207
1878,250197
1879,228060
1880,229462
1881,245424
1882,238866
1883,242901
1884,247799
1885,249061
1886,251382
1887,238119
1888,252483
1889,232156
1890,254987
1891,235832
1892,245741
1893,243360
1894,242136
1895,232691
1896,224476
1897,229050
1898,224659
1899,236614
1900,227920
1901,221052
1902,222457
1903,218448
1904,222276
1905,232999
1906,203182
1907,210721
1908,210101
1909,210047
1910,196728
1911,206266
1912,203324
1913,190475
1914,188838
1915,201280
1916,186381
1917,188649
1918,236035
1919,177428
1920,176562
1921,161321
1922,163366
1923,142335
1924,146098
1925,146450
1926,148298
1927,155479
1928,147064
1929,155493
1930,142159
1931,144534
1932,142997
1933,140906
1934,135914
1935,140878
1936,139093
1937,139558
1938,143115
1939,146976
1940,153499
1941,152048
1942,153096
1943,153349
1944,161457
1945,184944
1946,134568
1947,105277
1948,101501
1949,104632
1950,103203
1951,102658
1952,97726
1953,98837
1954,99636
1955,93300
1956,93526
1957,98687
1958,93697
1959,97159
1960,93863
1961,94973
1962,104318
1963,100129
1964,101984
1965,105108
1966,105784
1967,108967
1968,115195
1969,120653
1970,123327
1971,122375
1972,119205
1973,124437
1974,126809
1975,124314
1976,125232
1977,126214
1978,127136
1979,127949
1980,135537
1981,130407
1982,130765
1983,134474
1984,132188
1985,131641
1986,132585
1987,127244
1988,125694
1989,127747
1990,129166
1991,124290
1992,120337
1993,118185
1994,117373
1995,117913
1996,112782
1997,112744
1998,109527
1999,109768
2000,109001
2001,107755
2002,108243
2003,111288
2004,107177
2005,107938
2006,104441
2007,104636
2008,104948
2009,107421
2010,106844
2011,106848
2012,108189
2013,109160
2014,105665
2015,111173
2016,107750
2017,111443
2018,112920
2019,112362
2020,129289
2021,139891
2022,120219
