 	Average population 	Live births 	Deaths 	Nat. change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Nat. change (per 1000) 	Total fertility rate[fn 2]
1900 	2,432,000 	72,129 	40,891 	31,238 	29.7 	16.8 	12.8 	4.16
1901 	2,463,000 	73,219 	38,786 	34,425 	29.7 	15.7 	14.0 	4.14
1902 	2,494,000 	72,839 	36,424 	36,391 	29.2 	14.6 	14.6 	4.05
1903 	2,525,000 	72,351 	36,956 	35,403 	28.7 	14.6 	14.0 	3.96
1904 	2,546,000 	73,692 	35,903 	37,788 	28.9 	14.1 	14.8 	3.97
1905 	2,574,000 	73,082 	38,598 	34,484 	28.4 	15.0 	13.4 	3.87
1906 	2,603,000 	74,217 	35,231 	38,986 	28.5 	13.5 	15.0 	3.87
1907 	2,635,000 	74,324 	37,275 	37,049 	28.2 	14.1 	14.1 	3.81
1908 	2,668,000 	76,233 	39,072 	37,161 	28.6 	14.6 	13.9 	3.83
1909 	2,702,000 	76,301 	35,837 	40,464 	28.2 	13.3 	15.0 	3.78
1910 	2,737,000 	75,299 	35,184 	40,013 	27.5 	12.9 	14.6 	3.67
1911 	2,770,000 	73,933 	37,236 	36,697 	26.7 	13.4 	13.2 	3.60
1912 	2,802,000 	74,659 	36,486 	38,173 	26.6 	13.0 	13.6 	3.58
1913 	2,833,000 	72,475 	35,364 	37,111 	25.6 	12.5 	13.1 	3.43
1914 	2,866,000 	73,294 	35,921 	37,373 	25.6 	12.5 	13.0 	3.42
1915 	2,901,000 	70,192 	37,174 	33,018 	24.2 	12.8 	11.4 	3.23
1916 	2,936,000 	71,559 	39,265 	32,294 	24.4 	13.4 	11.0 	3.23
1917 	2,972,000 	70,306 	39,224 	31,082 	23.7 	13.2 	10.5 	3.11
1918 	3,006,000 	72,505 	39,038 	33,467 	24.1 	13.0 	11.1 	3.16
1919 	3,041,000 	68,722 	39,590 	29,132 	22.6 	13.0 	9.6 	2.96
1920 	3,079,000 	78,230 	39,841 	38,389 	25.4 	12.9 	12.5 	3.29
1921 	3,283,000 	78,815 	36,215 	42,600 	24.0 	11.0 	13.0 	3.11
1922 	3,318,000 	73,899 	39,452 	34,435 	22.3 	11.9 	10.4 	2.87
1923 	3,352,000 	74,827 	37,903 	36,924 	22.3 	11.3 	11.0 	2.85
1924 	3,389,000 	73,836 	38,091 	35,778 	21.8 	11.2 	10.6 	2.78
1925 	3,425,000 	71,897 	37,083 	34,814 	21.0 	10.8 	10.2 	2.66
1926 	3,452,000 	70,734 	38,093 	32,641 	20.5 	11.0 	9.5 	2.58
1927 	3,475,000 	68,024 	40,190 	27,834 	19.6 	11.6 	8.0 	2.44
1928 	3,497,000 	68,516 	38,484 	30,032 	19.6 	11.0 	8.6 	2.43
1929 	3,518,000 	65,297 	39,486 	25,913 	18.6 	11.2 	7.4 	2.30
1930 	3,542,000 	66,303 	38,174 	28,129 	18.7 	10.8 	7.9 	2.29
1931 	3,569,000 	64,266 	40,578 	23,688 	18.0 	11.4 	6.6 	2.20
1932 	3,603,000 	64,650 	39,701 	24,949 	17.9 	11.0 	6.9 	2.17
1933 	3,633,000 	62,780 	38,287 	24,493 	17.3 	10.5 	6.7 	2.10
1934 	3,666,000 	65,116 	38,050 	27,066 	17.8 	10.4 	7.4 	2.15
1935 	3,695,000 	65,223 	40,816 	24,407 	17.7 	11.0 	6.6 	2.12
