"RV030: BIRTHS, DEATHS AND NATURAL INCREASE by Year and Indicator"

"Year","Deaths"
"1919",28800
"1920",21363
"1921",17143
"1922",18401
"1923",16630
"1924",16918
"1925",16680
"1926",18047
"1927",19356
"1928",17785
"1929",20178
"1930",16610
"1931",18077
"1932",16641
"1933",16472
"1934",15853
"1935",16864
"1936",17594
"1937",16614
"1938",16496
"1939",17101
"1940",19024
"1941",23702
"1942",20276
"1943",18120
"1944",24700
"1945",20708
"1946",19969
"1947",21492
"1948",17549
"1949",16730
"1950",15817
"1951",15354
"1952",15817
"1953",14420
"1954",13981
"1955",13638
"1956",12748
"1957",13026
"1958",12971
"1959",13130
"1960",12738
"1961",13036
"1962",13495
"1963",13251
"1964",12754
"1965",13520
"1966",13800
"1967",13699
"1968",14225
"1969",15150
"1970",15186
"1971",15038
"1972",15520
"1973",15573
"1974",15393
"1975",16572
"1976",17351
"1977",17094
"1978",17812
"1979",18062
"1980",18199
"1981",18349
"1982",17893
"1983",18190
"1984",19086
"1985",19343
"1986",17986
"1987",18279
"1988",18551
"1989",18536
"1990",19531
"1991",19715
"1992",20126
"1993",21286
"1994",22212
"1995",20828
"1996",19020
"1997",18572
"1998",19445
"1999",18447
"2000",18403
"2001",18516
"2002",18355
"2003",18152
"2004",17685
"2005",17316
"2006",17316
"2007",17409
"2008",16675
"2009",16081
"2010",15790
"2011",15244
"2012",15450
"2013",15244
"2014",15484
"2015",15243
"2016",15392
"2017",15543
"2018",15751
"2019",15401
"2020",15811
"2021",18587
"2022",17315
