Births and deaths in Estonia over time
Live births and deaths over time
Crude birth rate and death rate over time
Marriages and divorces in Estonia over time
Vital statistics for the Governorate of Estonia
The Governorate of Estonia comprised the northern part

of present-day Estonia. The southern part was part of the Governorate of Livonia.[46]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000)
1900 	428,000 	12,487 	8,227 	4,260 	29.2 	19.2 	10.0
1901 	430,000 	12,703 	8,428 	4,275 	29.5 	19.6 	9.9
1902 	434,000 	13,101 	7,724 	5,377 	30.2 	17.8 	12.4
1903 	440,000 	12,704 	8,004 	4,700 	28.9 	18.2 	10.7
1904 	446,000 	12,753 	8,279 	4,474 	28.6 	18.6 	10.0
1905 	449,000 	11,991 	9,694 	2,297 	26.7 	21.6 	5.1
1906 	452,000 	12,417 	8,842 	3,575 	27.4 	19.5 	7.9
1907 	455,000 	12,304 	8,730 	3,574 	27.0 	19.2 	7.9
1908 	459,000 	11,861 	8,495 	3,366 	25.8 	18.5 	7.3
1909 	464,000 	11,970 	8,297 	3,673 	25.8 	17.9 	7.9
1910 	466,000 	12,193 	8,204 	3,989 	26.2 	17.6 	8.6
1911 	472,000 	11,749 	8,976 	2,773 	24.9 	19.0 	5.9
1912 	480,000 	11,900 	8,431 	3,469 	24.8 	17.6 	7.2
1913 	491,000 	11,653 	9,089 	2,564 	23.7 	18.5 	5.2
1914 	506,000 	11,854 	9,212 	2,642 	23.4 	18.2 	5.2
Present Estonia

Source: Statistics Estonia[47]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Infant mortality rate
1914 	1,197,000 	26,865 	20,882 	5,983 	22.4 	17.4 	5.0 		
1915 	1,188,000 	24,680 	21,841 	2,839 	20.8 	18.4 	2.4 		
1916 	1,154,000 	21,282 	25,429 	-4,147 	18.4 	22.0 	-3.6 		
1917 	1,120,000 	18,333 	27,336 	-9,003 	16.4 	24.4 	-8.0 		
1918 	1,086,000 	21,659 	32,488 	-10,829 	19.9 	29.9 	-10.0 		
1919 	1,064,000 	18,456 	28,800 	-10,344 	17.3 	27.1 	-9.7 		
1920 	1,068,000 	19,625 	21,363 	-1,738 	18.4 	20.0 	-1.6 		
1921 	1,087,000 	22,067 	17,143 	4,924 	20.3 	15.8 	4.5 		
1922 	1,102,000 	22,255 	18,401 	3,854 	20.2 	16.7 	3.5 		
1923 	1,111,000 	22,347 	16,630 	5,717 	20.1 	15.0 	5.1 		
1924 	1,116,000 	21,441 	16,918 	4,523 	19.2 	15.2 	4.1 		99.9
1925 	1,117,000 	20,445 	16,680 	3,765 	18.3 	14.9 	3.4 		95.7
1926 	1,117,000 	19,977 	18,047 	1,900 	17.9 	16.2 	1.7 		101.8
1927 	1,116,000 	19,705 	19,356 	500 	17.7 	17.3 	0.4 		114.6
1928 	1,116,000 	20,064 	17,785 	2,279 	18.0 	15.9 	2.0 		103.6
1929 	1,116,000 	19,110 	20,178 	-1,068 	17.1 	18.1 	-1.0 		110.5
1930 	1,116,000 	19,471 	16,610 	2,861 	17.4 	14.9 	2.6 		100.1
1931 	1,118,000 	19,509 	18,077 	1,432 	17.4 	16.2 	1.3 		102.8
1932 	1,122,000 	19,742 	16,641 	3,101 	17.6 	14.8 	2.8 		96.8
