"12ah -- Deaths by month, 1945-2022"

"Year","Months total Deaths","January Deaths","February Deaths","March Deaths","April Deaths","May Deaths","June Deaths","July Deaths","August Deaths","September Deaths","October Deaths","November Deaths","December Deaths"
"1945",49046,4660,4495,4680,4196,4143,3839,3734,3603,3681,3921,3733,4361
"1946",44748,4346,4040,4435,4077,3870,3538,3242,3046,3109,3631,3621,3793
"1947",46053,3935,3929,5084,4369,4071,3795,3450,3224,3263,3609,3615,3709
"1948",43668,4270,4070,4038,3633,3654,3459,3297,3153,3229,3423,3645,3797
"1949",44501,4140,4076,5006,3923,3860,3483,3419,3179,2974,3383,3294,3764
"1950",40681,4403,3672,3795,3508,3526,3402,3141,2845,2800,3034,3159,3396
"1951",40386,4271,3748,3727,3393,3477,3435,3142,2927,2634,3013,3115,3504
"1952",39024,3603,3343,3652,3523,3316,3125,2992,2872,2898,3093,3200,3407
"1953",39925,3410,3636,5006,3373,3290,3179,2934,2742,2827,2975,3167,3386
"1954",37988,3453,3277,3525,3221,3347,3088,2975,2751,2780,3137,3140,3294
"1955",39573,3503,3573,3767,3334,3356,3118,3132,2951,2785,3051,3107,3896
"1956",38713,3649,3485,3399,3245,3332,3061,3003,2896,2937,3199,3169,3338
"1957",40741,3357,3092,3374,3424,3516,3155,3446,2859,2883,3398,4136,4101
"1958",38833,3788,3212,3574,3246,3443,3107,3126,2868,2967,3007,2994,3501
"1959",38827,3564,2984,3233,3361,3429,3294,3125,3038,2868,3194,3175,3562
"1960",39797,3820,3566,3502,3505,3458,2980,3168,2845,3022,3276,3282,3373
"1961",40616,3400,3038,3514,3470,3540,3356,3334,3138,3130,3363,3486,3847
"1962",42889,3858,3473,4542,3882,3469,3269,3288,3348,3146,3379,3355,3880
"1963",42010,3993,3450,3708,3509,3520,3405,3256,3225,3149,3415,3386,3994
"1964",42512,3743,3526,3549,3376,3643,3616,3527,3334,3370,3487,3516,3825
"1965",44473,3795,3799,4771,3671,3574,3481,3516,3495,3224,3500,3682,3965
"1966",43548,3924,3585,3690,3554,3764,3646,3551,3298,3417,3597,3518,4004
"1967",43790,3921,3662,3741,3692,3726,3474,3607,3437,3307,3701,3425,4097
"1968",45013,4297,3982,4070,3654,3680,3814,3435,3502,3378,3723,3640,3838
"1969",45966,4099,4302,4071,3643,3844,3746,3649,3564,3454,3705,3711,4178
"1970",44119,4592,3534,3551,3552,3702,3648,3575,3499,3393,3631,3610,3832
"1971",45876,3823,3390,3773,3610,4080,3724,3777,3520,3501,3618,3701,5359
"1972",43958,4037,3552,3681,3378,3479,3796,4084,3463,3580,3733,3532,3643
"1973",43410,3911,3760,3580,3325,3427,3485,3697,3403,3462,3583,3604,4173
"1974",44676,4009,3543,4089,3822,3811,3757,3517,3520,3383,3618,3705,3902
"1975",43828,4261,4051,3707,3464,3633,3557,3479,3480,3385,3487,3382,3942
"1976",44786,4344,4306,3854,3503,3589,3627,3603,3511,3369,3602,3577,3901
"1977",44065,3898,3348,3826,3987,3708,3748,3573,3453,3573,3428,3488,4035
"1978",43692,3798,3569,3716,3508,3716,3568,3646,3417,3430,3650,3494,4180
"1979",43738,3946,3423,3695,3689,3791,3611,3589,3466,3424,3651,3499,3954
"1980",44398,4100,4539,3993,3280,3540,3603,3471,3488,3342,3595,3603,3844
"1981",44404,4019,3332,3939,3548,3693,3433,3693,3533,3581,3738,3661,4234
"1982",43408,3918,3377,3564,3508,3728,3644,3854,3386,3503,3503,3486,3937
"1983",45388,3868,3854,4272,3878,3739,3570,3867,3550,3363,3678,3646,4103
"1984",45098,4059,3536,3742,3590,3728,3613,3715,3732,3609,3874,3847,4053
"1985",48198,4711,4179,4445,3918,4097,3817,3745,3655,3770,3776,3698,4387
"1986",47135,4315,3999,4220,3878,3917,3890,3670,3719,3747,3837,3722,4221
"1987",47949,4514,3883,4044,3916,4039,3843,3945,3838,3715,3848,4010,4354
"1988",49063,4204,3913,4258,4158,4033,4163,4289,3869,3758,3942,3956,4520
"1989",49110,4771,3748,4028,3806,3866,3965,3885,3977,3946,4099,4204,4815
"1990",50058,5105,4072,4201,3922,4074,4142,4082,3895,3879,4101,4141,4444
"1991",49294,4515,3838,4390,4146,4043,4108,4125,3945,3967,3939,3936,4342
"1992",49844,4642,4546,4176,3985,4135,4016,3945,3988,3920,4118,4026,4347
"1993",50988,4401,4084,4953,4310,4008,3875,3874,3797,3995,4086,4101,5504
"1994",48000,4663,3899,3991,3876,3868,3943,4220,3763,3800,4018,3786,4173
"1995",49280,4405,3902,4373,4096,4243,3961,3983,3818,3955,3983,3945,4616
"1996",49167,5243,4304,4278,3914,4027,3856,3852,3819,3772,3880,3821,4401
"1997",49108,4550,3986,4363,4104,4060,3990,3798,3856,3818,4197,3975,4411
"1998",49262,4211,4354,4918,4261,3890,3760,3913,3860,3907,4032,3978,4178
"1999",49345,4473,4711,4672,3890,4001,3850,3902,3948,3775,3821,3798,4504
"2000",49339,5171,4377,4393,3997,3987,3925,3932,3905,3812,3807,3772,4261
"2001",48550,4143,3865,4173,4127,4087,4135,4034,3885,3908,3922,3978,4293
"2002",49418,4532,4029,4550,4383,4044,3808,4026,3896,3744,4107,3908,4391
"2003",48996,4811,3818,4092,4025,3916,3723,3949,3942,3856,3990,3866,5008
"2004",47600,4621,3892,4085,3867,3925,3930,3823,3816,3796,3968,3748,4129
"2005",47928,4205,3866,4598,4017,4160,3831,3895,3707,3804,3850,3768,4227
"2006",48065,4254,3694,4306,4181,4025,3859,3841,3860,3674,4139,4054,4178
"2007",49077,4369,4213,4820,4137,3974,3882,3785,4013,3873,3919,3959,4133
"2008",49094,4286,4070,4659,4300,4067,3803,3920,3889,3922,3957,3983,4238
"2009",49883,4736,4277,4597,4127,4118,4014,3904,3832,3667,4125,4118,4368
"2010",50887,4512,4020,4503,4197,4195,3929,4375,4044,4073,4265,4099,4675
"2011",50585,4605,3987,4665,4276,4246,4079,4108,3987,3987,4235,4067,4343
"2012",51707,4625,4709,4864,4203,4198,4054,4085,3957,4014,4195,4122,4681
"2013",51472,4754,4271,4802,4445,4327,3966,3912,4076,3985,4317,4034,4583
"2014",52186,4583,4117,4413,4519,4492,4043,4390,4206,4279,4371,4018,4755
"2015",52492,4895,4335,4699,4521,4262,4031,4029,4152,4025,4461,4386,4696
"2016",53923,5336,4596,4729,4327,4321,4104,4113,4191,4175,4518,4523,4990
"2017",53722,5492,4449,4602,4412,4521,4314,4114,4213,4201,4452,4210,4742
"2018",54527,4910,4608,5395,4794,4247,4051,4503,4248,4143,4467,4357,4804
"2019",53949,5128,4390,4853,4396,4361,4104,4309,4216,4334,4747,4350,4761
"2020",55488,4690,4520,4883,4869,4620,4356,4333,4366,4508,4664,4621,5058
"2021",57659,5059,4452,4672,4473,4655,4377,4693,4753,4738,5171,5040,5576
"2022",63219,5805,5079,5514,5420,5043,4519,4829,5033,5038,5417,5327,6195
