1946,44748
1947,46053
1948,43668
1949,44501
1950,40681
1951,40386
1952,39024
1953,39925
1954,37988
1955,39573
1956,38713
1957,40741
1958,38833
1959,38827
1960,39797
1961,40616
1962,42889
1963,42010
1964,42512
1965,44473
1966,43548
1967,43790
1968,45013
1969,45966
1970,44119
1971,45876
1972,43958
1973,43410
1974,44676
1975,43828
1976,44786
1977,44065
1978,43692
1979,43738
1980,44398
1981,44404
1982,43408
1983,45388
1984,45098
1985,48198
1986,47135
1987,47949
1988,49063
1989,49110
1990,50058
1991,49294
1992,49844
1993,50988
1994,48000
1995,49280
1996,49167
1997,49108
1998,49262
1999,49345
2000,49339
2001,48550
2002,49418
2003,48996
2004,47600
2005,47928
2006,48065
2007,49077
2008,49094
2009,49883
2010,50887
2011,50585
2012,51707
2013,51472
2014,52186
2015,52492
2016,53923
2017,53722
2018,54527
2019,53949
2020,55488
2021,57659
2022,63219
