 	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate[fn 1][10]
1900 	2,646,000 	86,339 	57,915 	28,424 	32.6 	21.9 	10.7 	4.83
1901 	2,667,000 	88,637 	56,225 	32,412 	33.2 	21.1 	12.2 	4.92
1902 	2,686,000 	87,082 	50,999 	36,083 	32.4 	19.0 	13.4 	4.79
1903 	2,706,000 	85,120 	49,992 	35,128 	31.5 	18.5 	13.0 	4.62
1904 	2,735,000 	90,253 	50,227 	40,026 	33.0 	18.4 	14.7 	4.85
1905 	2,762,000 	87,841 	52,773 	35,068 	31.8 	19.1 	12.7 	4.67
1906 	2,788,000 	91,401 	50,857 	40,544 	32.8 	18.2 	14.5 	4.81
1907 	2,821,000 	92,457 	53,028 	39,429 	32.8 	18.8 	14.0 	4.76
1908 	2,861,000 	92,146 	55,305 	36,841 	32.2 	19.3 	12.9 	4.65
1909 	2,899,000 	95,005 	50,577 	44,428 	32.8 	17.4 	15.3 	4.72
1910 	2,929,000 	92,984 	51,007 	41,977 	31.7 	17.4 	14.3 	4.60
1911 	2,962,000 	91,238 	51,648 	39,590 	30.8 	17.4 	13.4 	4.46
1912 	2,998,000 	92,275 	51,645 	40,630 	30.8 	17.2 	13.5 	4.45
1913 	3,026,000 	87,250 	51,876 	35,374 	28.8 	17.1 	11.7 	4.15
1914 	3,053,000 	87,577 	50,690 	36,887 	28.7 	16.6 	12.1 	4.13
1915 	3,083,000 	83,306 	52,205 	31,101 	27.0 	16.9 	10.1 	3.89
1916 	3,105,000 	79,653 	54,577 	25,076 	25.7 	17.6 	8.1 	3.69
1917 	3,124,000 	81,046 	58,863 	22,183 	25.9 	18.8 	7.1 	3.71
1918 	3,125,000 	79,494 	95,102 	-15,608 	25.4 	30.4 	-5.0 	3.60
1919 	3,117,000 	63,896 	62,932 	964 	20.5 	20.2 	0.3 	2.87
1920 	3,133,000 	84,714 	53,304 	31,410 	27.0 	17.0 	10.0 	3.76
1921 	3,170,000 	82,165 	47,361 	34,804 	25.9 	14.9 	11.0 	3.58
1922 	3,211,000 	80,140 	49,180 	30,960 	25.0 	15.3 	9.6 	3.43
1923 	3,243,000 	81,961 	47,556 	34,405 	25.3 	14.7 	10.6 	3.44
1924 	3,272,000 	78,057 	53,442 	24,615 	23.9 	16.3 	7.5 	3.22
1925 	3,304,000 	78,260 	47,493 	30,767 	23.7 	14.4 	9.3 	3.17
1926 	3,339,000 	76,875 	47,526 	29,349 	23.0 	14.2 	8.8 	3.02
1927 	3,368,000 	75,611 	51,727 	23,884 	22.5 	15.4 	7.1 	2.92
1928 	3,396,000 	77,523 	48,713 	28,810 	22.8 	14.3 	8.5 	2.92
1929 	3,424,000 	76,011 	54,489 	21,522 	22.2 	15.9 	6.3 	2.83
1930 	3,449,000 	75,236 	48,240 	26,996 	21.8 	14.0 	7.8 	2.75
1931 	3,476,000 	71,866 	48,968 	22,898 	20.7 	14.1 	6.6 	2.59
1932 	3,503,000 	69,352 	46,700 	22,652 	19.8 	13.3 	6.5 	2.46
1933 	3,526,000 	65,047 	47,960 	17,087 	18.4 	13.6 	4.8 	2.27
1934 	3,549,000 	67,713 	46,318 	21,395 	19.1 	13.1 	6.0 	2.33
1935 	3,576,000 	69,942 	45,370 	24,572 	19.6 	12.7 	6.9 	2.37
