1946,545880
1947,538157
1948,513210
1949,573598
1950,534480
1951,565829
1952,524831
1953,556983
1954,518892
1955,526322
1956,545700
1957,532107
1958,500596
1959,509114
1960,520960
1961,500289
1962,541147
1963,557852
1964,520033
1965,543696
1966,528782
1967,543033
1968,553441
1969,573335
1970,542277
1971,554151
1972,549900
1973,558782
1974,552551
1975,560353
1976,557114
1977,536221
1978,546916
1979,541805
1980,547107
1981,554823
1982,543104
1983,559655
1984,542490
1985,552496
1986,546926
1987,527466
1988,524600
1989,529283
1990,526201
1991,524685
1992,521530
1993,532263
1994,519965
1995,531618
1996,535775
1997,530319
1998,534005
1999,537661
2000,530864
2001,531073
2002,535144
2003,552339
2004,509429
2005,527533
2006,516416
2007,521016
2008,532131
2009,538116
2010,540469
2011,534795
2012,559227
2013,558408
2014,547003
2015,581770
2016,581073
2017,593606
2018,596552
2019,599408
2020,654599
2021,644201
2022,658400
