"Label";"Demography - Number of deaths - Metropolitan France";"Codes"
"idBank";"000436394";""
"Last update";"27/07/2023 12:00";""
"Period";"";""
"1946-01";"70900";"A"
"1946-02";"53958";"A"
"1946-03";"57287";"A"
"1946-04";"45376";"A"
"1946-05";"42591";"A"
"1946-06";"37721";"A"
"1946-07";"37587";"A"
"1946-08";"34880";"A"
"1946-09";"35188";"A"
"1946-10";"37842";"A"
"1946-11";"42954";"A"
"1946-12";"49596";"A"
"1947-01";"60453";"A"
"1947-02";"56891";"A"
"1947-03";"56442";"A"
"1947-04";"45121";"A"
"1947-05";"42605";"A"
"1947-06";"37894";"A"
"1947-07";"38364";"A"
"1947-08";"36763";"A"
"1947-09";"35768";"A"
"1947-10";"40488";"A"
"1947-11";"41361";"A"
"1947-12";"46007";"A"
"1948-01";"46161";"A"
"1948-02";"45412";"A"
"1948-03";"51983";"A"
"1948-04";"43829";"A"
"1948-05";"42003";"A"
"1948-06";"37084";"A"
"1948-07";"39069";"A"
"1948-08";"35272";"A"
"1948-09";"35314";"A"
"1948-10";"39588";"A"
"1948-11";"43596";"A"
"1948-12";"53899";"A"
"1949-01";"87861";"A"
"1949-02";"58592";"A"
"1949-03";"52772";"A"
"1949-04";"44154";"A"
"1949-05";"41896";"A"
"1949-06";"39141";"A"
"1949-07";"40042";"A"
"1949-08";"37372";"A"
"1949-09";"36267";"A"
"1949-10";"40534";"A"
"1949-11";"47049";"A"
"1949-12";"47918";"A"
"1950-01";"51927";"A"
"1950-02";"47749";"A"
"1950-03";"50439";"A"
"1950-04";"47248";"A"
"1950-05";"45515";"A"
"1950-06";"40095";"A"
"1950-07";"39798";"A"
"1950-08";"38124";"A"
"1950-09";"37075";"A"
"1950-10";"42232";"A"
"1950-11";"44418";"A"
"1950-12";"49860";"A"
"1951-01";"63048";"A"
"1951-02";"58340";"A"
"1951-03";"58959";"A"
"1951-04";"49690";"A"
"1951-05";"46496";"A"
"1951-06";"40359";"A"
"1951-07";"40199";"A"
"1951-08";"37670";"A"
"1951-09";"37288";"A"
"1951-10";"42997";"A"
"1951-11";"42370";"A"
"1951-12";"48413";"A"
"1952-01";"53364";"A"
"1952-02";"51750";"A"
"1952-03";"50111";"A"
"1952-04";"44752";"A"
"1952-05";"41167";"A"
"1952-06";"38144";"A"
"1952-07";"40266";"A"
"1952-08";"36246";"A"
"1952-09";"36278";"A"
"1952-10";"41385";"A"
"1952-11";"42467";"A"
"1952-12";"48901";"A"
"1953-01";"69112";"A"
"1953-02";"73023";"A"
"1953-03";"54100";"A"
"1953-04";"43573";"A"
"1953-05";"42651";"A"
"1953-06";"37468";"A"
"1953-07";"36807";"A"
"1953-08";"36685";"A"
"1953-09";"35488";"A"
"1953-10";"40885";"A"
"1953-11";"43243";"A"
"1953-12";"43948";"A"
"1954-01";"52729";"A"
"1954-02";"53607";"A"
"1954-03";"49423";"A"
"1954-04";"44349";"A"
"1954-05";"43538";"A"
"1954-06";"38096";"A"
"1954-07";"37671";"A"
"1954-08";"36316";"A"
"1954-09";"35450";"A"
"1954-10";"40719";"A"
"1954-11";"41178";"A"
"1954-12";"45816";"A"
"1955-01";"52017";"A"
"1955-02";"46623";"A"
"1955-03";"56974";"A"
"1955-04";"45364";"A"
"1955-05";"41749";"A"
"1955-06";"38477";"A"
"1955-07";"38211";"A"
"1955-08";"37969";"A"
"1955-09";"35745";"A"
"1955-10";"41772";"A"
"1955-11";"43595";"A"
"1955-12";"47826";"A"
"1956-01";"52107";"A"
"1956-02";"61556";"A"
"1956-03";"58113";"A"
"1956-04";"46263";"A"
"1956-05";"44009";"A"
"1956-06";"38974";"A"
"1956-07";"38820";"A"
"1956-08";"36144";"A"
"1956-09";"36638";"A"
"1956-10";"40669";"A"
"1956-11";"44859";"A"
"1956-12";"47548";"A"
"1957-01";"56610";"A"
"1957-02";"45707";"A"
"1957-03";"43656";"A"
"1957-04";"41437";"A"
"1957-05";"40495";"A"
"1957-06";"39094";"A"
"1957-07";"39774";"A"
"1957-08";"36455";"A"
"1957-09";"36454";"A"
"1957-10";"45258";"A"
"1957-11";"52329";"A"
"1957-12";"54838";"A"
"1958-01";"51563";"A"
"1958-02";"43451";"A"
"1958-03";"48476";"A"
"1958-04";"43746";"A"
"1958-05";"40009";"A"
"1958-06";"36288";"A"
"1958-07";"36939";"A"
"1958-08";"35096";"A"
"1958-09";"34417";"A"
"1958-10";"40532";"A"
"1958-11";"42689";"A"
"1958-12";"47390";"A"
"1959-01";"47483";"A"
"1959-02";"46355";"A"
"1959-03";"48627";"A"
"1959-04";"48180";"A"
"1959-05";"43832";"A"
"1959-06";"37602";"A"
"1959-07";"38584";"A"
"1959-08";"35222";"A"
"1959-09";"34954";"A"
"1959-10";"39524";"A"
"1959-11";"42899";"A"
"1959-12";"45852";"A"
"1960-01";"60414";"A"
"1960-02";"57951";"A"
"1960-03";"46868";"A"
"1960-04";"40827";"A"
"1960-05";"40405";"A"
"1960-06";"35851";"A"
"1960-07";"36250";"A"
"1960-08";"36049";"A"
"1960-09";"35599";"A"
"1960-10";"42503";"A"
"1960-11";"40787";"A"
"1960-12";"47456";"A"
"1961-01";"50816";"A"
"1961-02";"41813";"A"
"1961-03";"43080";"A"
"1961-04";"41093";"A"
"1961-05";"40232";"A"
