 	Population per 1 Jan. 	Live births1 	Deaths1 	Natural change1 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Fertility rates
1950 	3,528,000 	82,900 	27,000 	55,900 	23.5 	7.7 	15.9 	
1951 	3,585,000 	86,800 	26,900 	59,900 	24.2 	7.5 	16.7 	
1952 	3,646,000 	85,700 	26,600 	59,100 	23.5 	7.3 	16.2 	
1953 	3,710,000 	87,200 	26,300 	60,900 	23.5 	7.1 	16.4 	
1954 	3,775,000 	91,400 	26,000 	65,400 	24.2 	6.9 	17.3 	
1955 	3,839,000 	92,500 	25,700 	66,800 	24.1 	6.7 	17.4 	
1956 	3,904,000 	89,800 	26,500 	63,300 	23.0 	6.8 	16.2 	
1957 	3,967,000 	89,700 	27,000 	62,700 	22.6 	6.8 	15.8 	
1958 	4,031,000 	93,100 	27,400 	65,700 	23.1 	6.8 	16.3 	
1959 	4,044,000 	98,300 	27,400 	70,900 	24.0 	6.7 	17.3 	
1960 	4,129,000 	102,866 	27,015 	51,866 	24.7 	6.5 	18.2 	2.65
1961 	4,190,000 	104,429 	27,621 	53,429 	24.7 	6.5 	18.2 	2.65
1962 	4,258,000 	101,717 	30,394 	51,717 	23.7 	7.1 	16.6 	2.63
1963 	4,325,000 	100,326 	29,620 	51,326 	23.0 	6.8 	16.2 	2.62
1964 	4,389,000 	97,433 	29,708 	48,433 	22.0 	6.7 	15.3 	2.62
1965 	4,450,000 	94,987 	31,291 	46,987 	21.2 	7.0 	14.2 	2.60
1966 	4,505,000 	92,026 	30,389 	44,026 	20.3 	6.7 	13.6 	2.57
1967 	4,556,000 	89,302 	32,904 	42,302 	19.5 	7.2 	12.3 	2.53
1968 	4,598,000 	89,660 	32,416 	43,660 	19.4 	7.0 	12.4 	2.52
1969 	4,640,000 	87,069 	35,169 	41,069 	18.7 	7.5 	11.2 	2.45
1970 	4,674,000 	90,207 	34,283 	45,207 	19.2 	7.3 	11.9 	2.62
1971 	4,729,000 	90,396 	35,325 	45,396 	19.0 	7.4 	11.6 	2.61
1972 	4,778,000 	86,402 	36,409 	41,402 	18.0 	7.6 	10.4 	2.53
1973 	4,818,000 	88,577 	35,911 	44,577 	18.3 	7.4 	10.9 	2.58
1974 	4,856,000 	89,761 	37,145 	45,761 	18.4 	7.6 	10.8 	2.59
1975 	4,895,000 	89,712 	39,292 	45,712 	18.3 	8.0 	10.3 	2.52
1976 	4,920,000 	90,605 	38,875 	46,605 	18.3 	7.9 	10.4 	2.52
1977 	4,960,000 	89,028 	40,139 	45,028 	17.9 	8.1 	9.8 	2.33
1978 	4,986,000 	88,766 	40,239 	45,766 	17.8 	8.1 	9.8 	2.31
1979 	4,993,000 	89,803 	41,907 	47,896 	17.8 	8.4 	9.5 	2.34
1980 	5,029,000 	89,458 	43,346 	46,112 	17.6 	8.6 	9.1 	2.26
1981 	5,071,000 	92,501 	43,961 	48,540 	18.1 	8.6 	9.5 	2.29
1982 	5,100,000 	91,784 	42,734 	49,050 	17.9 	8.4 	9.6 	2.25
1983 	5,134,000 	92,660 	43,301 	49,359 	18.0 	8.4 	9.6 	2.20
1984 	5,167,000 	95,841 	45,787 	50,054 	18.5 	8.8 	9.7 	2.24
1985 	5,230,000 	97,739 	46,153 	51,586 	18.7 	8.8 	9.9 	2.27
1986 	5,234,000 	98,155 	46,354 	51,801 	18.7 	8.8 	9.9 	2.26
1987 	5,266,000 	94,595 	46,332 	48,263 	17.8 	8.7 	9.1 	2.19
1988 	5,397,000 	91,905 	47,544 	44,361 	17.1 	8.9 	8.3 	2.13
1989 	5,401,000 	91,138 	47,077 	44,061 	16.8 	8.7 	8.1 	2.15
1990 	5,424,000 	92,815 	50,721 	43,895 	17.1 	9.3 	8.1 	2.29
1991 	5,453,000 	89,091 	52,416 	36,675 	16.3 	9.6 	6.7 	2.07
1992 	5,467,000 	72,631 	55,076 	17,555 	13.4 	10.2 	3.2 	1.72
1993 	5,346,000 	55,594 	56,270 	-676 	11.5 	11.6 	-0.1 	
Excluding Abkhazia and South Ossetia
	Population per 1 Jan. 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Fertility rates
1994 	4,922,900 	57,311 	50,326 	6,985 	11.8 	10.4 	1.4 	1.53
1995 	4,742,300 	56,486 	49,219 	7,267 	11.9 	10.1 	1.8 	1.57
1996 	4,573,200 	55,153 	48,251 	6,902 	11.6 	10.2 	1.4 	1.60
1997 	4,410,200 	54,136 	48,026 	6,110 	11.4 	10.5 	1.1 	1.63
1998 	4,289,600 	51,491 	47,907 	3,584 	11.0 	10.5 	0.5 	1.60
1999 	4,197,600 	48,408 	47,909 	499 	10.7 	10.6 	0.1 	1.55
2000 	4,116,800 	48,167 	48,250 	-83 	10.7 	10.7 	-0.0 	1.59
2001 	4,037,500 	46,620 	47,133 	-513 	10.5 	10.6 	-0.1 	1.57
2002 	3,991,300 	45,127 	47,514 	-2,387 	10.2 	10.8 	-0.6 	1.53
