1946,353371
1947,330341
1948,305310
1949,321541
1950,305934
1951,327236
1952,276735
1953,278522
1954,264668
1955,274188
1956,290410
1957,293502
1958,260683
1959,269591
1960,268941
1961,263441
1962,278575
1963,282460
1964,273955
1965,274271
1966,276173
1967,280494
1968,282628
1969,303402
1970,286067
1971,308516
1972,285508
1973,301803
1974,300403
1975,298192
1976,299007
1977,294324
1978,296781
1979,291213
1980,289344
1981,293386
1982,286655
1983,302569
1984,299409
1985,312532
1986,310413
1987,310073
1988,319437
1989,324796
1990,333142
1991,337691
1992,331515
1993,339661
1994,338242
1995,346227
1996,351449
1997,349521
1998,360511
1999,371102
2000,360391
2001,360131
2002,368618
2003,384828
2004,371934
2005,387355
2006,371478
2007,385361
2008,386324
2009,384933
2010,382047
2011,387911
2012,402950
2013,390419
2014,395830
2015,422568
2016,410611
2017,424523
2018,427721
2019,418703
2020,493776
2021,450744
2022,462370
