[17][18][16] 	Average population (January 1) 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Crude migration change (per 1000) 	Total fertility rates[a][16]
1900 	18,520,000 	627,848 	536,716 	91,132 	33.9 	29.0 	4.9 	0 	4.49
1901 	18,610,000 	650,649 	517,575 	133,074 	35.0 	27.8 	7.1 	-1.2 	4.71
1902 	18,720,000 	666,687 	488,289 	178,398 	35.6 	26.1 	9.6 	-4.8 	4.70
1903 	18,810,000 	685,265 	470,387 	214,878 	36.4 	25.0 	11.4 	-2.4 	4.68
1904 	18,980,000 	649,878 	486,889 	162,989 	34.2 	25.7 	8.6 	-1.8 	4.67
1905 	19,110,000 	670,651 	491,369 	179,282 	35.1 	25.7 	9.4 	-2.1 	4.66
1906 	19,250,000 	650,385 	499,018 	151,367 	33.8 	25.9 	7.8 	-1.0 	4.61
1907 	19,380,000 	646,371 	472,007 	174,364 	33.3 	24.4 	9.0 	-1.3 	4.57
1908 	19,530,000 	658,008 	460,946 	197,062 	33.7 	23.6 	10.1 	-2.9 	4.52
1909 	19,670,000 	650,498 	466,648 	183,850 	33.1 	23.7 	9.3 	-4.2 	4.48
1910 	19,770,000 	646,975 	456,158 	190,817 	32.7 	23.1 	9.7 	-0.6 	4.43
1911 	19,950,000 	628,443 	466,525 	161,918 	31.5 	23.4 	8.1 	-3.6 	4.39
1912 	20,040,000 	637,860 	426,297 	211,563 	31.8 	21.3 	10.6 	-4.1 	4.35
1913 	20,170,000 	617,850 	449,349 	168,501 	30.6 	22.3 	8.4 	-1.5 	4.30
1914 	20,310,000 	608,207 	450,340 	157,867 	29.9 	22.2 	7.8 	-1.9 	4.26
1915 	20,430,000 	631,462 	452,479 	178,983 	30.9 	22.1 	8.8 	0 	4.22
1916 	20,610,000 	599,011 	441,673 	157,338 	29.1 	21.4 	7.6 	-1.3 	4.20
1917 	20,740,000 	602,139 	465,722 	136,417 	29.0 	22.5 	6.6 	1.6 	4.19
1918 	20,910,000 	612,637 	695,758 	-83,121 	29.3 	33.3 	-4.0 	8.3 	4.17
1919 	21,000,000 	585,963 	482,752 	103,211 	27.9 	23.0 	4.9 	1.3 	4.16
1920 	21,130,000 	623,339 	494,540 	128,799 	29.5 	23.4 	6.1 	0.5 	4.14
1921 	21,270,000 	648,892 	455,469 	193,423 	30.5 	21.4 	9.1 	2.2 	4.08
1922 	21,510,000 	656,093 	441,330 	214,763 	30.5 	20.5 	10.0 	0.7 	4.02
1923 	21,740,000 	662,576 	449,683 	212,893 	30.5 	20.7 	9.8 	1.7 	4.02
1924 	21,990,000 	653,085 	430,590 	222,495 	29.7 	19.6 	10.1 	-2.4 	3.92
1925 	22,160,000 	644,741 	432,400 	212,341 	29.1 	19.5 	9.6 	1.2 	3.82
1926 	22,400,000 	663,401 	420,838 	242,563 	29.6 	18.8 	10.8 	-1.4 	3.87
1927 	22,610,000 	636,028 	419,816 	216,212 	28.1 	18.6 	9.6 	1.7 	3.70
1928 	22,860,000 	666,240 	413,002 	253,238 	29.1 	18.1 	11.1 	0.3 	3.80
1929 	23,120,000 	653,668 	407,486 	246,182 	28.3 	17.6 	10.7 	-1.2 	3.69
1930 	23,340,000 	660,860 	394,488 	266,372 	28.3 	16.9 	11.4 	-4.1 	3.68
1931 	23,510,000 	649,276 	408,977 	240,299 	27.6 	17.4 	10.2 	6.3 	3.58
1932 	23,897,000 	670,670 	388,900 	281,770 	28.3 	16.5 	11.8 	-2.4 	3.64
1933 	24,122,000 	667,866 	394,750 	273,116 	27.9 	16.5 	11.4 	-2.0 	3.59
1934 	24,349,000 	641,889 	392,793 	249,096 	26.4 	16.1 	10.2 	-0.8 	3.38
1935 	24,578,000 	636,725 	388,757 	247,968 	25.9 	15.8 	10.1 	-0.7 	3.31
1936 	24,810,000 	617,220 	417,108 	200,112 	24.9 	16.8 	8.1 	1.3 	3.18
