1950,75929
1951,77560
1952,76346
1953,80901
1954,79623
1955,81708
1956,84809
1957,82961
1958,84491
1959,86072
1960,87825
1961,88321
1962,93969
1963,95734
1964,93437
1965,98026
1966,100516
1967,99792
1968,104989
1969,107615
1970,109619
1971,110243
1972,113576
1973,110682
1974,109250
1975,113737
1976,114454
1977,110093
1978,114415
1979,112565
1980,114279
1981,115515
1982,117264
1983,117761
1984,119812
1985,122704
1986,125307
1987,122199
1988,124163
1989,128905
1990,128824
1991,129958
1992,129887
1993,137795
1994,133471
1995,135675
1996,137561
1997,135783
1998,137482
1999,140487
2000,140527
2001,140377
2002,142355
2003,141936
2004,136553
2005,136402
2006,135372
2007,133022
2008,135136
2009,134235
2010,136058
2011,135741
2012,140813
2013,141245
2014,139223
2015,147134
2016,148997
2017,150214
2018,153363
2019,151885
2020,168678
2021,170972
2022,170112
