"STATISTIC Label","Year","Sex","Date of Occurrence","Month of Occurrence","UNIT","VALUE"
"Deaths Occurrence","2000","Both sexes","Total","January","Number","3926"
"Deaths Occurrence","2000","Both sexes","Total","February","Number","2764"
"Deaths Occurrence","2000","Both sexes","Total","March","Number","2560"
"Deaths Occurrence","2000","Both sexes","Total","April","Number","2661"
"Deaths Occurrence","2000","Both sexes","Total","May","Number","2483"
"Deaths Occurrence","2000","Both sexes","Total","June","Number","2456"
"Deaths Occurrence","2000","Both sexes","Total","July","Number","2396"
"Deaths Occurrence","2000","Both sexes","Total","August","Number","2226"
"Deaths Occurrence","2000","Both sexes","Total","September","Number","2150"
"Deaths Occurrence","2000","Both sexes","Total","October","Number","2512"
"Deaths Occurrence","2000","Both sexes","Total","November","Number","2517"
"Deaths Occurrence","2000","Both sexes","Total","December","Number","2740"
"Deaths Occurrence","2001","Both sexes","Total","January","Number","2909"
"Deaths Occurrence","2001","Both sexes","Total","February","Number","2529"
"Deaths Occurrence","2001","Both sexes","Total","March","Number","2872"
"Deaths Occurrence","2001","Both sexes","Total","April","Number","2525"
"Deaths Occurrence","2001","Both sexes","Total","May","Number","2493"
"Deaths Occurrence","2001","Both sexes","Total","June","Number","2262"
"Deaths Occurrence","2001","Both sexes","Total","July","Number","2426"
"Deaths Occurrence","2001","Both sexes","Total","August","Number","2306"
"Deaths Occurrence","2001","Both sexes","Total","September","Number","2293"
"Deaths Occurrence","2001","Both sexes","Total","October","Number","2388"
"Deaths Occurrence","2001","Both sexes","Total","November","Number","2425"
"Deaths Occurrence","2001","Both sexes","Total","December","Number","2784"
"Deaths Occurrence","2002","Both sexes","Total","January","Number","2814"
"Deaths Occurrence","2002","Both sexes","Total","February","Number","2372"
"Deaths Occurrence","2002","Both sexes","Total","March","Number","2768"
"Deaths Occurrence","2002","Both sexes","Total","April","Number","2577"
"Deaths Occurrence","2002","Both sexes","Total","May","Number","2386"
"Deaths Occurrence","2002","Both sexes","Total","June","Number","2352"
"Deaths Occurrence","2002","Both sexes","Total","July","Number","2408"
"Deaths Occurrence","2002","Both sexes","Total","August","Number","2190"
"Deaths Occurrence","2002","Both sexes","Total","September","Number","2266"
"Deaths Occurrence","2002","Both sexes","Total","October","Number","2472"
"Deaths Occurrence","2002","Both sexes","Total","November","Number","2362"
"Deaths Occurrence","2002","Both sexes","Total","December","Number","2716"
"Deaths Occurrence","2003","Both sexes","Total","January","Number","2666"
"Deaths Occurrence","2003","Both sexes","Total","February","Number","2433"
"Deaths Occurrence","2003","Both sexes","Total","March","Number","2599"
"Deaths Occurrence","2003","Both sexes","Total","April","Number","2537"
"Deaths Occurrence","2003","Both sexes","Total","May","Number","2370"
"Deaths Occurrence","2003","Both sexes","Total","June","Number","2267"
"Deaths Occurrence","2003","Both sexes","Total","July","Number","2171"
"Deaths Occurrence","2003","Both sexes","Total","August","Number","2173"
"Deaths Occurrence","2003","Both sexes","Total","September","Number","2156"
"Deaths Occurrence","2003","Both sexes","Total","October","Number","2571"
