1946,41457
1947,44061
1948,36357
1949,38062
1950,37741
1951,42382
1952,35105
1953,34591
1954,35535
1955,36761
1956,33910
1957,34311
1958,34248
1959,34243
1960,32660
1961,34763
1962,33838
1963,33795
1964,32630
1965,33022
1966,35113
1967,31400
1968,33157
1969,33734
1970,33686
1971,31890
1972,34381
1973,34192
1974,34921
1975,33173
1976,34043
1977,33632
1978,33794
1979,33771
1980,33472
1981,32929
1982,32457
1983,32076
1984,32154
1985,33213
1986,33630
1987,31413
1988,31580
1989,32111
1990,31370
1991,31305
1992,30931
1993,32148
1994,30948
1995,32259
1996,31723
1997,31581
1998,31563
1999,32608
2000,31391
2001,30212
2002,29683
2003,29074
2004,28665
2005,28260
2006,28488
2007,28117
2008,28274
2009,28380
2010,27961
2011,28456
2012,29186
2013,29504
2014,29252
2015,30127
2016,30667
2017,30418
2018,31140
2019,31184
2020,32856
2021,33055
2022,35477
