1946,41457
1947,44061
1948,36357
1949,38062
1950,37741
1951,42382
1952,35105
1953,34591
1954,35535
1955,36761
1956,33910
1957,34311
1958,34248
1959,34243
1960,32658
1961,34548
1962,33643
1963,33558
1964,32473
1965,32778
1966,34725
1967,31002
1968,32800
1969,33508
1970,33884
1971,31375
1972,33848
1973,33310
1974,34468
1975,33532
1976,33284
1977,33425
1978,33051
1979,32790
1980,32980
1981,32410
1982,32876
1983,32744
1984,32154
1985,33222
1986,33627
1987,31219
1988,31575
1989,31103
1990,31818
1991,31498
1992,30780
1993,31656
1994,30744
1995,31494
1996,31514
1997,31605
1998,31352
1999,31683
2000,31115
2001,29812
2002,29348
2003,28823
2004,28151
2005,27441
2006,27479
2007,28050
2008,28215
2009,28898
2010,27565
2011,28995
2012,28848
2013,30018
2014,29095
2015,29952
2016,30390
2017,30484
2018,31116
2019,31134
2020,31765
2021,33055
2022,35477
