Vital statistics for Ireland since 1900[13] 	Population on 1 April 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate[fn 1][11]
1900 	3,231,000 	70,435 			21.8 			3.04
1901 	3,234,000 	70,194 			21.7 			2.92
1902 	3,205,000 	71,156 			22.2 			3.08
1903 	3,191,000 	70,541 			22.1 			3.09
1904 	3,169,000 	72,261 			22.8 			3.16
1905 	3,160,000 	71,427 			22.6 			3.13
1906 	3,164,000 	72,147 			22.8 			3.15
1907 	3,145,000 	70,773 			22.5 			3.11
1908 	3,147,000 	71,439 			22.7 			3.12
1909 	3,135,000 	72,119 			23.0 			3.14
1910 	3,132,000 	71,744 			22.9 			3.12
1911 	3,129,000 	71,351 			22.8 			3.07
1912 	3,116,000 	70,734 	50,489 	20,245 	22.7 	16.2 	6.5 	3.10
1913 	3,106,000 	70,214 	52,184 	18,030 	22.6 	16.8 	5.8 	3.09
1914 	3,098,000 	69,102 	49,674 	19,428 	22.3 	16.0 	6.3 	3.05
1915 	3,068,000 	67,501 	53,713 	13,788 	22.0 	17.5 	4.5 	2.99
1916 	3,071,000 	64,814 	50,627 	14,187 	21.1 	16.5 	4.6 	2.87
1917 	3,071,000 	61,429 	51,713 	9,716 	20.0 	16.8 	3.2 	2.71
1918 	3,069,000 	61,092 	53,682 	7,410 	19.9 	17.5 	2.4 	2.73
1919 	3,060,000 	61,829 	55,776 	6,044 	19.9 	18.2 	1.7 	2.75
1920 	3,102,000 	67,015 	45,521 	21,494 	21.6 	14.7 	6.9 	3.20
1921 	3,096,000 	61,010 	44,537 	16,473 	19.7 	14.4 	5.3 	2.79
1922 	3,070,000 	58,849 	44,547 	14,302 	18.5 	14.5 	4.0 	2.61
1923 	3,014,000 	62,417 	42,217 	19,473 	20.5 	14.0 	6.5 	2.74
1924 	3,005,000 	63,402 	45,180 	18,222 	21.1 	15.0 	6.1 	2.83
1925 	2,985,000 	62,069 	43,650 	18,419 	20.8 	14.6 	6.2 	2.79
1926 	2,971,000 	61,176 	41,740 	19,436 	20.6 	14.0 	6.5 	2.76
1927 	2,957,000 	60,054 	43,677 	16,377 	20.3 	14.8 	5.5 	2.72
1928 	2,944,000 	59,176 	41,792 	17,384 	20.1 	14.2 	5.9 	2.69
1929 	2,937,000 	58,280 	42,991 	15,289 	19.8 	14.6 	5.2 	2.66
1930 	2,927,000 	58,353 	41,702 	16,651 	19.9 	14.2 	5.7 	2.54
1931 	2,933,000 	57,086 	42,947 	14,139 	19.5 	14.6 	4.8 	2.49
1932 	2,949,000 	56,240 	42,984 	13,256 	19.1 	14.6 	4.5 	2.43
1933 	2,962,000 	57,364 	40,539 	16,825 	19.4 	13.7 	5.7 	2.47
