"Deaths and crude death rate by sex and age 1841-2022"

"Year";"Age";"Number Total"
"1841";"Total";1478
"1842";"Total";1510
"1843";"Total";3157
"1844";"Total";1190
"1845";"Total";1331
"1846";"Total";3239
"1847";"Total";1474
"1848";"Total";1220
"1849";"Total";1387
"1850";"Total";1442
"1851";"Total";1840
"1852";"Total";1368
"1853";"Total";1133
"1854";"Total";1434
"1855";"Total";1836
"1856";"Total";1425
"1857";"Total";1571
"1858";"Total";1939
"1859";"Total";2493
"1860";"Total";3256
"1861";"Total";2311
"1862";"Total";2784
"1863";"Total";2018
"1864";"Total";1908
"1865";"Total";2002
"1866";"Total";3011
"1867";"Total";1695
"1868";"Total";1894
"1869";"Total";2348
"1870";"Total";1613
"1871";"Total";1809
"1872";"Total";2401
"1873";"Total";1839
"1874";"Total";1523
"1875";"Total";1671
"1876";"Total";1543
"1877";"Total";1354
"1878";"Total";1560
"1879";"Total";1800
"1880";"Total";1509
"1881";"Total";1832
"1882";"Total";3259
"1883";"Total";2133
"1884";"Total";1447
"1885";"Total";1341
"1886";"Total";1402
"1887";"Total";1703
"1888";"Total";1307
"1889";"Total";1091
"1890";"Total";1954
"1891";"Total";1266
"1892";"Total";1110
"1893";"Total";1136
"1894";"Total";1751
"1895";"Total";1104
"1896";"Total";1085
"1897";"Total";1347
"1898";"Total";1636
"1899";"Total";1358
"1900";"Total";1545
"1901";"Total";1155
"1902";"Total";1262
"1903";"Total";1324
"1904";"Total";1242
"1905";"Total";1435
"1906";"Total";1193
"1907";"Total";1396
"1908";"Total";1594
"1909";"Total";1263
"1910";"Total";1304
"1911";"Total";1152
"1912";"Total";1171
"1913";"Total";1060
"1914";"Total";1428
"1915";"Total";1376
"1916";"Total";1322
"1917";"Total";1111
"1918";"Total";1518
"1919";"Total";1169
"1920";"Total";1360
"1921";"Total";1478
"1922";"Total";1280
"1923";"Total";1287
"1924";"Total";1462
"1925";"Total";1229
"1926";"Total";1121
"1927";"Total";1282
"1928";"Total";1124
"1929";"Total";1237
"1930";"Total";1248
"1931";"Total";1277
"1932";"Total";1191
"1933";"Total";1159
"1934";"Total";1181
"1935";"Total";1402
"1936";"Total";1253
"1937";"Total";1317
"1938";"Total";1207
"1939";"Total";1160
"1940";"Total";1200
"1941";"Total";1352
"1942";"Total";1293
"1943";"Total";1268
"1944";"Total";1218
"1945";"Total";1179
"1946";"Total";1121
"1947";"Total";1162
"1948";"Total";1114
"1949";"Total";1106
"1950";"Total";1122
"1951";"Total";1145
"1952";"Total";1082
"1953";"Total";1118
"1954";"Total";1064
"1955";"Total";1099
"1956";"Total";1153
"1957";"Total";1157
"1958";"Total";1165
"1959";"Total";1242
"1960";"Total";1167
"1961";"Total";1248
"1962";"Total";1237
"1963";"Total";1327
"1964";"Total";1315
"1965";"Total";1291
"1966";"Total";1391
"1967";"Total";1385
"1968";"Total";1390
"1969";"Total";1451
"1970";"Total";1457
"1971";"Total";1501
"1972";"Total";1447
"1973";"Total";1475
"1974";"Total";1495
"1975";"Total";1412
"1976";"Total";1343
"1977";"Total";1435
"1978";"Total";1421
"1979";"Total";1482
"1980";"Total";1538
"1981";"Total";1656
"1982";"Total";1583
"1983";"Total";1653
"1984";"Total";1584
"1985";"Total";1652
"1986";"Total";1598
"1987";"Total";1724
"1988";"Total";1818
"1989";"Total";1716
"1990";"Total";1704
"1991";"Total";1796
"1992";"Total";1719
"1993";"Total";1753
"1994";"Total";1717
"1995";"Total";1923
"1996";"Total";1879
"1997";"Total";1843
"1998";"Total";1821
"1999";"Total";1901
"2000";"Total";1828
"2001";"Total";1725
"2002";"Total";1822
"2003";"Total";1826
"2004";"Total";1824
"2005";"Total";1837
"2006";"Total";1903
"2007";"Total";1943
"2008";"Total";1987
"2009";"Total";2002
"2010";"Total";2020
"2011";"Total";1986
"2012";"Total";1955
"2013";"Total";2154
"2014";"Total";2049
"2015";"Total";2178
"2016";"Total";2309
"2017";"Total";2240
"2018";"Total";2257
"2019";"Total";2277
"2020";"Total";2308
"2021";"Total";2338
"2022";"Total";2693
