1946,1121
1947,1162
1948,1114
1949,1106
1950,1122
1951,1145
1952,1082
1953,1118
1954,1064
1955,1099
1956,1153
1957,1157
1958,1165
1959,1242
1960,1167
1961,1248
1962,1237
1963,1327
1964,1315
1965,1291
1966,1391
1967,1385
1968,1390
1969,1451
1970,1457
1971,1501
1972,1447
1973,1475
1974,1495
1975,1412
1976,1343
1977,1435
1978,1421
1979,1482
1980,1538
1981,1656
1982,1583
1983,1653
1984,1584
1985,1652
1986,1598
1987,1724
1988,1818
1989,1716
1990,1704
1991,1796
1992,1719
1993,1753
1994,1717
1995,1923
1996,1879
1997,1843
1998,1821
1999,1901
2000,1828
2001,1725
2002,1822
2003,1826
2004,1824
2005,1837
2006,1903
2007,1943
2008,1987
2009,2002
2010,2020
2011,1986
2012,1955
2013,2154
2014,2049
2015,2178
2016,2309
2017,2240
2018,2257
2019,2277
2020,2308
2021,2338
2022,2693
