1950,30870
1955,24138
1960,21611
1965,23467
1966,23799
1967,24571
1968,25725
1969,27156
1970,28048
1971,26972
1972,29252
1973,29160
1974,29612
1975,31265
1976,31972
1977,32932
1978,34008
1979,34897
1980,35871
1981,35579
1982,35040
1983,36451
1984,38666
1985,39169
1986,35788
1987,36917
1988,37649
1989,38150
1990,39760
1991,41013
1992,41455
1993,46107
1994,46486
1995,45306
1996,42896
1997,41143
1998,40757
1999,40003
2000,38919
2001,40399
2002,41072
2003,40990
2004,41340
2005,43799
2006,44813
2007,45624
2008,43832
2009,42032
2010,42120
2011,41037
2012,40938
2013,41511
2014,40252
2015,41776
2016,41106
2017,40142
2018,39574
2019,38281
2020,43547
2021,47746
2022,42884
