	Republic of Lithuania	Capital Region	Vilnius county	Central and Western Lithuania Region	Alytus county	Kaunas county	Klaipėda county	Marijampolė county	Panevėžys county	Šiauliai county	Tauragė county	Telšiai county	Utena county	
2022	42884	10420	10420	32464	2453	8630	4713	2343	3697	4460	1574	2002	2592	
2021	47746	12022	12022	35724	2762	9287	5261	2583	4164	4851	1753	2223	2840	Explanation of special symbols:
2020	43547	10585	10585	32962	2504	8738	4811	2404	3849	4462	1645	1980	2569	** - revised data
2019	38281	9404	9404	28877	2240	7515	4242	2136	3363	3799	1374	1762	2446	
2018	39574	9633	9633	29941	2223	7885	4180	2216	3461	4142	1501	1884	2449	
2017	40142	9547	9547	30595	2324	8012	4281	2194	3630	4195	1542	1905	2512	
2016	41106	9932	9932	31174	2294	8215	4415	2239	3719	4193	1655	1897	2547	
2015	41776	10059	10059	31717	2292	8468	4369	2370	3748	4332	1666	1951	2521	
2014	40252	9906	9906	30346	2291	7846	4195	2324	3547	4113	1544	1992	2494	
2013	41511	10045	10045	31466	2332	8042	4368	2376	3584	4382	1699	2057	2626	
2012	40938	9817	9817	31121	2382	8012	4212	2300	3697	4393	1606	1943	2576	
2011	41037	9725	9725	31312	2288	7985	4408	2267	3741	4301	1691	2026	2605	
2010	42120	10021	10021	32099	2407	8246	4359	2346	3846	4478	1764	1967	2686	
2009	42032	10063	10063	31969	2331	8201	4373	2344	3870	4427	1690	2031	2702	
2008	43832	10657	10657	33175	2498	8540	4490	2348	4053	4635	1730	2058	2823	
2007	45624	11071	11071	34553	2614	8831	4647	2567	4022	4918	1809	2227	2918	
2006	44813	10831	10831	33982	2655	8567	4560	2523	3862	4925	1932	2174	2784	
2005	43799	10122	10122	33677	2651	8471	4476	2507	3895	4752	1897	2221	2807	
2004	41340	9421	9421	31919	2370	8174	4137	2471	3741	4486	1834	2044	2662	
2003	40990	9514	9514	31476	2311	7998	4065	2397	3745	4409	1747	2125	2679	
2002	41072	9418	9418	31654	2359	7955	4112	2424	3724	4563	1755	2098	2664	
2001	40399	9341	9341	31058	2275	7961	4075	2349	3828	4312	1669	2041	2548	
2000	38919	8925	8925	29994	2244	7847	3680	2293	3618	4281	1541	1968	2522	
1999	40003		9030		2277	7716	4048	2358	3764	4426	1785	2032	2567	
1998	40757		9509		2216	8065	3821	2345	3834	4480	1661	2035	2791	
1997	41143		9585		2336	7999	3949	2346	3840	4426	1766	2094	2802	
1996	42896		9809		2381	8496	4180	2512	4003	4639	1857	2124	2895	
1995	45306		10376		2509	9381	4311	2709	4195	4871	1882	2189	2883	
1994	46486		10440		2582	9490	4414	2786	4431	5109	1974	2222	3038	
