Source: Central Statistical Bureau of Latvia[22]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Infant mortality rate (per 1000 births) 	Life expectancy at birth (males) 	Life expectancy at birth (females)
1920 	1,727,000 	29,434 	33,891 	-4,457 	17.0 	19.6 	-2.5 		128.4 		
1921 	1,850,000 	36,420 	25,331 	11,089 	19.7 	13.7 	5.9 		93.2 		
1922 	1,883,000 	41,146 	27,553 	13,593 	21.9 	14.6 	7.2 		90.8 		
1923 	1,909,000 	41,796 	26,080 	15,716 	21.9 	13.7 	8.2 		88.4 		
1924 	1,845,000 	41,172 	28,399 	12,773 	22.3 	15.4 	6.9 		100.8 	50.7 	56.9
1925 	1,857,000 	41,314 	27,683 	13,631 	22.3 	14.9 	7.3 		107.2 		
1926 	1,871,000 	41,073 	27,557 	13,516 	22.0 	14.7 	7.2 		87.9 		
1927 	1,883,000 	41,610 	28,941 	12,669 	22.1 	15.4 	6.7 		95.7 		
1928 	1,895,000 	39,126 	27,299 	11,827 	20.7 	14.4 	6.2 		96.3 		
1929 	1,900,000 	35,673 	28,512 	7,161 	18.8 	15.0 	3.7 		106.7 		
1930 	1,910,000 	37,835 	27,110 	10,725 	19.8 	14.2 	5.6 		90.0 		
1931 	1,920,000 	36,972 	26,891 	10,081 	19.3 	14.0 	5.2 		86.3 		
1932 	1,931,000 	37,366 	26,342 	11,024 	19.4 	13.6 	5.7 		89.3 		
1933 	1,939,000 	34,576 	26,319 	8,257 	17.8 	13.6 	4.2 		76.4 		
1934 	1,947,000 	33,383 	27,065 	6,318 	17.2 	13.9 	3.2 		95.1 	55.1 	60.6
1935 	1,953,000 	34,419 	27,660 	6,759 	17.6 	14.2 	3.4 		78.9 	55.0 	61.0
1936 	1,961,000 	35,468 	27,646 	7,822 	18.1 	14.1 	3.9 		80.1 		
1937 	1,968,000 	34,863 	28,083 	6,780 	17.7 	14.3 	3.4 		85.0 		
1938 	1,978,000 	36,386 	26,703 	9,683 	18.4 	13.5 	4.9 		68.1 		
1939 	2,000,000 	36,932 	27,827 	9,105 	18.5 	13.9 	4.6 		70.2 		
1940 	1,940,000 	37,493 	30,355 	7,138 	19.3 	15.7 	3.6 		73.2 		
1941 	1,755,000 	36,295 	30,434 	5,861 	20.7 	17.3 	3.4 		81.7 		
1942 	1,750,000 	36,370 	29,940 	6,430 	20.7 	17.1 	3.6 		81.1 		
1943 	1,760,000 	35,915 	29,904 	6,011 	20.4 	16.9 	3.5 		93.4 		
1944 								2.30 			
1945 		26,217 	32,230 	-6,013 					111.1 		
1946 	1,553,577 	30,544 	32,266 	-1,722 	18.7 	19.7 	-1.0 		93.9 		
1947 	1,716,773 	34,832 	32,435 	2,397 	19.5 	18.2 	1.3 		108.7 		
1948 	1,856,419 	35,402 	26,500 	8,902 	18.9 	14.2 	4.7 		79.3 		
1949 	1,886,792 	35,671 	25,640 	10,031 	18.9 	13.6 	5.3 		83.3 		
1950 	1,884,077 	33,137 	24,250 	8,887 	17.6 	12.9 	4.7 		70.0 		
1951 	1,889,974 	32,764 	23,898 	8,866 	17.3 	12.6 	4.7 		69.6 		
1952 	1,898,577 	32,278 	22,680 	9,598 	16.9 	11.9 	5.0 		52.9 		
1953 	1,912,837 	30,986 	22,761 	8,225 	16.1 	11.8 	4.3 		46.8
1954 	1,939,138 	33,202 	22,500 	10,702 	17.0 	11.5 	5.5 		45.9 		
1955 	1,966,567 	32,968 	21,330 	11,638 	16.6 	10.8 	5.8 		42.0 		
1956 	1,995,354 	32,590 	20,339 	12,251 	16.1 	10.1 	6.0 		33.9 		
1957 	2,040,978 	33,714 	21,087 	12,627 	16.4 	10.3 	6.1 		32.3 		
1958 	2,066,368 	35,068 	20,910 	14,158 	16.9 	10.1 	6.8 		29.5 	65.2 	72.4
1959 	2,079,948 	35,028 	22,601 	12,427 	16.7 	10.8 	5.9 		30.8 		
1960 	2,104,128 	35,468 	21,314 	14,154 	16.7 	10.0 	6.7 	1.99 	27.0 		
1961 	2,137,830 	35,993 	21,759 	14,234 	16.7 	10.1 	6.6 	2.01 	24.1 	66.1 	73.5
1962 	2,167,531 	35,061 	23,592 	11,469 	16.1 	10.8 	5.3 	1.91 	24.2 		
1963 	2,195,640 	33,843 	22,703 	11,140 	15.3 	10.3 	5.0 	1.85 	25.9 	67.0 	74.0
1964 	2,226,198 	33,053 	21,165 	11,888 	14.8 	9.4 	5.4 	1.79 	22.0 		
1965 	2,255,048 	31,212 	22,780 	8,432 	13.8 	10.1 	3.7 	1.74 	18.9 	66.6 	74.4
1966 	2,276,789 	31,974 	23,350 	8,624 	14.0 	10.2 	3.8 	1.76 	17.0 		
1967 	2,289,645 	32,232 	24,362 	7,870 	14.0 	10.6 	3.4 	1.80 	17.3 		
1968 	2,312,795 	32,693 	25,104 	7,589 	14.1 	10.8 	3.3 	1.83 	18.9 		
1969 	2,334,443 	32,915 	26,229 	6,686 	14.0 	11.2 	2.8 	1.88 	17.7 	65.5 	74.2
1970 	2,351,903 	34,333 	26,546 	7,787 	14.6 	11.3 	3.3 	2.01 	17.7 	66.0 	74.4
1971 	2,366,424 	35,239 	26,275 	8,964 	14.8 	11.1 	3.7 	2.05 	15.9 	65.4 	74.6
1972 	2,386,353 	35,007 	27,296 	7,711 	14.6 	11.4 	3.2 	2.03 	16.0 	65.0 	75.0
1973 	2,404,995 	34,008 	28,139 	5,869 	14.1 	11.6 	2.5 	1.96 	15.8 	65.2 	74.7
1974 	2,426,642 	34,920 	28,143 	6,777 	14.3 	11.5 	2.8 	1.99 	18.4 		
1975 	2,447,730 	34,810 	30,042 	4,768 	14.2 	12.2 	2.0 	1.96 	20.3 	64.2 	74.3
1976 	2,464,529 	34,644 	30,373 	4,271 	14.0 	12.3 	1.7 	1.93 	20.1 	64.4 	74.3
1977 	2,477,449 	34,240 	30,869 	3,371 	13.8 	12.4 	1.4 	1.88 	18.3 	64.5 	74.2
1978 	2,492,697 	34,258 	31,261 	2,997 	13.7 	12.5 	1.2 	1.86 	18.1 	63.7 	73.9
1979 	2,503,145 	34,683 	32,162 	2,521 	13.8 	12.8 	1.0 	1.86 	18.3 	63.6 	73.9
1980 	2,508,761 	35,534 	32,100 	3,434 	14.1 	12.8 	1.3 	1.88 	15.3 	63.6 	74.2
1981 	2,514,640 	35,732 	32,090 	3,642 	14.2 	12.7 	1.5 	1.88 	16.0 	63.9 	74.4
1982 	2,524,202 	37,477 	31,234 	6,243 	14.8 	12.3 	2.5 	1.97 	13.9 	64.0 	74.5
1983 	2,537,958 	40,572 	32,330 	8,242 	15.9 	12.7 	3.2 	2.12 	15.9 	63.9 	74.5
1984 	2,554,063 	40,847 	33,406 	7,441 	15.9 	13.0 	2.9 	2.14 	12.9 	64.4 	74.2
1985 	2,570,030 	39,751 	34,166 	5,585 	15.4 	13.2 	2.2 	2.08 	13.0 	65.5 	74.5
1986 	2,587,716 	41,960 	31,328 	10,632 	16.1 	12.0 	4.1 	2.21 	12.8 	66.3 	75.0
1987 	2,612,068 	42,135 	32,150 	9,985 	16.0 	12.2 	3.8 	2.21 	11.3 		
1988 	2,641,097 	41,275 	32,421 	8,854 	15.6 	12.2 	3.4 	2.16 	11.0 	66.3 	75.1
1989 	2,665,770 	38,922 	32,584 	6,338 	14.6 	12.2 	2.4 	2.04 	11.3 	65.3 	75.2
1990 	2,668,140 	37,918 	34,812 	3,106 	14.2 	13.1 	1.1 	2.00 	13.7 	64.2 	74.6
1991 	2,658,161 	34,633 	34,749 	-116 	13.1 	13.1 	0.0 	1.86 	15.7 	63.8 	74.8
1992 	2,643,000 	31,569 	35,420 	-3,851 	12.1 	13.5 	-1.4 	1.74 	17.6 	63.3 	74.8
1993 	2,585,675 	26,759 	39,197 	-12,438 	10.4 	15.3 	-4.9 	1.52 	16.2 	61.6 	73.8
1994 	2,540,904 	24,256 	41,757 	-17,501 	9.6 	16.6 	-7.0 	1.41 	15.7 	60.7 	72.9
1995 	2,500,580 	21,595 	38,931 	-17,336 	8.7 	15.7 	-7.0 	1.27 	18.8 	60.8 	73.1
1996 	2,469,531 	19,782 	34,320 	-14,538 	8.1 	14.0 	-5.9 	1.18 	15.9 	63.9 	75.6
1997 	2,444,912 	18,830 	33,533 	-14,703 	7.7 	13.8 	-6.1 	1.13 	15.3 	64.2 	75.9
1998 	2,420,789 	18,410 	34,200 	-15,790 	7.6 	14.2 	-6.6 	1.12 	15.0 	64.1 	75.5
1999 	2,399,248 	19,396 	32,844 	-13,448 	8.1 	13.7 	-5.6 	1.18 	11.3 	64.9 	76.2
2000 	2,381,715 	20,302 	32,205 	-11,903 	8.6 	13.6 	-5.0 	1.25 	10.3 	64.6 	75.8
2001 	2,353,384 	19,726 	32,991 	-13,265 	8.4 	14.1 	-5.7 	1.22 	11.0 	64.2 	75.5
2002 	2,320,956 	20,127 	32,498 	-12,371 	8.7 	14.1 	-5.4 	1.25 	9.8 	64.4 	75.9
2003 	2,299,390 	21,151 	32,437 	-11,286 	9.2 	14.2 	-5.0 	1.32 	9.4 	65.4 	75.7
2004 	2,276,520 	20,551 	32,024 	-11,473 	9.1 	14.2 	-5.1 	1.29 	9.3 	65.5 	76.1
