DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1950,3401,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1951,4356,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1952,3557,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1953,3737,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1954,3421,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1955,3453,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1956,3878,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1957,3811,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1958,3512,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1959,3607,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1960,3716,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1961,3616,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1962,4037,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1963,3929,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1964,3857,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1965,4057,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1966,4050,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1967,4124,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1968,4098,,0: Zero,,,,
LU1:DF_B2100(1.0),A: Annual,SL06: Deaths,1969,4193,,0: Zero,,,,
