DATAFLOW,MONTH: Month,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_MONTH_2: Note Month 2,NOTE_MONTH_1: Note Month 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_B2302(1.0),SL04: April,A: Annual,1950,281,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1951,297,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1952,304,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1953,307,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1954,302,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1955,289,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1956,364,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1957,286,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1958,296,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1959,316,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1960,285,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1961,274,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1962,355,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1963,318,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1964,345,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1965,323,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1966,355,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1967,346,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1968,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1969,364,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1970,354,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1971,329,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1972,309,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1973,355,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1974,342,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1975,397,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1976,378,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1977,354,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1978,325,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1979,321,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1980,319,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1981,311,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1982,339,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1983,330,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1984,360,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1985,378,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1986,345,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1987,323,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1988,349,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1989,315,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1990,339,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1991,337,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1992,363,,,,,,0: Zero
LU1:DF_B2302(1.0),SL04: April,A: Annual,1993,313,,,,,,0: Zero
