DATAFLOW,CSE_RATE: Rate,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1980-A1,9.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1981-A1,9.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1982-A1,9.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1983-A1,9.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1984-A1,8.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1985-A1,8.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1986-A1,8.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1987-A1,8.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1988-A1,7.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1989-A1,7.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1990-A1,7.7,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1991-A1,8.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1992-A1,8.0,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1993-A1,7.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1994-A1,7.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1995-A1,7.3,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1996-A1,7.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1997-A1,7.7,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1998-A1,8.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,1999-A1,8.1,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2000-A1,7.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2001-A1,7.4,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2002-A1,7.6,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2003-A1,7.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2004-A1,7.5,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2005-A1,7.8,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2006-A1,7.9,,
NSO:DF_CRUDE_DEATH_BIRTH_TOTAL_FIRT_RATE(1.4),CDR: Crude Death Rate,A: Annual,2007-A1,7.6,,
