DATAFLOW,CSE_SEX: Sex,CSE_AGE0_90: Age 0 to 90,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2000-A1,2211,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2001-A1,2152,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2002-A1,2157,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2003-A1,1915,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2004-A1,1852,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2005-A1,1988,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2006-A1,1868,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2007-A1,1854,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2008-A1,1808,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2009-A1,1807,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2010-A1,1961,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2011-A1,1975,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2012-A1,1961,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2013-A1,2141,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2014-A1,2125,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2015-A1,2077,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2016-A1,2091,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2017-A1,2339,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2018-A1,2310,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2019-A1,2352,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_02: 02,A: Annual,2020-A1,2326,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2000-A1,2294,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2001-A1,2264,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2002-A1,2438,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2003-A1,2536,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2004-A1,2676,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2005-A1,2727,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2006-A1,2748,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2007-A1,2843,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2008-A1,2931,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2009-A1,2911,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2010-A1,2896,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2011-A1,2953,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2012-A1,2915,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2013-A1,3056,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2014-A1,3348,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2015-A1,3359,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2016-A1,3361,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2017-A1,3568,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2018-A1,3785,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2019-A1,4179,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_32: 32,A: Annual,2020-A1,4469,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2000-A1,3216,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2001-A1,3152,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2002-A1,2999,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2003-A1,3004,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2004-A1,2883,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2005-A1,2863,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2006-A1,2800,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2007-A1,2908,,
NSO:DF_TOT_POP_BY_SEX_SINGLE_YEARS_AGE(1.5),F: Females,AG_53: 53,A: Annual,2008-A1,2912,,
