1946,4050
1947,3838
1948,3737
1949,3326
1950,3224
1951,3476
1952,3365
1953,2848
1954,3071
1955,2683
1956,2918
1957,2955
1958,2657
1959,2836
1960,2819
1961,2937
1962,2840
1963,2981
1964,2756
1965,3001
1966,2865
1967,2985
1968,2883
1969,3024
1970,3070
1971,3090
1972,2891
1973,2935
1974,2747
1975,2900
1976,2967
1977,2872
1978,3263
1979,2968
1980,3216
1981,3062
1982,3050
1983,3137
1984,2903
1985,2837
1986,2824
1987,2908
1988,2708
1989,2610
1990,2745
1991,2875
1992,2900
1993,2692
1994,2698
1995,2708
1996,2759
1997,2865
1998,3018
1999,3079
2000,2941
2001,2904
2002,3006
2003,3146
2004,3006
2005,3132
2006,3216
2007,3111
2008,3243
2009,3221
2010,3010
2011,3267
2012,3418
2013,3236
2014,3270
2015,3442
2016,3342
2017,3571
2018,3688
2019,3688
2020,4084
2021,4163
2022,4230
