1974,39464
1975,40061
1976,40216
1977,39824
1978,40682
1979,41632
1980,41340
1981,41893
1982,41454
1983,42224
1984,42581
1985,44372
1986,43560
1987,44959
1988,45354
1989,45173
1990,46021
1991,44923
1992,44731
1993,46597
1994,44071
1995,45190
1996,43860
1997,44595
1998,44112
1999,45170
2000,44002
2001,43981
2002,44465
2003,42478
2004,41200
2005,41232
2006,41253
2007,41954
2008,41712
2009,41449
2010,41499
2011,41393
2012,41992
2013,41282
2014,40394
2015,40727
2016,40726
2017,40774
2018,40840
2019,40684
2020,40611
2021,42002
2022,45774
