1946,29220
1947,29894
1948,28375
1949,29082
1950,29699
1951,27736
1952,28417
1953,28412
1954,29158
1955,29099
1956,29981
1957,30560
1958,31645
1959,31761
1960,32543
1961,33313
1962,34318
1963,36850
1964,35171
1965,35317
1966,36010
1967,36216
1968,37668
1969,38994
1970,38723
1971,38981
1972,39375
1973,39958
1974,39464
1975,40061
1976,40216
1977,39824
1978,40682
1979,41632
1980,41340
1981,41893
1982,41454
1983,42224
1984,42581
1985,44372
1986,43560
1987,44959
1988,45354
1989,45173
1990,46021
1991,44923
1992,44731
1993,46597
1994,44071
1995,45190
1996,43860
1997,44595
1998,44112
1999,45170
2000,44002
2001,43981
2002,44465
2003,42478
2004,41200
2005,41232
2006,41253
2007,41954
2008,41712
2009,41449
2010,41499
2011,41393
2012,41992
2013,41282
2014,40394
2015,40727
2016,40726
2017,40774
2018,40840
2019,40684
2020,40611
2021,42002
2022,45774
