1946,241800
1947,258400
1948,267328
1949,280464
1950,288685
1951,312314
1952,286730
1953,266539
1954,276406
1955,261576
1956,249606
1957,269137
1958,241435
1959,252430
1960,224167
1961,227759
1962,239199
1963,231200
1964,237000
1965,233456
1966,233954
1967,249139
1968,245692
1969,264516
1970,268645
1971,285742
1972,267418
1973,279491
1974,279655
1975,299505
1976,306781
1977,315595
1978,328080
1979,325984
1980,353164
1981,331884
1982,337874
1983,352237
1984,367562
1985,383987
1986,378781
1987,380663
1988,373018
1989,383074
1990,390343
1991,405716
1992,394729
1993,392259
1994,386398
1995,386084
1996,385496
1997,380201
1998,375354
1999,381415
2000,368028
2001,363220
2002,359486
2003,365230
2004,363522
2005,368285
2006,369686
2007,377226
2008,379399
2009,384940
2010,378478
2011,375501
2012,384788
2013,387312
2014,376467
2015,394921
2016,388009
2017,402852
2018,414200
2019,409709
2020,477355
2021,519517
2022,448400
