;;Sex;
;;MF;
;;Age;
;;Total;
;;No. ;
2022;PT: Portugal;124311;
;1: Continente;118489;
2021;PT: Portugal;124841;
;1: Continente;119595;
2020;PT: Portugal;123396;
;1: Continente;118233;
2019;PT: Portugal;111843;
;1: Continente;106880;
2018;PT: Portugal;113051;
;1: Continente;108018;
2017;PT: Portugal;109758;
;1: Continente;104984;
2016;PT: Portugal;110573;
;1: Continente;105542;
2015;PT: Portugal;108539;
;1: Continente;103614;
2014;PT: Portugal;104843;
;1: Continente;99783;
2013;PT: Portugal;106554;
;1: Continente;101663;
2012;PT: Portugal;107612;
;1: Continente;102821;
2011;PT: Portugal;102848;
;1: Continente;97968;
