1900,110330
1901,114130
1902,108378
1903,111685
1904,105572
1905,112756
1906,125243
1907,113254
1908,115876
1909,112421
1910,113161
1911,130900
1912,119578
1913,123054
1914,115526
1915,122513
1916,129389
1917,134082
1918,248978
1919,152856
1920,142862
1921,126316
1922,125747
1923,141775
1924,126052
1925,117413
1926,127959
1927,123382
1928,124088
1929,118824
1930,116352
1931,115225
1932,118895
1933,120996
1934,118539
1935,123051
1936,119003
1937,117291
1938,115331
1939,116075
1940,120486
1941,134937
1942,126531
1943,121887
1944,119275
1945,115596
1946,120800
1947,110437
1948,107576
1949,117499
1950,102798
1951,105473
1952,100486
1953,97460
1954,95088
1955,99472
1956,106919
1957,101784
1958,91891
1959,97754
1960,95009
1961,99590
1962,96864
1963,98011
1964,96878
1965,95187
1966,100088
1967,95816
1968,94661
1969,101088
1970,92854
1971,98355
1972,90025
1973,95239
1974,96837
1975,97750
1976,101843
1977,95917
1978,96042
1979,92566
1980,94794
1981,95728
1982,92379
1983,96179
1984,96975
1985,97085
1986,95521
1987,95102
1988,97844
1989,95743
1990,102768
1991,103882
1992,100638
1993,105950
1994,99232
1995,103475
1996,106881
1997,104778
1998,106198
1999,107871
2000,105364
2001,105092
2002,106258
2003,108795
2004,102012
2005,107464
2006,101990
2007,103512
2008,104280
2009,104434
2010,105954
2011,102848
2012,107612
2013,106554
2014,104843
2015,108539
2016,110573
2017,109758
2018,113051
2019,111843
2020,123396
2021,124841
2022,124311
