6][7]
[8][9][10] 	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[fn 1][4][11][12][13]
1900 	5,410,000 	165,245 	110,330 	54,915 	30.5 	20.3 	10.2 	3.96
1901 	5,460,000 	170,773 	114,130 	56,643 	31.3 	20.9 	10.4 	4.07
1902 	5,490,000 	176,029 	108,378 	67,651 	32.0 	19.7 	12.4 	4.16
1903 	5,560,000 	183,138 	111,685 	71,453 	33.0 	20.1 	12.9 	4.29
1904 	5,600,000 	176,726 	105,572 	71,154 	31.6 	18.9 	12.7 	4.11
1905 	5,660,000 	179,746 	112,756 	66,990 	31.8 	20.0 	11.8 	4.13
1906 	5,690,000 	182,920 	125,243 	57,677 	32.1 	22.0 	10.1 	4.17
1907 	5,730,000 	176,417 	113,254 	63,163 	30.7 	19.7 	11.0 	3.99
1908 	5,790,000 	175,268 	115,876 	59,392 	30.3 	20.0 	10.2 	3.94
1909 	5,850,000 	174,753 	112,421 	62,332 	29.9 	19.2 	10.8 	3.89
1910 	5,890,000 	186,953 	113,161 	73,792 	31.7 	19.2 	12.5 	4.12
1911 	5,960,000 	230,033 	130,900 	99,133 	38.6 	22.0 	16.6 	5.02
1912 	5,960,000 	207,870 	119,578 	88,292 	34.9 	20.1 	14.8 	4.54
1913 	5,970,000 	193,906 	123,054 	70,852 	32.5 	20.6 	11.9 	4.22
1914 	5,980,000 	188,479 	115,526 	72,953 	31.5 	19.3 	12.0 	4.09
1915 	5,990,000 	195,225 	122,513 	72,712 	32.6 	20.5 	12.0 	4.24
1916 	6,000,000 	192,780 	129,389 	63,391 	32.1 	21.6 	10.7 	4.17
1917 	6,000,000 	188,391 	134,082 	54,309 	31.4 	22.3 	9.1 	4.08
1918 	6,020,000 	178,687 	248,978 	-70,291 	29.7 	41.4 	-11.6 	3.86
1919 	6,020,000 	166,162 	152,856 	13,306 	27.6 	25.4 	2.2 	3.59
1920 	6,040,000 	202,908 	142,862 	60,046 	33.6 	23.7 	9.9 	4.37
1921 	6,070,000 	197,022 	126,316 	70,706 	32.4 	20.8 	11.7 	4.21
1922 	6,170,000 	203,727 	125,747 	77,980 	33.1 	20.4 	12.6 	4.3
1923 	6,240,000 	207,172 	141,775 	65,397 	33.2 	22.7 	10.5 	4.32
1924 	6,310,000 	207,440 	126,052 	81,388 	32.8 	20.0 	12.8 	4.26
1925 	6,370,000 	208,434 	117,413 	91,021 	32.6 	18.4 	14.3 	4.24
1926 	6,470,000 	214,633 	127,959 	86,674 	33.5 	19.8 	13.4 	4.36
1927 	6,550,000 	199,399 	123,382 	76,017 	31.0 	18.8 	11.6 	4.03
1928 	6,620,000 	211,314 	124,088 	87,226 	31.9 	18.7 	13.2 	4.15
1929 	6,720,000 	200,874 	118,824 	82,050 	29.9 	17.7 	12.2 	3.89
1930 	6,804,000 	202,529 	116,352 	86,177 	29.7 	17.1 	12.7 	3.86
1931 	6,860,000 	204,120 	115,225 	88,895 	29.7 	16.8 	13.0 	3.86
1932 	6,968,000 	208,062 	118,895 	89,167 	29.9 	17.1 	12.8 	3.89
1933 	7,057,000 	204,315 	120,996 	83,319 	28.9 	17.2 	11.8 	3.88
1934 	7,147,000 	203,158 	118,539 	84,619 	28.4 	16.6 	11.8 	3.74
1935 	7,237,000 	203,943 	123,051 	80,892 	28.2 	17.0 	11.2 	3.59
1936 	7,326,000 	205,615 	119,003 	86,612 	28.1 	16.2 	11.8 	3.45
1937 	7,416,000 	198,217 	117,291 	80,926 	26.7 	15.8 	10.9 	3.39
1938 	7,506,000 	199,467 	115,331 	84,136 	26.6 	15.4 	11.2 	3.34
1939 	7,595,000 	198,888 	116,075 	82,813 	26.2 	15.3 	10.9 	3.28
1940 	7,696,000 	187,892 	120,486 	67,406 	24.4 	15.7 	8.8 	3.22
