Before WWI
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[29]
1900 	6,050,000 	235,000 	146,000 	89,000 	38.8 	24.2 	14.7 	5.20
1901 	6,120,000 	241,000 	160,000 	81,000 	39.3 	26.2 	13.2 	5.27
1902 	6,210,000 	242,000 	172,000 	70,000 	39.0 	27.7 	11.3 	5.23
1903 	6,290,000 	252,000 	156,000 	96,000 	40.1 	24.8 	15.3 	5.37
1904 	6,390,000 	256,000 	156,000 	100,000 	40.1 	24.4 	15.6 	5.37
1905 	6,480,000 	248,000 	160,000 	88,000 	38.3 	24.7 	13.6 	5.13
1906 	6,570,000 	262,000 	157,000 	105,000 	39.9 	23.9 	16.0 	5.35
1907 	6,680,000 	274,000 	176,000 	98,000 	41.1 	26.3 	14.8 	5.51
1908 	6,770,000 	273,000 	185,000 	88,000 	40.3 	27.4 	13 	5.40
1909 	6,860,000 	282,000 	188,000 	94,000 	41.1 	27.4 	13.7 	5.51
1910 	6,970,000 	274,000 	173,000 	101,000 	39.3 	24.8 	14.5 	5.27
1911 	7,090,000 	300,000 	179,000 	121,000 	42.3 	25.3 	17.1 	5.67
1912 	7,240,000 	314,000 	166,000 	148,000 	43.4 	22.9 	20.4 	5.82
1913 	7,360,000 	310,000 	192,000 	118,000 	42.1 	26.1 	16.0 	5.64
1914 	7,770,000 	327,000 	183,000 	144,000 	42.1 	23.5 	18.5 	5.64
1915 	7,910,000 	320,000 	194,000 	126,000 	40.5 	24.5 	15.9 	5.43

Between WWI and WWII
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[29]
1919 	15,920,000 	366,000 	328,000 	38,000 	23.0 	20.6 	2.4 	3.08
1920 	16,010,000 	539,000 	415,000 	124,000 	33.7 	25.9 	7.7 	4.52
1921 	16,240,000 	620,000 	372,000 	248,000 	38.2 	22.9 	15.3 	5.12
1922 	16,500,000 	614,000 	376,000 	238,000 	37.2 	22.8 	14.4 	4.98
1923 	16,770,000 	609,000 	372,000 	237,000 	36.4 	22.1 	14.4 	4.88
1924 	16,990,000 	623,000 	383,000 	240,000 	36.7 	22.5 	14.1 	4.92
1925 	17,190,000 	606,000 	362,000 	244,000 	35.2 	21.1 	14.1 	4.72
1926 	17,460,000 	608,000 	373,000 	235,000 	34.8 	21.4 	13.4 	4.66
1927 	17,690,000 	603,000 	393,000 	210,000 	34.1 	22.2 	11.9 	4.57
1928 	17,970,000 	624,000 	352,000 	272,000 	34.7 	19.6 	15.1 	4.65
1929 	17,640,000 	601,000 	378,000 	223,000 	34.1 	21.4 	12.6 	4.57
1930 	17,870,000 	625,000 	347,000 	278,000 	35.0 	19.4 	15.6 	4.69
1931 	18,190,000 	605,000 	379,000 	226,000 	33.3 	20.8 	12.4 	4.46
1932 	18,427,000 	662,000 	399,000 	263,000 	35.9 	21.7 	14.3 	4.81
1933 	18,653,000 	598,000 	348,000 	250,000 	32.1 	18.7 	13.4 	4.30
1934 	18,914,000 	612,416 	390,668 	221,748 	32.4 	20.7 	11.7 	4.34
1935 	19,088,000 	585,503 	402,720 	182,783 	30.7 	21.1 	9.6 	4.11
1936 	19,319,000 	608,906 	382,179 	226,727 	31.5 	19.8 	11.7 	4.22
1937 	19,535,000 	601,310 	377,954 	223,356 	30.8 	19.3 	11.4 	4.13
1938 	19,750,000 	585,423 	379,445 	205,978 	29.6 	19.2 	10.4 	3.97
1939 	19,934,000 	563,817 	370,348 	193,469 	28.3 	18.6 	9.7 	3.79

After WWII
	
Main sources:[30][29][31][32]

Source: National Institute of Statistics[33]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[fn 1]
1946 	15,760,000 	391,273 	296,439 	94,834 	24.8 	18.8 	6.0 	3.32
1947 	15,860,000 	370,562 	349,331 	21,231 	23.4 	22.0 	1.3 	3.14
1948 	15,893,000 	379,868 	248,238 	131,630 	23.9 	15.6 	8.3 	3.20
1949 	16,084,000 	444,065 	219,881 	224,184 	27.6 	13.7 	13.9 	3.70
1950 	16,311,000 	426,820 	202,010 	224,810 	26.2 	12.4 	13.8 	3.14
1951 	16,464,000 	412,534 	210,021 	202,513 	25.1 	12.8 	12.3 	3.01
1952 	16,630,000 	413,217 	195,287 	217,930 	24.8 	11.7 	13.1 	2.97
1953 	16,847,000 	401,717 	194,752 	206,965 	23.8 	11.6 	12.3 	2.76
1954 	17,040,000 	422,346 	195,091 	227,255 	24.8 	11.4 	13.3 	2.98
1955 	17,325,000 	442,864 	167,535 	275,329 	25.6 	9.7 	15.9 	3.07
1956 	17,583,000 	425,704 	174,847 	250,857 	24.2 	9.9 	14.3 	2.89
1957 	17,829,000 	407,819 	181,923 	225,896 	22.9 	10.2 	12.7 	2.73
1958 	18,056,000 	390,500 	156,493 	234,007 	21.6 	8.7 	13.0 	2.58
1959 	18,226,000 	368,007 	186,767 	181,240 	20.2 	10.2 	9.9 	2.43
1960 	18,403,414 	352,241 	160,720 	191,521 	19.1 	8.7 	10.4 	2.33
1961 	18,566,932 	324,859 	161,936 	162,923 	17.5 	8.7 	8.8 	2.17
1962 	18,680,721 	301,985 	172,429 	129,556 	16.2 	9.2 	6.9 	2.04
1963 	18,813,131 	294,886 	155,767 	139,119 	15.7 	8.3 	7.4 	2.01
1964 	18,927,081 	287,383 	152,476 	134,907 	15.2 	8.1 	7.1 	1.96
1965 	19,027,367 	278,362 	163,393 	114,969 	14.6 	8.6 	6.0 	1.91
1966 	19,140,783 	273,678 	157,445 	116,233 	14.3 	8.2 	6.1 	1.90
1967 	19,284,814 	527,764 	179,129 	348,635 	27.4 	9.3 	18.1 	3.66
1968 	19,720,984 	526,091 	188,509 	337,582 	26.7 	9.6 	17.1 	3.63
1969 	20,010,178 	465,764 	201,225 	264,539 	23.3 	10.1 	13.2 	3.19
1970 	20,252,541 	427,034 	193,255 	233,779 	21.1 	9.5 	11.5 	2.89
1971 	20,469,658 	400,146 	194,306 	205,840 	19.5 	9.5 	10.1 	2.66
1972 	20,662,648 	389,153 	189,793 	199,360 	18.8 	9.2 	9.6 	2.55
1973 	20,827,525 	378,696 	203,559 	175,137 	18.2 	9.8 	8.4 	2.44
1974 	21,028,841 	427,732 	191,286 	236,446 	20.3 	9.1 	11.2 	2.72
1975 	21,245,103 	418,185 	197,538 	220,647 	19.7 	9.3 	10.4 	2.62
1976 	21,445,698 	417,353 	204,873 	212,480 	19.5 	9.6 	9.9 	2.58
1977 	21,657,569 	423,958 	208,685 	215,273 	19.6 	9.6 	9.9 	2.60
1978 	21,854,622 	416,598 	211,846 	204,752 	19.1 	9.7 	9.4 	2.54
1979 	22,048,305 	410,603 	217,509 	193,094 	18.6 	9.9 	8.8 	2.50
1980 	22,201,387 	398,904 	231,876 	167,028 	18.0 	10.4 	7.5 	2.45
1981 	22,352,635 	381,101 	224,635 	156,466 	17.0 	10.0 	7.0 	2.37
1982 	22,477,703 	344,369 	224,120 	120,249 	15.3 	10.0 	5.3 	2.17
1983 	22,553,074 	321,498 	233,892 	87,606 	14.3 	10.4 	3.9 	2.00
1984 	22,624,505 	350,741 	233,699 	117,042 	15.5 	10.3 	5.2 	2.19
1985 	22,724,836 	358,797 	246,670 	112,127 	15.8 	10.9 	4.9 	2.26
1986 	22,823,479 	376,896 	242,330 	134,566 	16.5 	10.6 	5.9 	2.39
1987 	22,940,430 	383,199 	254,286 	128,913 	16.7 	11.1 	5.6 	2.42
