IDIndikator;Indikator;God+Mes;nVrTacka;IDTer;nTer;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
180304IND04;Deaths;196100;1961;RS;REPUBLIC OF SERBIA;69749;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196200;1962;RS;REPUBLIC OF SERBIA;77854;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196300;1963;RS;REPUBLIC OF SERBIA;70201;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196400;1964;RS;REPUBLIC OF SERBIA;74831;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196500;1965;RS;REPUBLIC OF SERBIA;70623;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196600;1966;RS;REPUBLIC OF SERBIA;65737;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196700;1967;RS;REPUBLIC OF SERBIA;74223;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196800;1968;RS;REPUBLIC OF SERBIA;71713;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;196900;1969;RS;REPUBLIC OF SERBIA;79044;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197000;1970;RS;REPUBLIC OF SERBIA;78040;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197100;1971;RS;REPUBLIC OF SERBIA;76184;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197200;1972;RS;REPUBLIC OF SERBIA;81092;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197300;1973;RS;REPUBLIC OF SERBIA;77510;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197400;1974;RS;REPUBLIC OF SERBIA;76532;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197500;1975;RS;REPUBLIC OF SERBIA;79608;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197600;1976;RS;REPUBLIC OF SERBIA;78714;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197700;1977;RS;REPUBLIC OF SERBIA;78735;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197800;1978;RS;REPUBLIC OF SERBIA;81762;A;Normal value;F;Free (free for publication);NR;number
180304IND04;Deaths;197900;1979;RS;REPUBLIC OF SERBIA;81881;A;Normal value;F;Free (free for publication);NR;number
