Source: Statistical Office of the Republic of Serbia[5][6][7][8][9] Data for Serbia excluding Kosovo.
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Female fertile population (15–49 years)
1950 	5,969,977 	163,297 	76,851 	86,446 	27.4 	12.9 	14.5 	3.11 	1,667,489
1951 	6,045,982 	145,197 	80,034 	65,163 	24.0 	13.2 	10.8 	2.70 	1,679,515
1952 	6,106,976 	161,306 	67,870 	93,436 	26.4 	11.1 	15.3 	2.94 	1,691,530
1953 	6,186,015 	151,672 	68,168 	83,504 	24.5 	11.0 	13.5 	2.69 	1,703,548
1954 	6,271,014 	152,569 	62,610 	89,959 	24.3 	10.0 	14.3 	2.66 	1,714,614
1955 	6,369,436 	140,396 	65,179 	75,217 	22.0 	10.2 	11.8 	2.42 	1,725,685
1956 	6,422,999 	132,078 	67,105 	64,973 	20.6 	10.4 	10.1 	2.26 	1,736,751
1957 	6,481,984 	118,535 	61,885 	56,650 	18.3 	9.5 	8.7 	2.03 	1,739,485
1958 	6,535,020 	118,425 	55,564 	62,861 	18.1 	8.5 	9.6 	2.05 	1,742,115
1959 	6,587,014 	114,872 	60,850 	54,022 	17.4 	9.2 	8.2 	2.02 	1,739,287
1960 	6,638,992 	119,298 	61,872 	57,426 	18.0 	9.3 	8.6 	2.12 	1,733,296
1961 	6,689,077 	115,222 	57,990 	57,232 	17.2 	8.7 	8.6 	2.08 	1,727,303
1962 	6,740,264 	110,008 	62,830 	47,178 	16.3 	9.3 	7.0 	2.03 	1,735,235
1963 	6,787,950 	108,324 	57,778 	50,546 	16.0 	8.5 	7.4 	2.02 	1,750,899
1964 	6,832,855 	103,847 	62,100 	41,747 	15.2 	9.1 	6.1 	1.96 	1,769,796
1965 	6,876,624 	106,699 	58,856 	47,843 	15.5 	8.6 	7.0 	2.02 	1,807,362
1966 	6,927,969 	103,775 	55,471 	48,304 	15.0 	8.0 	7.0 	1.98 	1,843,693
1967 	6,966,522 	103,491 	62,915 	40,576 	14.9 	9.0 	5.8 	1.96 	1,887,344
1968 	7,007,586 	103,621 	60,932 	42,689 	14.8 	8.7 	6.1 	1.95 	1,945,878
1969 	7,123,249 	105,478 	68,152 	37,326 	14.8 	9.6 	5.2 	1.93 	1,972,004
1970 	7,164,993 	102,453 	67,211 	35,242 	14.3 	9.4 	4.9 	1.81 	2,012,702
1971 	7,211,716 	104,070 	65,872 	38,198 	14.4 	9.1 	5.3 	1.83 	2,020,324
1972 	7,267,030 	106,859 	70,822 	36,037 	14.7 	9.7 	5.0 	1.83 	2,019,717
1973 	7,322,344 	108,361 	67,152 	41,209 	14.8 	9.2 	5.6 	1.84 	2,036,056
1974 	7,377,659 	110,458 	66,457 	44,001 	15.0 	9.0 	6.0 	1.86 	2,020,513
1975 	7,432,973 	112,945 	69,590 	43,355 	15.2 	9.4 	5.8 	1.88 	2,010,021
1976 	7,488,287 	114,035 	68,565 	45,470 	15.2 	9.2 	6.1 	1.89 	2,002,713
1977 	7,543,601 	111,510 	68,924 	42,586 	14.8 	9.1 	5.6 	1.86 	1,994,191
1978 	7,598,916 	110,622 	71,986 	38,636 	14.6 	9.5 	5.1 	1.86 	1,974,022
1979 	7,654,230 	109,953 	72,306 	37,647 	14.4 	9.4 	4.9 	1.87 	1,986,006
1980 	7,709,544 	109,597 	76,180 	33,417 	14.2 	9.9 	4.3 	1.86 	1,997,988
1981 	7,736,787 	103,407 	78,086 	25,321 	13.4 	10.1 	3.3 	1.76 	1,977,061
1982 	7,763,335 	106,575 	78,473 	28,102 	13.7 	10.1 	3.6 	1.84 	1,947,609
