1946,47589
1947,41491
1948,40873
1949,41727
1950,39668
1951,40505
1952,36897
1953,35598
1954,34866
1955,32917
1956,32815
1957,35755
1958,32106
1959,34077
1960,31609
1961,31403
1962,34398
1963,32978
1964,32875
1965,35910
1966,36357
1967,35458
1968,38076
1969,40623
1970,42240
1971,42856
1972,41410
1973,43759
1974,44934
1975,45248
1976,45420
1977,47181
1978,47778
1979,47837
1980,50579
1981,49632
1982,50393
1983,52433
1984,51739
1985,52464
1986,53233
1987,52980
1988,52475
1989,53902
1990,54619
1991,54618
1992,53423
1993,52707
1994,51386
1995,52686
1996,51236
1997,52124
1998,53156
1999,52402
2000,52724
2001,51980
2002,51532
2003,52230
2004,51852
2005,53475
2006,53301
2007,53856
2008,53164
2009,52913
2010,53445
2011,51903
2012,52437
2013,52089
2014,51346
2015,53826
2016,52351
2017,53914
2018,54293
2019,53234
2020,59089
2021,73461
2022,59583
