Source: Statistical Office of the Republic of Slovenia[18]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rate 	Female fertile population (15–49 years)
1950 	1,466,881 	35,156 	17,335 	17,821 	24.0 	11.8 	12.1 	3.01 	408,581
1951 	1,480,245 	34,020 	18,497 	15,523 	23.0 	12.5 	10.5 	2.90 	404,031
1952 	1,493,550 	33,444 	15,617 	17,827 	22.4 	10.5 	11.9 	2.86 	399,484
1953 	1,508,428 	33,754 	14,948 	18,806 	22.4 	9.9 	12.5 	2.86 	394,935
1954 	1,521,485 	31,828 	14,897 	16,931 	20.9 	9.8 	11.1 	2.64 	399,380
1955 	1,533,998 	32,096 	15,109 	16,987 	20.9 	9.8 	11.1 	2.61 	403,825
1956 	1,545,591 	31,466 	16,351 	15,115 	20.4 	10.6 	9.8 	2.52 	408,271
1957 	1,556,521 	30,086 	14,545 	15,541 	19.3 	9.3 	10.0 	2.41 	405,284
1958 	1,566,979 	28,283 	14,082 	14,201 	18.0 	9.0 	9.1 	2.22 	409,354
1959 	1,576,204 	28,432 	15,357 	13,075 	18.0 	9.7 	8.3 	2.23 	409,202
1960 	1,580,145 	27,825 	15,145 	12,680 	17.6 	9.6 	8.0 	2.20 	405,210
1961 	1,595,450 	28,955 	14,013 	14,942 	18.1 	8.8 	9.4 	2.33 	401,219
1962 	1,604,980 	29,035 	15,866 	13,169 	18.1 	9.9 	8.2 	2.28 	410,687
1963 	1,614,414 	29,174 	15,102 	14,072 	18.1 	9.4 	8.7 	2.27 	410,442
1964 	1,630,553 	29,184 	16,729 	12,455 	17.9 	10.3 	7.6 	2.30 	404,812
1965 	1,650,413 	30,587 	15,987 	14,600 	18.5 	9.7 	8.8 	2.43 	413,598
1966 	1,669,606 	30,941 	15,248 	15,693 	18.5 	9.1 	9.4 	2.47 	421,820
1967 	1,690,939 	29,824 	16,353 	13,471 	17.6 	9.7 	8.0 	2.37 	431,579
1968 	1,703,708 	28,580 	17,446 	11,134 	16.8 	10.2 	6.5 	2.25 	444,518
1969 	1,714,022 	27,883 	18,564 	9,319 	16.3 	10.8 	5.4 	2.18 	447,334
1970 	1,726,513 	27,432 	17,354 	10,078 	15.9 	10.1 	5.8 	2.11 	448,739
1971 	1,738,101 	28,278 	17,425 	10,853 	16.3 	10.0 	6.2 	2.17 	451,193
1972 	1,751,506 	28,713 	18,153 	10,560 	16.4 	10.4 	6.0 	2.16 	447,843
1973 	1,766,125 	29,548 	17,614 	11,934 	16.7 	10.0 	6.8 	2.21 	453,882
1974 	1,782,470 	28,625 	17,206 	11,419 	16.1 	9.7 	6.4 	2.12 	454,814
1975 	1,800,022 	29,786 	18,180 	11,606 	16.5 	10.1 	6.4 	2.18 	460,560
1976 	1,819,276 	30,339 	18,157 	12,182 	16.7 	10.0 	6.7 	2.19 	458,903
1977 	1,839,358 	29,904 	17,633 	12,271 	16.3 	9.6 	6.7 	2.16 	457,783
1978 	1,862,620 	30,354 	18,357 	11,997 	16.3 	9.9 	6.4 	2.20 	452,406
1979 	1,882,304 	30,604 	18,148 	12,456 	16.3 	9.6 	6.6 	2.19 	459,736
1980 	1,901,208 	29,902 	18,820 	11,082 	15.7 	9.9 	5.8 	2.11 	467,064
1981 	1,917,469 	29,220 	18,733 	10,487 	15.2 	9.8 	5.5 	1.97 	476,888
1982 	1,924,877 	28,894 	19,647 	9,247 	15.0 	10.2 	4.8 	1.93 	481,591
