"Year","Deaths - Total","Deaths in January","Deaths in February","Deaths in March","Deaths in April","Deaths in May","Deaths in June","Deaths in July","Deaths in August","Deaths in September","Deaths in October","Deaths in November","Deaths in December"
"1803",40420,...,...,...,...,...,...,...,...,...,...,...,...
"1804",45780,...,...,...,...,...,...,...,...,...,...,...,...
"1805",47690,...,...,...,...,...,...,...,...,...,...,...,...
"1806",46620,...,...,...,...,...,...,...,...,...,...,...,...
"1807",47920,...,...,...,...,...,...,...,...,...,...,...,...
"1808",42300,...,...,...,...,...,...,...,...,...,...,...,...
"1809",40400,...,...,...,...,...,...,...,...,...,...,...,...
"1810",44670,...,...,...,...,...,...,...,...,...,...,...,...
"1811",52000,...,...,...,...,...,...,...,...,...,...,...,...
"1812",45030,...,...,...,...,...,...,...,...,...,...,...,...
"1813",45350,...,...,...,...,...,...,...,...,...,...,...,...
"1814",51100,...,...,...,...,...,...,...,...,...,...,...,...
"1815",41400,...,...,...,...,...,...,...,...,...,...,...,...
"1816",44400,...,...,...,...,...,...,...,...,...,...,...,...
"1817",62570,...,...,...,...,...,...,...,...,...,...,...,...
"1818",51380,...,...,...,...,...,...,...,...,...,...,...,...
"1819",47080,...,...,...,...,...,...,...,...,...,...,...,...
"1820",41140,...,...,...,...,...,...,...,...,...,...,...,...
"1821",39400,...,...,...,...,...,...,...,...,...,...,...,...
"1822",39600,...,...,...,...,...,...,...,...,...,...,...,...
"1823",40570,...,...,...,...,...,...,...,...,...,...,...,...
"1824",41510,...,...,...,...,...,...,...,...,...,...,...,...
"1825",43010,...,...,...,...,...,...,...,...,...,...,...,...
"1826",43930,...,...,...,...,...,...,...,...,...,...,...,...
"1827",39620,...,...,...,...,...,...,...,...,...,...,...,...
"1828",44010,...,...,...,...,...,...,...,...,...,...,...,...
"1829",47370,...,...,...,...,...,...,...,...,...,...,...,...
"1830",44600,...,...,...,...,...,...,...,...,...,...,...,...
"1831",43910,...,...,...,...,...,...,...,...,...,...,...,...
"1832",47320,...,...,...,...,...,...,...,...,...,...,...,...
"1833",48820,...,...,...,...,...,...,...,...,...,...,...,...
"1834",52320,...,...,...,...,...,...,...,...,...,...,...,...
"1835",47940,...,...,...,...,...,...,...,...,...,...,...,...
"1836",49630,...,...,...,...,...,...,...,...,...,...,...,...
"1837",55320,...,...,...,...,...,...,...,...,...,...,...,...
"1838",54530,...,...,...,...,...,...,...,...,...,...,...,...
"1839",52300,...,...,...,...,...,...,...,...,...,...,...,...
"1840",52380,...,...,...,...,...,...,...,...,...,...,...,...
"1841",50830,...,...,...,...,...,...,...,...,...,...,...,...
"1842",52550,...,...,...,...,...,...,...,...,...,...,...,...
"1843",52180,...,...,...,...,...,...,...,...,...,...,...,...
"1844",53670,...,...,...,...,...,...,...,...,...,...,...,...
"1845",50400,...,...,...,...,...,...,...,...,...,...,...,...
"1846",52400,...,...,...,...,...,...,...,...,...,...,...,...
"1847",52550,...,...,...,...,...,...,...,...,...,...,...,...
"1848",50660,...,...,...,...,...,...,...,...,...,...,...,...
"1849",50480,...,...,...,...,...,...,...,...,...,...,...,...
"1850",52590,...,...,...,...,...,...,...,...,...,...,...,...
"1851",54280,...,...,...,...,...,...,...,...,...,...,...,...
"1852",53800,...,...,...,...,...,...,...,...,...,...,...,...
"1853",55550,...,...,...,...,...,...,...,...,...,...,...,...
"1854",55630,...,...,...,...,...,...,...,...,...,...,...,...
"1855",58020,...,...,...,...,...,...,...,...,...,...,...,...
"1856",51930,...,...,...,...,...,...,...,...,...,...,...,...
"1857",52600,...,...,...,...,...,...,...,...,...,...,...,...
"1858",55470,...,...,...,...,...,...,...,...,...,...,...,...
"1859",55930,...,...,...,...,...,...,...,...,...,...,...,...
"1860",50910,...,...,...,...,...,...,...,...,...,...,...,...
"1861",57520,...,...,...,...,...,...,...,...,...,...,...,...
"1862",51070,...,...,...,...,...,...,...,...,...,...,...,...
"1863",54360,...,...,...,...,...,...,...,...,...,...,...,...
"1864",59500,...,...,...,...,...,...,...,...,...,...,...,...
"1865",59090,...,...,...,...,...,...,...,...,...,...,...,...
"1866",56680,...,...,...,...,...,...,...,...,...,...,...,...
"1867",59116,...,...,...,...,...,...,...,...,...,...,...,...
"1868",58730,...,...,...,...,...,...,...,...,...,...,...,...
"1869",63617,...,...,...,...,...,...,...,...,...,...,...,...
"1870",68751,...,...,...,...,...,...,...,...,...,...,...,...
"1871",74002,...,...,...,...,...,...,...,...,...,...,...,...
"1872",59758,...,...,...,...,...,...,...,...,...,...,...,...
"1873",61676,...,...,...,...,...,...,...,...,...,...,...,...
"1874",60845,...,...,...,...,...,...,...,...,...,...,...,...
"1875",66113,...,...,...,...,...,...,...,...,...,...,...,...
"1876",66819,...,...,...,...,...,...,...,...,...,...,...,...
"1877",65353,6041,5806,6660,5903,5941,5311,5154,5150,4631,4806,4599,5351
"1878",65311,5784,5400,6271,6437,5734,5100,5261,5437,4842,4482,5034,5529
"1879",63651,5565,5254,6044,5803,6032,5169,4836,4748,4941,4621,4568,6070
"1880",62223,6469,6095,6248,5923,5275,4757,4621,4615,4455,4230,4621,4914
"1881",63979,6328,5698,6377,5830,5815,5092,4982,5294,4459,4532,4389,5183
"1882",62849,6082,6238,6955,6322,5746,4900,4516,4309,4142,4028,4474,5137
"1883",58733,5343,5126,6382,5883,5563,4559,4545,4135,3950,4113,4157,4977
"1884",58301,5211,4973,5679,5554,5204,4677,4676,4625,4020,4196,4396,5090
"1885",61548,6184,5640,6323,5999,5564,4721,4814,4672,4084,4236,4351,4960
"1886",60061,5873,5288,6401,5714,5514,4628,4481,4141,4178,4416,4230,5197
"1887",58939,5460,5449,6221,5872,5264,4403,4481,4503,4211,4187,4181,4707
"1888",58229,5570,5471,6100,5865,5189,4460,4230,4001,3746,4265,4303,5029
"1889",59715,5735,5258,6059,6178,5143,4459,4633,4329,4174,4256,4124,5367
"1890",61805,9257,5475,6211,5577,5079,4655,4208,4273,3829,3930,4168,5143
"1891",61183,5955,5517,6702,6568,5686,4836,4323,4294,4045,4141,4486,4630
"1892",57178,5065,5230,6443,5597,5286,4186,4245,4236,3987,4044,3905,4954
"1893",61059,5998,4982,5596,6109,6165,5071,4590,4393,3935,4139,4382,5699
"1894",61885,9093,5988,6172,5591,5081,4566,4269,4262,3933,4003,3967,4960
"1895",59747,5639,6438,6819,5421,5025,4419,4302,4459,4387,4358,4072,4408
"1896",56096,4944,5081,5433,5491,5102,4552,4351,4186,3694,3986,4363,4913
"1897",56399,5467,4965,5679,5205,4940,4491,4510,4606,3953,4041,4037,4505
"1898",58914,5131,5200,6431,5799,4973,4374,4342,4414,5034,4584,4116,4516
"1899",57591,5017,4857,5917,5778,5062,4539,4338,4431,4341,4040,4100,5171
"1900",63606,5283,6780,7610,6032,5437,4714,4892,4602,4292,4531,4442,4991
"1901",60018,5674,5463,6299,5997,5328,4699,4437,4431,4038,4206,4408,5038
"1902",57702,5146,4852,5495,5246,5292,4766,4474,4346,4272,4316,4553,4944
"1903",59626,5957,5719,5966,5665,5394,4514,4336,4231,4398,4349,4301,4796
"1904",60857,5592,5261,6259,5817,5077,4553,4993,5173,4268,4264,4400,5200
"1905",61800,6112,6024,6735,5813,5313,4604,4668,4502,4108,4533,4598,4790
"1906",59204,5531,4906,5564,5806,5310,4660,4419,4810,4610,4176,4367,5045
"1907",59252,5441,6039,6627,5958,5278,4431,4277,4257,3919,4175,4208,4642
"1908",57697,5333,5244,5903,5711,5117,4549,4188,4148,3883,4287,4428,4906
"1909",59416,5485,5463,6847,6102,5315,4372,4320,4139,4035,4153,4456,4729
"1910",56498,5061,4870,5344,5461,5636,4611,4268,4151,3994,4045,4260,4797
"1911",59619,6126,5914,5942,5445,4883,4090,4484,4901,4945,4390,4033,4466
"1912",54102,4757,4811,5279,5212,4768,4146,4061,3820,4085,4113,4185,4865
"1913",55427,5076,5247,6314,5486,4833,4154,4267,4009,3634,3996,3921,4490
"1914",53629,5508,5008,5303,5073,4615,4345,4058,3769,3621,3774,3802,4753
"1915",51524,5924,4696,5404,5126,4356,3756,3636,3559,3283,3687,3985,4112
"1916",50623,4427,5010,5699,4874,4286,3890,3637,3555,3436,3633,3709,4467
"1917",53306,4782,5676,5769,5531,4705,3855,3727,3329,3236,3832,4039,4825
"1918",75034,5080,4595,5244,4889,4331,4118,6303,6195,4533,10264,10766,8716
"1919",54932,5599,5324,5404,5451,4976,4166,3851,3674,3370,4043,4465,4609
"1920",55992,5281,7057,6618,4948,4532,3944,3837,3657,3611,3538,4359,4610
"1921",49518,4787,4569,5223,4579,4268,3686,3653,3537,3153,3504,4085,4474
"1922",50292,5239,5581,5184,4466,4352,3563,3496,3387,3271,3527,3835,4391
"1923",45983,4505,4039,4591,4170,3983,3547,3620,3419,3184,3358,3639,3928
"1924",48988,4521,4887,5481,4523,4150,3685,3719,3426,3212,3446,3698,4240
"1925",47877,4328,4206,4893,4727,4185,3635,3568,3352,3339,3590,3572,4482
"1926",46452,4360,3977,4429,4110,4026,3765,3631,3436,3138,3587,3561,4432
"1927",49202,6855,4540,4659,4257,4053,3428,3402,3303,3223,3591,3601,4290
"1928",48063,4616,4197,4671,4605,4088,3799,3798,3539,3257,3631,3699,4163
"1929",50438,4902,5390,6069,4585,4351,3614,3626,3323,3196,3491,3719,4172
