Data according to Statistik Schweiz, United Nations, Our World in Data and Gapminder Foundation.[18][19][14]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates
1900 	3,300,000 	94,316 	63,606 	30,710 	28.6 	19.3 	9.3 	3.83
1901 	3,341,000 	97,028 	60,018 	37,010 	29.0 	18.0 	11.1 	3.89
1902 	3,384,000 	96,480 	57,702 	38,778 	28.5 	17.1 	11.5 	3.82
1903 	3,428,000 	93,824 	59,626 	34,198 	27.4 	17.4 	10.0 	3.67
1904 	3,472,000 	94,867 	60,857 	34,010 	27.3 	17.5 	9.8 	3.66
1905 	3,516,000 	94,653 	61,800 	32,853 	26.9 	17.6 	9.3 	3.6
1906 	3,560,000 	95,595 	59,204 	36,391 	26.9 	16.6 	10.2 	3.6
1907 	3,604,000 	94,508 	59,252 	35,256 	26.2 	16.4 	9.8 	3.51
1908 	3,647,000 	96,245 	57,697 	38,548 	26.4 	15.8 	10.6 	3.54
1909 	3,691,000 	94,112 	59,416 	34,696 	25.5 	16.1 	9.4 	3.42
1910 	3,735,000 	93,514 	56,498 	37,016 	25.0 	15.1 	9.9 	3.1
1911 	3,776,000 	91,320 	59,619 	31,701 	24.2 	15.8 	8.4 	3.07
1912 	3,819,000 	92,196 	54,102 	38,094 	24.1 	14.2 	10.0 	3.04
1913 	3,864,000 	89,757 	55,427 	34,330 	23.2 	14.3 	8.9 	3.01
1914 	3,897,000 	87,330 	53,629 	33,701 	22.4 	13.8 	8.6 	3
1915 	3,883,000 	75,545 	51,524 	24,021 	19.5 	13.3 	6.2 	2.61
1916 	3,883,000 	73,660 	50,623 	23,037 	19.0 	13.0 	5.9 	2.53
1917 	3,888,000 	72,065 	53,306 	18,759 	18.5 	13.7 	4.8 	2.48
1918 	3,880,000 	72,658 	75,034 	-2,376 	18.7 	19.3 	-0.6 	2.47
1919 	3,869,000 	72,125 	54,932 	17,193 	18.6 	14.2 	4.4 	2.49
1920 	3,877,000 	81,190 	55,992 	25,198 	20.9 	14.4 	6.5 	2.34
1921 	3,876,000 	80,808 	49,518 	31,290 	20.8 	12.8 	8.1 	2.37
1922 	3,874,000 	76,290 	50,292 	25,998 	19.7 	13.0 	6.7 	2.4
