"Deaths by sex, month and year"

"sex","month","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"men","January",4699,3981,4084,4484,4217,3966,4074,4083,4070,4462,4129,4155,4078,4236,3969,4076,4163,4407,4303,4199,4107,5159,4525
"men","February",4003,3586,3627,3634,3492,3820,3628,3765,3587,3793,3547,3547,3989,3738,3596,3944,3776,3781,4023,3698,3749,3848,4229
"men","March",3964,4009,4311,4048,3773,4554,3957,4072,4069,3830,3902,3860,4090,4024,3737,4165,3962,4006,4508,3833,4274,3980,4064
"men","April",3602,3835,4001,3797,3554,3882,3673,3723,3727,3482,3623,3683,3701,3859,3417,3785,3675,3770,3825,3607,5379,3736,3741
"men","May",3696,3865,3617,3603,3533,3698,3494,3509,3514,3533,3459,3510,3618,3442,3620,3625,3520,3726,3506,3478,4493,3761,3633
"men","June",3486,3569,3394,3336,3400,3456,3428,3359,3427,3327,3383,3257,3357,3352,3366,3349,3325,3369,3269,3283,3790,3281,3512
"men","July",3645,3685,3624,3596,3444,3505,3497,3454,3600,3356,3510,3491,3496,3369,3573,3491,3525,3372,3721,3430,3553,3504,3641
"men","August",3453,3478,3638,3491,3551,3436,3471,3318,3400,3358,3396,3446,3422,3366,3621,3395,3451,3435,3455,3459,3456,3462,3717
"men","September",3523,3575,3434,3530,3447,3430,3512,3497,3411,3302,3500,3415,3297,3348,3427,3511,3410,3396,3446,3502,3335,3634,3663
"men","October",3717,3691,3882,3740,3639,3512,3677,3594,3618,3658,3605,3672,3640,3629,3713,3601,3726,3724,3717,3817,3727,3816,3854
"men","November",3628,3769,3675,3629,3646,3467,3715,3533,3578,3618,3617,3512,3546,3472,3517,3612,3679,3697,3547,3633,4168,3865,3822
"men","December",3981,4080,4208,4139,3968,3904,3933,3961,3970,3888,4202,4005,4038,3813,3808,3863,4079,4031,3923,3899,5156,4216,4892
"men","Unknown",278,308,285,311,250,158,118,102,89,85,27,41,13,12,18,68,130,142,173,188,194,222,209
"women","January",5123,4293,4387,4833,4491,4251,4343,4348,4293,4933,4423,4479,4354,4553,4134,4589,4526,4875,4500,4173,4241,5021,4662
"women","February",4178,3885,3820,3975,3871,4048,3730,3921,3964,4119,3766,3723,4395,4194,3811,4148,4035,4244,4314,3789,3792,3710,3998
"women","March",4109,4304,4699,4256,4087,4779,4220,4664,4297,4193,4162,4279,4663,4541,3951,4501,4201,4242,4929,3958,4283,3829,3988
"women","April",3904,4135,4147,3902,3695,4086,3714,4069,4115,3871,3882,3832,4006,4049,3795,3946,3870,3961,3972,3766,5176,3580,3572
"women","May",3797,4035,3952,3668,3893,3732,3895,3742,3889,3813,3843,3796,3834,3754,3767,3726,3614,3762,3447,3669,4428,3504,3690
"women","June",3546,3902,3660,3543,3576,3686,3728,3700,3645,3487,3471,3452,3433,3484,3450,3497,3378,3468,3394,3351,3650,3328,3521
"women","July",3816,3958,3907,3860,3726,3681,3887,3747,3734,3566,3744,3699,3676,3562,3810,3629,3706,3555,3747,3514,3527,3517,3725
"women","August",3803,3842,3972,3775,3657,3676,3845,3684,3639,3434,3614,3573,3648,3568,3574,3419,3706,3561,3516,3572,3512,3573,3851
"women","September",3686,3707,3747,3692,3552,3462,3674,3681,3711,3405,3582,3686,3640,3494,3563,3495,3461,3517,3506,3353,3437,3527,3724
"women","October",3720,3892,4188,3901,3855,3635,3863,3909,3761,3777,3849,3940,3844,3649,3740,3638,3758,3863,3723,3719,3554,3725,3739
"women","November",3821,3936,4045,3758,3789,3676,3907,3943,3865,3768,3833,3679,3750,3766,3735,3731,3871,3785,3555,3805,4052,3767,3796
"women","December",4178,4321,4589,4356,4330,4162,4153,4315,4453,3987,4400,4195,4401,4120,4260,4080,4379,4228,4091,3997,5031,4326,4903
"women","Unknown",105,111,116,104,96,48,41,36,23,35,18,11,9,8,4,23,56,55,75,74,60,67,66
"total","January",9822,8274,8471,9317,8708,8217,8417,8431,8363,9395,8552,8634,8432,8789,8103,8665,8689,9282,8803,8372,8348,10180,9187
"total","February",8181,7471,7447,7609,7363,7868,7358,7686,7551,7912,7313,7270,8384,7932,7407,8092,7811,8025,8337,7487,7541,7558,8227
"total","March",8073,8313,9010,8304,7860,9333,8177,8736,8366,8023,8064,8139,8753,8565,7688,8666,8163,8248,9437,7791,8557,7809,8052
"total","April",7506,7970,8148,7699,7249,7968,7387,7792,7842,7353,7505,7515,7707,7908,7212,7731,7545,7731,7797,7373,10555,7316,7313
"total","May",7493,7900,7569,7271,7426,7430,7389,7251,7403,7346,7302,7306,7452,7196,7387,7351,7134,7488,6953,7147,8921,7265,7323
"total","June",7032,7471,7054,6879,6976,7142,7156,7059,7072,6814,6854,6709,6790,6836,6816,6846,6703,6837,6663,6634,7440,6609,7033
"total","July",7461,7643,7531,7456,7170,7186,7384,7201,7334,6922,7254,7190,7172,6931,7383,7120,7231,6927,7468,6944,7080,7021,7366
"total","August",7256,7320,7610,7266,7208,7112,7316,7002,7039,6792,7010,7019,7070,6934,7195,6814,7157,6996,6971,7031,6968,7035,7568
"total","September",7209,7282,7181,7222,6999,6892,7186,7178,7122,6707,7082,7101,6937,6842,6990,7006,6871,6913,6952,6855,6772,7161,7387
"total","October",7437,7583,8070,7641,7494,7147,7540,7503,7379,7435,7454,7612,7484,7278,7453,7239,7484,7587,7440,7536,7281,7541,7593
"total","November",7449,7705,7720,7387,7435,7143,7622,7476,7443,7386,7450,7191,7296,7238,7252,7343,7550,7482,7102,7438,8220,7632,7618
"total","December",8159,8401,8797,8495,8298,8066,8086,8276,8423,7875,8602,8200,8439,7933,8068,7943,8458,8259,8014,7896,10187,8542,9795
"total","Unknown",383,419,401,415,346,206,159,138,112,120,45,52,22,20,22,91,186,197,248,262,254,289,275
